,Unnamed: 0,index,Recipients,Padma Shri State,Padma Shri Field,Padma Shri Awarded By,Padma Bhushan State,Padma Bhushan Field,Padma Bhushan Awarded By,Padma Vibhushan State,Padma Vibhushan Field,Padma Vibhushan Awarded By,Padma Shri State Tel,Padma Shri Field Tel,Padma Shri Awarded By Tel
159,159,159,Annette Schmiedchen,Germany,Literature and Education,Pranab Mukherjee,,,,,,,జర్మనీ,సాహిత్యం మరియు విద్య,ప్రణబ్ ముఖర్జీ
160,160,160,Anoop Misra,Delhi/India,Medicine,A. P. J. Abdul Kalam,,,,,,,ఢిల్లీ/ఇండియా,మెడిసిన్,ఎ. పి. జె. అబ్దుల్ కలాం
161,161,161,Anshu Jamsenpa,Arunachal Pradesh,Sports,Ram Nath Kovind,,,,,,,అరుణాచల్ ప్రదేశ్,క్రీడలు,రామ్ నాథ్ కోవింద్
162,162,162,Anthony Lancelot Dias,,,,,,,"Maharashtra, India",Public Affairs,V. V. Giri,,,
163,163,163,Antony Padiyara,"Kerala, India",Social Work,K. R. Narayanan,,,,,,,"కేరళ, భారత్",సామాజిక పని,కె. ఆర్. నారాయణన్
164,164,164,Anu Aga,"Maharashtra, India",Social Work,Pratibha Patil,,,,,,,"మహారాష్ట్ర, భారత్",సామాజిక పని,ప్రతిభా పాటిల్
165,165,165,Anukul Chandra Mukherjee,,,,"Uttar Pradesh, India",Literature and Education,Sarvepalli Radhakrishnan,,,,,,
166,166,166,Anumolu Ramakrishna,,,,"Andhra Pradesh, India",Science and Engineering,Pranab Mukherjee,,,,,,
167,167,167,Anup Jalota,"Maharashtra, India",Arts,Pratibha Patil,,,,,,,"మహారాష్ట్ర, భారత్",ఆర్ట్స్,ప్రతిభా పాటిల్
168,168,168,Anupam Kher,Maharashtra,Arts,A. P. J. Abdul Kalam,Maharashtra,Arts,Pranab Mukherjee,,,,మహారాష్ట్ర,ఆర్ట్స్,ఎ. పి. జె. అబ్దుల్ కలాం
169,169,169,Anupama Gokhale,"Maharashtra, India",Sports,Zail Singh,,,,,,,"మహారాష్ట్ర, భారత్",క్రీడలు,జైల్ సింగ్
170,170,170,Anuradha Koirala,Nepal,Social Work,Pranab Mukherjee,,,,,,,నేపాల్,సామాజిక పని,ప్రణబ్ ముఖర్జీ
171,171,171,Anuradha Paudwal,"Maharashtra, India",Arts,Pranab Mukherjee,,,,,,,"మహారాష్ట్ర, భారత్",ఆర్ట్స్,ప్రణబ్ ముఖర్జీ
172,172,172,Anutai Wagh,"Maharashtra, India",Social Work,Zail Singh,,,,,,,"మహారాష్ట్ర, భారత్",సామాజిక పని,జైల్ సింగ్
173,173,173,Anvita Abbi,Delhi/India,Literature and Education,Pranab Mukherjee,,,,,,,ఢిల్లీ/ఇండియా,సాహిత్యం మరియు విద్య,ప్రణబ్ ముఖర్జీ
174,174,174,Anwar Jalalpuri,"Uttar Pradesh, India",Literature and Education,Ram Nath Kovind,,,,,,,"ఉత్తరప్రదేశ్, భారత్",సాహిత్యం మరియు విద్య,రామ్ నాథ్ కోవింద్
175,175,175,Aparna Sen,"West Bengal, India",Arts,Zail Singh,,,,,,,"పశ్చిమ బెంగాల్, భారత్",ఆర్ట్స్,జైల్ సింగ్
176,176,176,Appasaheb Dharmadhikari,"Maharashtra, India",Social Work,Pranab Mukherjee,,,,,,,"మహారాష్ట్ర, భారత్",సామాజిక పని,ప్రణబ్ ముఖర్జీ
177,177,177,Apurba Kishore Bir,"Maharashtra, India",Arts,Pranab Mukherjee,,,,,,,"మహారాష్ట్ర, భారత్",ఆర్ట్స్,ప్రణబ్ ముఖర్జీ
178,178,178,Arathil C. Narayanan Nambiar,,,,"Kerala, India",Civil Service,Rajendra Prasad,,,,,,
179,179,179,Arati Saha,"West Bengal, India",Sports,Rajendra Prasad,,,,,,,"పశ్చిమ బెంగాల్, భారత్",క్రీడలు,రాజేంద్ర ప్రసాద్
180,180,180,Archana Sharma,,,,"West Bengal, India",Medicine,Zail Singh,,,,,,
181,181,181,Arcot Ramachandran,,,,"Karnataka, India",Science and Engineering,A. P. J. Abdul Kalam,,,,,,
182,182,182,Ardeshir Ruttonji Wadia,,,,"Maharashtra, India",Literature and Education,Rajendra Prasad,,,,,,
183,183,183,Aribam Syam Sharma,"Manipur, India",Arts,A. P. J. Abdul Kalam,,,,,,,"మణిపూర్, భారత్",ఆర్ట్స్,ఎ. పి. జె. అబ్దుల్ కలాం
184,184,184,Ariyakudi Ramanuja Iyengar,,,,"Tamil Nadu, India",Arts,Rajendra Prasad,,,,,,
185,185,185,Arjan Singh,Uttar Pradesh,Civil Service,Fakhruddin Ali Ahmed,,,,Delhi,Civil Service,Sarvepalli Radhakrishnan,ఉత్తరప్రదేశ్,సివిల్ సర్వీస్,ఫఖ్రుద్దీన్ అలీ అహ్మద్
186,186,186,Arjun Prajapati,"Rajasthan, India",Arts,Pratibha Patil,,,,,,,"రాజస్థాన్, భారత్",ఆర్ట్స్,ప్రతిభా పాటిల్
187,187,187,Arjunan Rajasekaran,"Tamil Nadu, India",Medicine,Pratibha Patil,,,,,,,"తమిళనాడు, భారతదేశం",మెడిసిన్,ప్రతిభా పాటిల్
188,188,188,Arogyaswami Paulraj,,,,"Pollachi,Tamil Nadu",Science and Engineering,Pratibha Patil,,,,,,
189,189,189,Aroon Purie,,,,Delhi/India,Literature and Education,K. R. Narayanan,,,,,,
190,190,190,Arpita Singh,,,,Delhi/India,Arts,Pratibha Patil,,,,,,
191,191,191,Artaballabha Mohanty,"Odisha, India",Literature and Education,Rajendra Prasad,,,,,,,"ఒడిశా, భారత్",సాహిత్యం మరియు విద్య,రాజేంద్ర ప్రసాద్
192,192,192,Arun Hastimal Firodia,"Maharashtra, India",Trade and Industry,Pratibha Patil,,,,,,,"మహారాష్ట్ర, భారత్",వాణిజ్యం మరియు పరిశ్రమ,ప్రతిభా పాటిల్
193,193,193,Arun Jaitley,,,,,,,Delhi/India,Public Affairs,Ram Nath Kovind,,,
194,194,194,Arun Kumar Sharma,Chhattisgarh,Others,Pranab Mukherjee,Delhi,Science and Engineering,Zail Singh,,,,ఛత్తీస్ గఢ్,మరికొందరు,ప్రణబ్ ముఖర్జీ
195,195,195,Arun Netravali,,,,"Maharashtra, India",Science and Engineering,K. R. Narayanan,,,,,,
196,196,196,Arun Shourie,,,,Delhi/India,Literature and Education,R. Venkataraman,,,,,,
197,197,197,Arun Shridhar Vaidya,,,,,,,"Maharashtra, India",Civil Service,Zail Singh,,,
198,198,198,Aruna Asaf Ali,,,,,,,Delhi/India,Public Affairs,R. Venkataraman,,,
199,199,199,Aruna Mohanty,"Odisha, India",Arts,Pranab Mukherjee,,,,,,,"ఒడిశా, భారత్",ఆర్ట్స్,ప్రణబ్ ముఖర్జీ
200,200,200,Aruna Sairam,"Tamil Nadu, India",Arts,Pratibha Patil,,,,,,,"తమిళనాడు, భారతదేశం",ఆర్ట్స్,ప్రతిభా పాటిల్
201,201,201,Arunachala Sreenivasan,,,,"Karnataka, India",Science and Engineering,V. V. Giri,,,,,,
202,202,202,Arunachalam Muruganantham,"Tamil Nadu, India",Social Work,Pranab Mukherjee,,,,,,,"తమిళనాడు, భారతదేశం",సామాజిక పని,ప్రణబ్ ముఖర్జీ
203,203,203,Arundathi Nag,"Karnataka, India",Arts,Pratibha Patil,,,,,,,"కర్ణాటక, భారత్",ఆర్ట్స్,ప్రతిభా పాటిల్
204,204,204,Arunima Sinha,"Uttar Pradesh, India",Sports,Pranab Mukherjee,,,,,,,"ఉత్తరప్రదేశ్, భారత్",క్రీడలు,ప్రణబ్ ముఖర్జీ
205,205,205,Arunoday Mondal,"West Bengal, India",Medicine,Ram Nath Kovind,,,,,,,"పశ్చిమ బెంగాల్, భారత్",మెడిసిన్,రామ్ నాథ్ కోవింద్
206,206,206,Arup Kumar Dutta,"Assam, India",Literature and Education,Ram Nath Kovind,,,,,,,"అసోం, ఇండియా",సాహిత్యం మరియు విద్య,రామ్ నాథ్ కోవింద్
207,207,207,Arvind Gupta,"Maharashtra, India",Literature and Education,Ram Nath Kovind,,,,,,,"మహారాష్ట్ర, భారత్",సాహిత్యం మరియు విద్య,రామ్ నాథ్ కోవింద్
208,208,208,Arvind Kumar,"Maharashtra, India",Literature and Education,Pratibha Patil,,,,,,,"మహారాష్ట్ర, భారత్",సాహిత్యం మరియు విద్య,ప్రతిభా పాటిల్
209,209,209,Arvind Lal,Delhi/India,Medicine,Pratibha Patil,,,,,,,ఢిల్లీ/ఇండియా,మెడిసిన్,ప్రతిభా పాటిల్
210,210,210,Arvind Panagariya,,,,"Rajasthan, India",Literature and Education,Pratibha Patil,,,,,,
211,211,211,Arvind Parikh,,,,"Maharashtra, India",Arts,Ram Nath Kovind,,,,,,
212,212,212,Arvinder Singh Soin,"Uttar Pradesh, India",Medicine,Pratibha Patil,,,,,,,"ఉత్తరప్రదేశ్, భారత్",మెడిసిన్,ప్రతిభా పాటిల్
213,213,213,Asa Singh Mastana,Delhi/India,Arts,Zail Singh,,,,,,,ఢిల్లీ/ఇండియా,ఆర్ట్స్,జైల్ సింగ్
214,214,214,Asad Ali Khan,,,,Delhi/India,Arts,Pratibha Patil,,,,,,
215,215,215,Asaf Ali Asghar Fyzee,,,,Jammu & Kashmir/India,Literature and Education,Rajendra Prasad,,,,,,
216,216,216,Asavadi Prakasarao,"Andhra Pradesh, India",Literature and Education,Ram Nath Kovind,,,,,,,"ఆంధ్రప్రదేశ్, భారత్",సాహిత్యం మరియు విద్య,రామ్ నాథ్ కోవింద్
217,217,217,Asgari Bai,"Madhya Pradesh, India",Arts,R. Venkataraman,,,,,,,"మధ్యప్రదేశ్, భారత్",ఆర్ట్స్,ఆర్. వెంకటరమణ
218,218,218,Asha Bhosle,,,,,,,"Maharashtra, India",Arts,Pratibha Patil,,,
219,219,219,Asha Devi Aryanayakam,"Maharashtra, India",Public Affairs,Rajendra Prasad,,,,,,,"మహారాష్ట్ర, భారత్",ప్రజా వ్యవహారాలు,రాజేంద్ర ప్రసాద్
220,220,220,Asha Parekh,"Maharashtra, India",Arts,R. Venkataraman,,,,,,,"మహారాష్ట్ర, భారత్",ఆర్ట్స్,ఆర్. వెంకటరమణ
221,221,221,Ashangbam Minaketan Singh,"Manipur, India",Literature and Education,Zail Singh,,,,,,,"మణిపూర్, భారత్",సాహిత్యం మరియు విద్య,జైల్ సింగ్
222,222,222,Ashok Bhagat,"Jharkhand, India",Social Work,Pranab Mukherjee,,,,,,,"జార్ఖండ్, భారత్",సామాజిక పని,ప్రణబ్ ముఖర్జీ
223,223,223,Ashok Chakradhar,Delhi/India,Literature and Education,Pranab Mukherjee,,,,,,,ఢిల్లీ/ఇండియా,సాహిత్యం మరియు విద్య,ప్రణబ్ ముఖర్జీ
224,224,224,Ashok Desai,,,,Delhi/India,Public Affairs,K. R. Narayanan,,,,,,
225,225,225,Ashok Gulati,Delhi/India,Literature and Education,Pranab Mukherjee,,,,,,,ఢిల్లీ/ఇండియా,సాహిత్యం మరియు విద్య,ప్రణబ్ ముఖర్జీ
226,226,226,Ashok Jhunjhunwala,"Tamil Nadu, India",Science and Engineering,K. R. Narayanan,,,,,,,"తమిళనాడు, భారతదేశం",సైన్స్ అండ్ ఇంజినీరింగ్,కె. ఆర్. నారాయణన్
227,227,227,Ashok K. Vaid,Delhi/India,Medicine,Pratibha Patil,,,,,,,ఢిల్లీ/ఇండియా,మెడిసిన్,ప్రతిభా పాటిల్
228,228,228,Ashok Kumar,Maharashtra,Arts,Rajendra Prasad,Maharashtra,Arts,K. R. Narayanan,,,,మహారాష్ట్ర,ఆర్ట్స్,రాజేంద్ర ప్రసాద్
229,229,229,Ashok Kumar Hemal,Delhi/India,Medicine,A. P. J. Abdul Kalam,,,,,,,ఢిల్లీ/ఇండియా,మెడిసిన్,ఎ. పి. జె. అబ్దుల్ కలాం
230,230,230,Ashok Kumar Mago,United States,Public Affairs,Pranab Mukherjee,,,,,,,యునైటెడ్ స్టేట్స్,ప్రజా వ్యవహారాలు,ప్రణబ్ ముఖర్జీ
231,231,231,Ashok Kumar Sarkar,,,,"West Bengal, India",Literature and Education,Sarvepalli Radhakrishnan,,,,,,
232,232,232,Ashok Laxmanrao Kukade,,,,"Maharashtra, India",Medicine,Ram Nath Kovind,,,,,,
233,233,233,Ashok Malik,Delhi/India,Literature and Education,Pranab Mukherjee,,,,,,,ఢిల్లీ/ఇండియా,సాహిత్యం మరియు విద్య,ప్రణబ్ ముఖర్జీ
234,234,234,Ashok Panagariya,"Rajasthan, India",Medicine,Pranab Mukherjee,,,,,,,"రాజస్థాన్, భారత్",మెడిసిన్,ప్రణబ్ ముఖర్జీ
235,235,235,Ashok Rajgopal,Delhi/India,Medicine,Pranab Mukherjee,,,,,,,ఢిల్లీ/ఇండియా,మెడిసిన్,ప్రణబ్ ముఖర్జీ
236,236,236,Ashok Ramchandra Kelkar,"Maharashtra, India",Literature and Education,K. R. Narayanan,,,,,,,"మహారాష్ట్ర, భారత్",సాహిత్యం మరియు విద్య,కె. ఆర్. నారాయణన్
237,237,237,Ashok Sekhar Ganguly,,,,Maharashtra,Trade and Industry,R. Venkataraman,Maharashtra,Trade and Industry,Pratibha Patil,,,
238,238,238,Ashok Seth,Delhi,Medicine,A. P. J. Abdul Kalam,Delhi,Medicine,Pranab Mukherjee,,,,ఢిల్లీ,మెడిసిన్,ఎ. పి. జె. అబ్దుల్ కలాం
239,239,239,Ashoke Sen,Uttar Pradesh,Science and Engineering,K. R. Narayanan,Uttar Pradesh,Science and Engineering,Pranab Mukherjee,,,,ఉత్తరప్రదేశ్,సైన్స్ అండ్ ఇంజినీరింగ్,కె. ఆర్. నారాయణన్
240,240,240,Ashwin Balachand Mehta,"Maharashtra, India",Medicine,A. P. J. Abdul Kalam,,,,,,,"మహారాష్ట్ర, భారత్",మెడిసిన్,ఎ. పి. జె. అబ్దుల్ కలాం
241,241,241,Asifa Zamani,"Uttar Pradesh, India",Literature and Education,A. P. J. Abdul Kalam,,,,,,,"ఉత్తరప్రదేశ్, భారత్",సాహిత్యం మరియు విద్య,ఎ. పి. జె. అబ్దుల్ కలాం
242,242,242,Asima Chatterjee,,,,"West Bengal, India",Science and Engineering,Fakhruddin Ali Ahmed,,,,,,
243,243,243,Asis Datta,Uttar Pradesh,Science and Engineering,K. R. Narayanan,Delhi,Science and Engineering,Pratibha Patil,,,,ఉత్తరప్రదేశ్,సైన్స్ అండ్ ఇంజినీరింగ్,కె. ఆర్. నారాయణన్
244,244,244,Asok Kumar Barua,"West Bengal, India",Science and Engineering,A. P. J. Abdul Kalam,,,,,,,"పశ్చిమ బెంగాల్, భారత్",సైన్స్ అండ్ ఇంజినీరింగ్,ఎ. పి. జె. అబ్దుల్ కలాం
245,245,245,Asoke Kumar Bhattacharyya,"West Bengal, India",Others,Pranab Mukherjee,,,,,,,"పశ్చిమ బెంగాల్, భారత్",మరికొందరు,ప్రణబ్ ముఖర్జీ
246,246,246,Aspy Adajania,"Maharashtra, India",Sports,R. Venkataraman,,,,,,,"మహారాష్ట్ర, భారత్",క్రీడలు,ఆర్. వెంకటరమణ
247,247,247,Astad Deboo,"Maharashtra, India",Arts,A. P. J. Abdul Kalam,,,,,,,"మహారాష్ట్ర, భారత్",ఆర్ట్స్,ఎ. పి. జె. అబ్దుల్ కలాం
248,248,248,Atal Bihari Vajpayee,,,,,,,Delhi/India,Public Affairs,R. Venkataraman,,,
249,249,249,Atluri Sriman Narayana,"Andhra Pradesh, India",Medicine,K. R. Narayanan,,,,,,,"ఆంధ్రప్రదేశ్, భారత్",మెడిసిన్,కె. ఆర్. నారాయణన్
250,250,250,Atma Ram,"West Bengal, India",Trade and Industry,Rajendra Prasad,,,,,,,"పశ్చిమ బెంగాల్, భారత్",వాణిజ్యం మరియు పరిశ్రమ,రాజేంద్ర ప్రసాద్
251,251,251,Atmaram Bhairav Joshi,Delhi/India,Science and Engineering,Fakhruddin Ali Ahmed,,,,,,,ఢిల్లీ/ఇండియా,సైన్స్ అండ్ ఇంజినీరింగ్,ఫఖ్రుద్దీన్ అలీ అహ్మద్
252,252,252,Atmaram Raoji Bhat,"Maharashtra, India",Literature and Education,V. V. Giri,,,,,,,"మహారాష్ట్ర, భారత్",సాహిత్యం మరియు విద్య,వి. వి. గిరి
253,253,253,Attar Singh,Chandigarh/India,Literature and Education,Zail Singh,,,,,,,చండీగఢ్/ఇండియా,సాహిత్యం మరియు విద్య,జైల్ సింగ్
254,254,254,Atul Chandra Hazarika,"Assam, India",Literature and Education,V. V. Giri,,,,,,,"అసోం, ఇండియా",సాహిత్యం మరియు విద్య,వి. వి. గిరి
255,255,255,Atul Kumar,Delhi/India,Medicine,A. P. J. Abdul Kalam,,,,,,,ఢిల్లీ/ఇండియా,మెడిసిన్,ఎ. పి. జె. అబ్దుల్ కలాం
256,256,256,Autar Singh Paintal,,,,,,,Delhi/India,Medicine,Zail Singh,,,
