,Recipients,philanthropy,philanthropy Telugu
2792,Parkash Singh Badal,,
2793,Parmeshwari Lal Verma,,
2794,Parshuram Atmaram Gangavane,,
2795,Parshuram Mishra,,
2796,Parveen Sultana,,
2797,Parveen Talha,,
2798,Patricia Mukhim,,
2799,Paul Pothen,,
2800,Paul Ratnasamy,,
2801,Pavaguda V. Indiresan,,
2802,Pavani Parameswara Rao,,
2803,Pawan Raj Goyal,,
2804,Penaz Masani,,
2805,Penimangalore Appraya Bhatt,,
2806,Pepita Seth,,
2807,Perakath Verghese Benjamin,,
2808,Perin Captain,,
2809,Periyasaamy Thooran,,
2810,Perugu Siva Reddy,,
2811,Peruvanam Kuttan Marar,,
2812,Pessie Madan,,
2813,Peter Brook,,
2814,Phanishwar Nath Renu,,
2815,Philip Augustine,,
2816,Philipose Mar Chrysostom,,
2817,Phillips Talbot,,
2818,Phool Chand Chowdhary,,
2819,Phoolbasan Bai Yadav,,
2820,Phu Dorjee,,
2821,Phu Dorjee Sherpa,,
2822,Phul Chand,,
2823,Phulrenu Guha,,
2824,Pichu Sambamoorthi,,
2825,Pilloo Maneck Maneckiji,,
2826,Piloo Nowshir Jungalwalla,,
2827,Pisharoth Rama Pisharoty,,
2828,Pitambar Pant,,
2829,Piyong Temjen Jamir,,
2830,Piyush Pandey,,
2831,Polly Umrigar,,
2832,Ponisseril Somasundaran,,
2833,Poola Tirupati Raju,,
2834,Poornima Arvind Pakvasa,,
2835,Popatrao Baguji Pawar,,
2836,Pothan Joseph,,
2837,Prabha Atre,,
2838,Prabhakar Bhikaji Chitnis,,
2839,Prabhakar Vaidya,,
2840,Prabhashankar Oghadbhai Sompura,,
2841,Prabhashankar Ramachandra Bhatt,,
2842,Prabhat Kumar Mukhopadhyaya,,
2843,Prabhu Chawla,,
2844,Prabhu Dayal Dabriwala,,
2845,Prabhu Dayal Nigam,,
2846,Prabhu Deva,,
2847,Prabhu Lal Bhatnagar,,
2848,Prabjot Kaur,,
2849,Pradeep Chowbey,,
2850,Pradeep Kumar Banerjee,,
2851,Pradeep Kumar Dave,,
2852,Pradhan Shambu Saran,,
2853,Pradip Kumar Banerjee,,
2854,Pradip Ranjan Roy,,
2855,Prafulla Baruah,,
2856,Prafulla Desai,,
2857,Prafulla Kar,,
2858,Prafulla Kumar Jena,,
2859,Prafulla Kumar Sen,,
2860,Prahlad Chandra Tasa,,
2861,Prahlad Kumar Sethi,,
2862,Prahlad Tipanya,,
2863,Prahlada,,
2864,Prakash Amte,,
2865,Prakash Chand Surana,,
2866,Prakash Chandra,,
2867,Prakash N. Dubey,,
2868,Prakash Nanalal Kothari,,
2869,Prakash Narain Tandon,,
2870,Prakash Padukone,,
2871,Prakash Singh,,
2872,Pramathanath Bishi,,
2873,Pramod Kale,,
2874,Pramod Kumar Julka,,
2875,Pramod Tandon,,
2876,Pran,,
2877,Pran Kishore Kaul,,
2878,Pran Kumar Sharma,,
2879,Pran Nath Chhutani,,
2880,Pran Nath Luthra,,
2881,Prana Krushna Parija,,
2882,Pranab K. Sen,,
2883,Pranab Mukherjee,,
2884,Pranab Rehatriranjan Dastidar,,
2885,Prasad Sawkar,,
2886,Prasanta Chandra Mahalanobis,,
2887,Prasanta Kumar Pattanaik,,
2888,Prashanti Singh,,
2889,Prasoon Joshi,,
2890,Pratap Chandra Lal,,
2891,Pratap Govindrao Pawar,,
2892,Pratap Pawar,,
2893,Pratap Singh Hardia,,
2894,Pratapaditya Pal,,
2895,Pratapri Girdhari Lal Mehta,,
2896,Pratapsinh Jadhav,,
2897,Prathap C. Reddy,,
2898,Pratibha Prahlad,,
2899,Pratibha Ray,,
2900,Pratima Barua Pandey,,
2901,Pratul Chandra Gupta,,
2902,Pratury Trirumala Rao,,
2903,Pravakara Maharana,,
2904,Praveen Chandra,,
2905,Pravin Darji,,
2906,Pravin Gordhan,,
2907,Pravin H. Parekh,,
2908,Pravinchandra Varjivan Gandhi,,
2909,Predhiman Krishan Kaw,,
2910,Predrag K. Nikic,,
2911,Prem Chand Sharma,,
2912,Prem Chandra Dhanda,,
2913,Prem Chandra Luthar,,
2914,Prem Dhawan,,
2915,Prem Kumar Kakar,,
2916,Prem Nath Dhawan,,
2917,Prem Nath Mehra,,
2918,Prem Nath Sahni,,
2919,Prem Nath Wahi,,
2920,Prem Nazir,,
2921,Prem Prakash Sahni,,
2922,Prem Shanker Goel,,
2923,Prem Watsa,,
2924,Prema Narendra Purao,,
2925,Premchand Degra,,
2926,Premendra Mitra,,
2927,Premlata Agarwal,,
2928,Premlata Puri,,
2929,Premlila Vithaldas Thackersey,,
2930,Pritam Bhartwan,,
2931,Pritam Singh,,
2932,Prithipal Singh,,
2933,Prithipal Singh Maini,,
2934,Prithvi Nath Kaula,,
2935,Prithvi Nath Khoshoo,,
2936,Prithvi Raj Singh Oberoi,,
2937,Prithvi Singh Azad,,
2938,Prithviraj Kapoor,,
2939,Prithwindra Mukherjee,,
2940,Pritish Nandy,,
2941,Priya Paul,,
2942,Priya Ranjan Sen,,
2943,Priyadarshan,,
2944,Priyambada Mohanty Hejmadi,,
2945,Priyanka Chopra,"Chopra supports various causes through her foundation ""The Priyanka Chopra Foundation for Health and Education"", which works towards providing support to unprivileged children across the country in the areas of Education and Health. She donates ten percent of her earnings to fund the foundation's operations, and pays for educational and medical expenses for seventy children in India, fifty among whom are girls. She often speaks out on women's issues: against female infanticide and foeticide, and in support of education for girls. A believer in feminism, Chopra has always been vocal about women's rights, gender equality, and gender pay gap. In 2006, a ""day with Chopra"" was auctioned on eBay; the proceeds were donated to an NGO, Nanhi Kali, which helps educate girls in India. She has made appearances in support of other charities, such as the 2005 HELP! Telethon Concert to raise funds for the victims of the 2004 Indian Ocean earthquake.She has worked with UNICEF since 2006, recording public-service announcements and participating in media panel discussions promoting children's rights and the education of girls, and also participated in celebrating the 20th anniversary of the Convention on the Rights of the Child. She was appointed as the national UNICEF Goodwill Ambassador for Child Rights on 10 August 2010. UNICEF Representative Karin Hulshof said of the appointment: ""She is equally passionate about her work on behalf of children and adolescents. We are proud of the work she has done with us so far on child rights, and, we are thrilled about all what we will be doing together so that no child gets left behind","చోప్రా తన ఫౌండేషన్ ""ది ప్రియాంక చోప్రా ఫౌండేషన్ ఫర్ హెల్త్ అండ్ ఎడ్యుకేషన్"" ద్వారా వివిధ కారణాలకు మద్దతు ఇస్తుంది, ఇది విద్య, ఆరోగ్య రంగాలలో దేశవ్యాప్తంగా నిరుపేద పిల్లలకు మద్దతునిస్తుంది. ఈమె తన సంపాదనలో పది శాతాన్ని ఫౌండేషన్ కార్యకలాపాలకు విరాళంగా ఇస్తుంది, భారతదేశంలోని డెబ్బై మంది పిల్లలకు విద్య, వైద్య ఖర్చుల కోసం చెల్లిస్తుంది, వారిలో యాభై మంది బాలికలు ఉన్నారు. ఈమె తరచుగా మహిళల సమస్యలపై మాట్లాడుతుంది: ఆడ శిశుహత్య, భ్రూణహత్యలకు వ్యతిరేకంగా, బాలికల విద్యకు మద్దతుగా. స్త్రీవాదంపై విశ్వాసం ఉన్న చోప్రా ఎల్లప్పుడూ మహిళల హక్కులు, లింగ సమానత్వం, లింగ వేతన వ్యత్యాసాల గురించి గళం విప్పారు. 2006లో, eBayలో ""డే విత్ చోప్రా"" వేలం వేయబడింది; భారతదేశంలోని బాలికలకు విద్యను అందించడంలో సహాయపడే నాన్హి కాలీ అనే NGOకి వచ్చిన ఆదాయాన్ని విరాళంగా ఇచ్చారు. ఈమె 2005 హెల్ప్ వంటి ఇతర స్వచ్ఛంద సంస్థలకు మద్దతుగా కనిపించింది. 2004 హిందూ మహాసముద్ర భూకంపం బాధితుల కోసం నిధుల సేకరణ కోసం టెలిథాన్ కచేరీ. ఈమె 2006 నుండి UNICEFతో కలిసి పనిచేసింది, పబ్లిక్-సేవ ప్రకటనలను రికార్డ్ చేస్తోంది, పిల్లల హక్కులు, బాలికల విద్యను ప్రోత్సహించే మీడియా ప్యానెల్ చర్చలలో పాల్గొంటుంది, బాలల హక్కులపై కన్వెన్షన్, 20వ వార్షికోత్సవాన్ని జరుపుకోవడంలో కూడా పాల్గొంది. ఈమె 10 ఆగస్టు 2010న బాలల హక్కుల కోసం జాతీయ UNICEF గుడ్విల్ అంబాసిడర్గా నియమితులయ్యారు. యునిసెఫ్ ప్రతినిధి కరీన్ హుల్షోఫ్ ఈ నియామకం గురించి ఇలా అన్నారు: ""పిల్లలు, యుక్తవయస్సులో ఉన్నవారి తరపున ఈమె చేసే పని పట్ల ఈమెకు సమానమైన మక్కువ ఉంది. బాలల హక్కులపై ఇప్పటివరకు ఈమె మాతో కలిసి చేసిన పనికి మేము గర్విస్తున్నాము, ఏ ఒక్క బిడ్డ కూడా వెనుకబడిపోకుండా మేము కలిసి ఏమి చేస్తున్నామో దాని గురించి మేము చాలా సంతోషిస్తున్నాము. "
2946,Pu Lalbiakthanga Pachuau,,
2947,Pucadyil Ittoop John,,
2948,Pukhraj Bafna,,
2949,Puliyur Krishnaswamy Duraiswami,,
2950,Pullela Gopichand,,
2951,Pullella Srirama Chandrudu,,
2952,Punam Suri,,
2953,Punamalai Ekambaranathan,,
2954,Punaram Nishad,,
2955,Pupul Jayakar,,
2956,Puran Chand Wadali,,
2957,Puran Lal Batra,,
2958,Purna Das Baul,,
2959,Purshotam Lal,,
2960,Purshottam Das,,
2961,Purshottam Das Jalota,,
2962,Purshottam Lal Wahi,,
2963,Purshottam Pandurang Gokhale,,
2964,Purushottam Dadheech,,
2965,Purushottam Kashinath Kelkar,,
2966,Purushottam Laxman Deshpande,,
2967,Purushottam Upadhyay,,
2968,Purushottama Lal,,
2969,Pushkar Bhan,,
2970,Pushpa Bhuyan,,
2971,Pushpa Hans,,
2972,Pushpa Mittra Bhargava,,
2973,Pushpalata Das,,
2974,Pushpavati Janardenrai Mehta,,
2975,Pushpesh Pant,,
2976,Puthenpurayil Mathew Joseph,,
2977,Puttaparthi Narayanacharyulu,,
2978,Puttaraj Gawai,,
2979,Qadri Ragi Aziz Ahmed Khan Warsi,,
2980,Qazi Abdul Sattar,,
2981,Quazi Sazzad Ali Zahir,,
2982,Queenie H. C. Captain,,
2983,Queenie Rynjah,,
2984,Qurratulain Hyder,,
2985,R Sathyanarayana,,
2986,R. Basappagowda Patil,,
2987,R. C. Mehta,,
2988,R. D. Pradhan,,
2989,R. Ganapati,,
2990,R. K. Krishna Kumar,,
2991,R. K. Laxman,,
2992,R. K. Lelhluna,,
2993,R. K. Narayan,,
2994,R. K. Srikantan,,
2995,R. Marthanda Varma,,
2996,R. N. Malhotra,,
2997,R. N. Tharanathan and R. N. Thyagarajan,,
2998,R. Nagarathnamma,,
2999,R. Nagendra Rao,,
3000,R. R. Handa,,
3001,R. Ranchandra Vishwanath Wardekar,,
3002,R. S. Narayan Singh Deo,,
3003,R. S. Subbalakshmi,,
3004,R. Sivaraman,,
3005,R. V. Pandit,,
3006,R. V. Ramani,,
3007,R. V. Ramaswamy,,
3008,R. Vasudevan,,
3009,Raasacha Swami Ram Swaroop Sharma,,
3010,Rabi Narayan Bastia,,
3011,Rabinder Gokaldas Ahuja,,
3012,Rabindra Narain Singh,,
3013,Rabindra Nath Chaudhuri,,
3014,Rabindra Nath Upadhyay,,
3015,Rachel Thomas,,
3016,Radha Krishan Gupta,,
3017,Radha Kumud Mukherjee,,
3018,Radha Mohan Gadanayak,,
3019,Radhabinod Pal,,
3020,Radhakamal Mukerjee,,
3021,Radhamohan,,
3022,Radhanath Rath,,
3023,Radhe Shyam Barle,,
3024,Radhika Herzberger,,
3025,Rafael Iruzubieta Fernandez,,
3026,Rafiuddin Ahmed,,
3027,Raghavan Thirumulpad,,
3028,Raghu Rai,,
3029,Raghu Raj,,
3030,Raghu Ram Pillarisetti,"In 2015, he adopted Ibrahimpur, the remotest village in Medak District in the State of Telangana, which has a population of 1500.",2015లో తెలంగాణ రాష్ట్రంలోని మెదక్ జిల్లాలో 1500 మంది జనాభా ఉన్న మారుమూల గ్రామమైన ఇబ్రహీంపూర్ను దత్తత తీసుకున్నారు. 
3031,Raghubhai Morarji Nayak,,
3032,Raghubir Singh (equestrian),,
3033,Raghubir Singh (photographer),,
3034,Raghunath Anant Mashelkar,,
3035,Raghunath Krishna Phadke,,
3036,Raghunath Mohapatra,,
3037,Raghunath Panigrahi,,
3038,Raghunath Saran,,
3039,Raghunath Sharma,,
3040,Raghunath Singh Gahlot,,
3041,Raghupati Sahay,,
3042,Raghuvir Sharan Mitra,,
3043,Rahibai Soma Popere,,
3044,Rahim Fahimuddin Dagar,,
3045,Rahim-ud-in Khan Dagar,,
3046,Rahul Bajaj,,
3047,Rahul Dravid,,
3048,Rahul Jain,,
3049,Rahul Sankrityayan,,
3050,Rai Krishnadas,,
3051,Rai Krishnadasa,,
3052,Rais Ahmed,,
3053,Raj Baveja,,
3054,Raj Begum,,
3055,Raj Bisaria,,
3056,Raj Bothra,,
3057,Raj Kapoor,,
3058,Raj Kumar Khanna,,
3059,Raj Raj Kumar Khanna,,
3060,Raj Reddy,,
3061,Raj Vir Singh Yadav,,
3062,Raja Chelliah,,
3063,Raja Radhika Raman Sinha,,
3064,Raja Ramanna,,
3065,Raja Rao,,
3066,Raja and Radha Reddy,,
3067,Rajagopala Chidambaram,,
3068,Rajagopalan Krishnan,,
3069,Rajagopalan Vasudevan,,
3070,Rajalakshmi Parthasarathy,,
3071,Rajam Ramaswamy,,
3072,Rajammal P. Devadas,,
3073,Rajan Devadas,,
3074,Rajan Misra,,
3075,Rajan Saxena,,
3076,Rajani Kant,,
3077,Rajanikant Arole,,
3078,Rajaram Shastri,,
3079,Rajashree Birla,,
3080,Rajat Kumar Kar,,
3081,Rajat Sharma,,
3082,Rajdeep Sardesai,,
3083,Rajeev Sethi,,
3084,Rajeev Taranath,,
3085,Rajendra Achyut Badwe,,
3086,Rajendra K. Pachauri,,
3087,Rajendra Kumar,,
3088,Rajendra Kumar Saboo,,
3089,Rajendra Singh Paroda,,
3090,Rajendra Singh Pawar,,
3091,Rajendra Tansukh Vyas,,
3092,Rajendra Tikku,,
3093,Rajendra Vir Singh,,
3094,Rajesh Khanna,,
3095,Rajesh Kotecha,,
3096,Rajesh Kumar Grover,,
3097,Rajesh Saraiya,,
3098,Rajeshwar Acharya,,
3099,Rajeshwar Dayal,,
3100,Rajeshwar Nath Zutshi,,
3101,Rajeshwar Shastri Dravid,,
3102,Rajinder Gupta,,
3103,Rajinder Kumar,,
3104,Rajinder Singh Bedi,,
3105,Rajinikanth,,
3106,Rajkavi Inderjeet Singh Tulsi,,
3107,Rajkumar,,
3108,Rajkumar Achouba Singh,,
3109,Rajkumar Jhalajit Singh,,
3110,Rajkumar Singhajit Singh,,
3111,Rajkumar Sumitra Devi,,
3112,Rajkumari Devi,,
3113,Rajmohini Devi,,
3114,Rajni Bector,,
3115,Rajni Kumar,,
3116,Rajnikant Shroff,,
3117,Rajpal Singh Sirohi,,
3118,Rajshekhar Basu,,
3119,Rajshree Pathy,,
3120,Rajyavardhan Singh Rathore,,
3121,Rakesh Bakshi,,
3122,Rakesh Kumar Jain,,
3123,Rakhaldas Sengupta,,
3124,Rakhee Gulzar,,
3125,Ralengnao Khathing,,
3126,Ralte L. Thanmawia,,
3127,Ralte Vanlawma,,
3128,Ram Badan Singh,,
3129,Ram Bahadur Rai,,
3130,Ram Chandra Varma,,
3131,Ram Chatur Mallick,,
3132,Ram Dayal Munda,,
3133,Ram Ganpati,,
3134,Ram Gopal Bajaj,,
3135,Ram Gopal Vijayvargiya,,
3136,Ram Harsh Singh,,
3137,Ram Kinkar Upadhyay,,
3138,Ram Kishore Chhipa,,
3139,Ram Krishan,,
3140,Ram Krishna Trivedi,,
3141,Ram Kumar (artist),,
3142,Ram Kumar Caroli,,
3143,Ram Lal Mehta,,
3144,Ram Lal Rajgarhia,,
3145,Ram Mohan,,
3146,Ram Narain Agarwal,,
3147,Ram Narain Bagley,,
3148,Ram Narain Nagu,,
3149,Ram Narayan,,
3150,Ram Narayan Chakravarti,,
3151,Ram Nath Shastri,,
3152,Ram Prakash Bambah,,
3153,Ram Prakash Gehlote,,
3154,Ram Prasad Choudhary Jaiswal,,
3155,Ram Punjwani,,
3156,Ram Saran Verma,,
3157,Ram Sarup Lugani,,
3158,Ram Shankar Tripathi,,
3159,Ram Singh,,
3160,Ram V. Sutar,,
3161,Ram Vilas Paswan,,
3162,Ram Yatna Shukla,,
3163,Rama Kant Shukla,,
3164,Ramachandra Datatraya Lele,,
3165,Ramachandra Guha,,
3166,Ramachandran Balasubramanian,,
3167,Ramachandran Nagaswamy,,
3168,Ramadas P. Shenoy,,
3169,Ramakant Achrekar,,
3170,Ramakant Gundecha,,
3171,Ramakant Krishnaji Deshpande,,
3172,Ramakant Maheshwar Muzumdar,,
3173,Ramakanta Panda,,
3174,Ramakanta Rath,,
3175,Ramakrishna Ananthakrishnan,,
3176,Ramakrishna V. Hosur,,
3177,Ramamoorthi Belagaje,,
3178,Ramamurthi Badrinath,,
3179,Ramamurthy Thyagarajan,,
3180,Raman Gangakhedkar,,
3181,Raman Kapur,,
3182,Raman Madhavan Nair,,
3183,Raman Viswanathan,,
3184,Ramanand Sagar,,
3185,Ramanarayan Upadhyaya,,
3186,Ramanath Cowsik,,
3187,Ramanath Iyer Mathrubbotham,,
3188,Ramanatha Venkata Ramani,,
3189,Ramanathan Krishnan,,
3190,Ramanathapuram C. S. Murugabhoopathy,,
3191,Ramankutty Nair,,
3192,Ramanlal Gokaldas Saraiya,,
3193,Ramanujam Varatharaja Perumal,,
3194,Ramaranjan Mukherji,,
3195,Ramaswami Venkataswami,,
3196,Ramaswamy Duraiswamy Ayyar,,
3197,Ramaswamy Iyer,,
3198,Ramaswamy M. Vasagam,,
3199,Ramaswamy Rajaram,,
3200,Rambhadracharya,,
3201,Ramchand Kishindas Menda,,
3202,Ramchandra Manjhi,,
3203,Ramchandra Narayan Dandekar,,
3204,Ramdas Pai,,
3205,Ramdhari Singh Dinkar,,
3206,Ramesh Babaji Maharaj,,
3207,Ramesh Chandra Bhaskar Sule,,
3208,Ramesh Chandra Shah,,
3209,Ramesh Gelli,,
3210,Ramesh Inder Singh,,
3211,Ramesh Krishnan,,
3212,Ramesh Kumar (nephrologist),,
3213,Ramesh Nigam,,
3214,Ramesh Sippy,,
3215,Ramesh Tribhuvandas Doshi,,
3216,Rameshwar Nath Koul Bamezai,,
3217,Rameshwar Singh Kashyap,,
3218,Rameshwari Nehru,,
3219,Rameshwarlal Kabra,,
3220,Ramjee Singh,,
3221,Ramji Vasant Khanolkar,,
3222,Ramkinkar Baij,,
3223,Ramkumar Verma,,
3224,Ramli Bin Ibrahim,,
3225,Ramniklal K. Gandhi,,
3226,Ramoji Rao,,
3227,Ramprasad Ramchand Khandelwal,,
3228,Ramrao Deshmukh,,
3229,Ramsing Fakiraji Bhanawat,,
3230,Rana Krishnadev Narain Singh,,
3231,Rana Moti Singh,,
3232,Ranbir Chander Sobti,,
3233,Ranbir Singh Bisht,,
3234,Randeep Guleria,,
3235,Randhir Sud,,
3236,Ranganathan Parthasarathy,,
3237,Rangasami Lakshminarayana Kashyap,,
3238,Rangaswamy Narasimhan,,
3239,Rani Gaidinliu,,
3240,Rani Karnaa,,
3241,Rani Rampal,,
3242,Ranjan Roy Daniel,,
3243,Ranjana Gauhar,,
3244,Ranjit Bhargava,,
3245,Ranjit Ramachandra Rao Desai,,
3246,Ranjit Roy Chaudhury,,
3247,Ranjit Singh Sarkaria,,
3248,Rao Raja Hanut Singh,,
3249,Rasheed Ahmad Siddiqui,,
3250,Rashid Khan,,
3251,Ratan Lal Joshi,,
3252,Ratan Shankar Mishra,,
3253,Ratan Shastri,,
3254,Ratan Tata,"Tata is a supporter of education, medicine and rural development, and considered a leading philanthropist in India. Tata supported University of New South Wales Faculty of Engineering to develop capacitive deionization to provide improved water for challenged areas.Tata Hall at the University of California, San Diego (UC San Diego), opened in November 2018, houses facilities for the biological and physical sciences and is the home of the Tata Institute for Genetics and Society. The Tata Institute for Genetics and Society is a binational institution that coordinates research between UC San Diego and research operations in India to assist in societal and infrastructure development in the area of combating vector-borne diseases. Tata Hall is named in recognition of a generous $70 million gift from Tata Trusts.Tata Education and Development Trust, a philanthropic affiliate of Tata Group, endowed a $28  million Tata Scholarship Fund that will allow Cornell University to provide financial aid to undergraduate students from India. The scholarship fund will support approximately 20 scholars at any given time and will ensure that the very best Indian students have access to Cornell, regardless of their financial circumstances. The scholarship will be awarded annually; recipients will receive the scholarship for the duration of their undergraduate study at Cornell.In 2010, Tata Group companies and Tata charities donated $50 million for the construction of an executive center at Harvard Business School (HBS). The executive center has been named Tata Hall, after Ratan Tata (AMP '75), chairman emeritus of Tata Sons","టాటా విద్య, వైద్యం, గ్రామీణాభివృద్ధికి మద్దతుదారుగా ఉంది, భారతదేశంలో ప్రముఖ పరోపకారిగా పరిగణించబడుతుంది. టాటా యూనివర్శిటీ ఆఫ్ న్యూ సౌత్ వేల్స్ ఫ్యాకల్టీ ఆఫ్ ఇంజినీరింగ్ను సవాలు చేసిన ప్రాంతాలకు మెరుగైన నీటిని అందించడానికి కెపాసిటివ్ డీయోనైజేషన్ను అభివృద్ధి చేయడానికి మద్దతు ఇచ్చింది. యూనివర్శిటీ ఆఫ్ కాలిఫోర్నియా, శాన్ డియాగో (UC శాన్ డియాగో)లోని టాటా హాల్ నవంబర్ 2018లో ప్రారంభించబడింది, జీవ, భౌతిక శాస్త్రాలకు సంబంధించిన సౌకర్యాలను కలిగి ఉంది, టాటా ఇన్స్టిట్యూట్ ఫర్ జెనెటిక్స్ అండ్ సొసైటీకి నిలయంగా ఉంది. టాటా ఇన్స్టిట్యూట్ ఫర్ జెనెటిక్స్ అండ్ సొసైటీ అనేది ఒక ద్విజాతీయ సంస్థ, ఇది UC శాన్ డియాగో, భారతదేశంలోని పరిశోధన కార్యకలాపాల మధ్య పరిశోధనను సమన్వయం చేస్తుంది, ఇది వెక్టర్-బోర్న్ వ్యాధులను ఎదుర్కోవడంలో సామాజిక, మౌలిక సదుపాయాల అభివృద్ధికి సహాయపడుతుంది. టాటా ట్రస్ట్ల నుండి ఉదారంగా $70 మిలియన్ల బహుమతికి గుర్తింపుగా టాటా హాల్ పేరు పెట్టబడింది. టాటా గ్రూప్, దాతృత్వ అనుబంధ సంస్థ అయిన టాటా ఎడ్యుకేషన్ అండ్ డెవలప్మెంట్ ట్రస్ట్, భారతదేశం నుండి అండర్ గ్రాడ్యుయేట్ విద్యార్థులకు ఆర్థిక సహాయం అందించడానికి కార్నెల్ విశ్వవిద్యాలయాన్ని అనుమతించే $28 మిలియన్ల టాటా స్కాలర్షిప్ ఫండ్ను అందించింది. స్కాలర్షిప్ ఫండ్ ఏ సమయంలోనైనా సుమారు 20 మంది స్కాలర్లకు మద్దతు ఇస్తుంది, వారి ఆర్థిక పరిస్థితులతో సంబంధం లేకుండా అత్యుత్తమ భారతీయ విద్యార్థులు కార్నెల్కు ప్రాప్యత కలిగి ఉండేలా చేస్తుంది. స్కాలర్షిప్ ఏటా ఇవ్వబడుతుంది; గ్రహీతలు కార్నెల్లో వారి అండర్ గ్రాడ్యుయేట్ అధ్యయనం, వ్యవధి కోసం స్కాలర్షిప్ను అందుకుంటారు. 2010లో, టాటా గ్రూప్ కంపెనీలు, టాటా స్వచ్ఛంద సంస్థలు హార్వర్డ్ బిజినెస్ స్కూల్ (HBS)లో ఎగ్జిక్యూటివ్ సెంటర్ నిర్మాణం కోసం $50 మిలియన్లు విరాళంగా అందించాయి. టాటా సన్స్ ఎమెరిటస్ చైర్మన్ రతన్ టాటా (AMP '75) పేరు మీద ఈ కార్యనిర్వాహక కేంద్రానికి టాటా హాల్ అని పేరు పెట్టారు. "
3255,Ratan Thiyam,,
3256,Rathin Datta,,
3257,Ratna Fabri,,
3258,Ratnappa Kumbhar,,
3259,Ratnasundarsuri,,
3260,Rattan Lal,,
3261,Ravi Chaturvedi,,
3262,Ravi Grover,,
3263,Ravi Kannan R,,
3264,Ravi Kant,,
3265,Ravi Kumar Narra,,
3266,Ravi Narayana Reddy,,
3267,Ravi Shankar,,
3268,Ravi Shankar Sharma,,
3269,Ravinder Kumar Bali,,
3270,Ravindra Chandra Bhargava,,
3271,Ravindra Dayal,,
3272,Ravindra Jain,,
3273,Ravindra Kelekar,,
3274,Ravindra Kumar,,
3275,Ravindra Kumar Sinha,,
3276,Ravindra Nagar,,
3277,Ravindra Nath Shrivastava,,
3278,Ravindra Santram Dharkar,,
3279,Ravindra Singh Bisht,,
3280,Ravindra and Smita Kolhe,,
3281,Ravishankar Raval,,
3282,Rear Francis Leslie Fraser,,
3283,Reema Nanavati,,
3284,Reeta Devi,,
3285,Rehana Khatoon,,
3286,Rehman Rahi,,
3287,Rehmath Beegum Sailaniyoda,,
3288,Rekandar Nageswara Rao,,
3289,Rekha,,
3290,Relangi,,
3291,Remo Fernandes,,
3292,Renana Jhabvala,,
3293,Renuka Ray,,
3294,Resul Pookutty,,
3295,Reuben David,,
3296,Rev Joel K. Lakra,,
3297,Rewben Mashangva,,
3298,Richard Attenborough,,
3299,Rita Ganguly,,
3300,Ritu Kumar,,
3301,Ritu Menon,,
3302,Ritwik Ghatak,,
3303,Riyaz Punjabi,,
3304,Robert Blackwill,,
3305,Robert Brocklesby Davis,,
3306,Robert Thurman,,
3307,Robin Banerjee,,
3308,Roddam Narasimha,,
3309,Rohini Godbole,,
3310,Roman Sarmah,,
