,Recipients,biography,biography Telugu
55,Adinath Lahiri,"Adinath Lahiri was born on 24 August 1916. After completing his master's degree in geology and geochemistry from the University of Calcutta, he obtained  Sir Palit Foreign Fellowship of the university and did his doctoral studies at the Imperial College of the University of London to secure a PhD, winning the Judd Memorial Prize for the best thesis in geochemistry. He started his career as a research associate at the Department of Chemical Technology at Imperial College in 1942, but joined the Royal Air Force during World War II to serve as a Scientific Officer and, later, as the Head of the Fuel and Oil Research Section at the Royal Aircraft Establishment, Farnborough airfield. After the war was over, he returned to India, in 1945, to take up the position as the Assistant Director (Planning) at the Council of Scientific and Industrial Research (CSIR) when he contributed to the planning and establishment of the Central Fuel Research Institute (CFRI), Dhanbad. He joined the institute after its inception as the Deputy Director and when the founder director, J. W. Whitteker left, he took over as the director in 1953 to stay with the institute till his superannuation in 1974. In between, he also underwent training under a Summer Fellowship at the Massachusetts Institute of Technology School of Science in 1950. After his retirement from CFRI, he joined the United Nations as an advisor and served in Chile when he died on 26 August 1975, two days after his 60th birthday, succumbing to a cardiac arrest.Lahiri's research interests covered the fields of petrography, oxidation mechanisms, solvent extraction, surface chemistry of coal, catalysts and adsorbents and he was credited with several innovations in fuel technology, which earned him over 90 patents","ఆదినాథ్ లాహిరి 1916 ఆగస్టు 24న జన్మించారు. కలకత్తా విశ్వవిద్యాలయం నుండి జియాలజీ, జియోకెమిస్ట్రీలో మాస్టర్స్ డిగ్రీని పూర్తి చేసిన తర్వాత, ఇతను విశ్వవిద్యాలయం, సర్ పాలిట్ ఫారిన్ ఫెలోషిప్ పొందాడు, లండన్ విశ్వవిద్యాలయంలోని ఇంపీరియల్ కాలేజీలో తన డాక్టరల్ స్టడీస్ చేసి PhD పొందాడు, జడ్ మెమోరియల్ బహుమతిని గెలుచుకున్నాడు. జియోకెమిస్ట్రీలో అత్యుత్తమ థీసిస్. ఇతను 1942లో ఇంపీరియల్ కాలేజీలో డిపార్ట్మెంట్ ఆఫ్ కెమికల్ టెక్నాలజీలో రీసెర్చ్ అసోసియేట్గా తన కెరీర్ను ప్రారంభించాడు, అయితే రెండవ ప్రపంచ యుద్ధం సమయంలో రాయల్ ఎయిర్ఫోర్స్లో సైంటిఫిక్ ఆఫీసర్గా, తరువాత ఇంధనం, చమురు పరిశోధన విభాగానికి అధిపతిగా పనిచేశాడు. ఫార్న్బరో ఎయిర్ఫీల్డ్లోని రాయల్ ఎయిర్క్రాఫ్ట్ ఎస్టాబ్లిష్మెంట్ వద్ద. యుద్ధం ముగిసిన తరువాత, ఇతను 1945లో భారతదేశానికి తిరిగి వచ్చాడు, ఇతను సెంట్రల్ ఫ్యూయల్ రీసెర్చ్, ప్రణాళిక, స్థాపనకు సహకరించినప్పుడు కౌన్సిల్ ఆఫ్ సైంటిఫిక్ అండ్ ఇండస్ట్రియల్ రీసెర్చ్ (CSIR)లో అసిస్టెంట్ డైరెక్టర్ (ప్లానింగ్) పదవిని చేపట్టాడు. ఇన్స్టిట్యూట్ (CFRI), ధన్బాద్. ఇతను ఇన్స్టిట్యూట్ను ప్రారంభించిన తర్వాత డిప్యూటీ డైరెక్టర్గా, వ్యవస్థాపక డైరెక్టర్గా ఉన్నప్పుడు జె. W. విట్టేకర్ నిష్క్రమించాడు, ఇతను 1974లో తన పదవీ విరమణ వరకు ఇన్స్టిట్యూట్లోనే ఉండడానికి 1953లో డైరెక్టర్గా బాధ్యతలు స్వీకరించాడు. మధ్యలో, ఇతను 1950లో మసాచుసెట్స్ ఇన్స్టిట్యూట్ ఆఫ్ టెక్నాలజీ స్కూల్ ఆఫ్ సైన్స్లో సమ్మర్ ఫెలోషిప్ కింద శిక్షణ కూడా పొందాడు. CFRI నుండి పదవీ విరమణ చేసిన తర్వాత, ఇతను ఐక్యరాజ్యసమితిలో సలహాదారుగా చేరాడు, చిలీలో పనిచేశాడు, ఇతను 26 ఆగస్టు 1975న మరణించాడు, తన 60వ పుట్టినరోజు తర్వాత రెండు రోజుల తరువాత, గుండెపోటుతో మరణించాడు. లాహిరి పరిశోధనా ఆసక్తులు పెట్రోగ్రఫీ, ఆక్సీకరణ యంత్రాంగాలు, ద్రావకం వెలికితీత, బొగ్గు ఉపరితల రసాయన శాస్త్రం, ఉత్ప్రేరకాలు, యాడ్సోర్బెంట్ల రంగాలను కవర్ చేశాయి, ఇతను ఇంధన సాంకేతికతలో అనేక ఆవిష్కరణలతో ఘనత పొందాడు, ఇది అతనికి 90 పేటెంట్లను సంపాదించిపెట్టింది. "
56,Aditya Narayan Purohit,,
57,Aditya Nath Jha,,
58,Adnan Sami,,
59,Adoor Gopalakrishnan,"Gopalakrishnan was born on 3 July 1941 in the village of Pallickal (Medayil Bungalow) near Adoor, present day Kerala, he was the son of Madhavan Unnithan and Mouttathu Gauri Kunjamma. He started his artistic life as an actor in amateur plays when he was 8. Later he shifted his base to writing and direction and wrote and directed a few plays. After securing a degree in Economics, Political Science and Public Administration in 1961 from the Gandhigram Rural Institute, he worked as a Government officer near Dindigul in Tamil Nadu. In 1962, he left his job to study screenwriting and direction from the Film and Television Institute of India Pune. He completed his course from there with a scholarship from the Government of India. With his classmates and friends, Gopalakrishnan established Chithralekha Film Society and Chalachithra Sahakarana Sangham; the organization was the first film society in Kerala and it aimed at production, distribution and exhibition of films in the co-operative sector.
Gopalakrishnan has scripted and directed eleven feature films and about thirty short films and documentaries. Notable amongst the non-feature films are those on Kerala's performing arts.

Gopalakrishnan's debut film, the national award-winning Swayamvaram (1972) was a milestone in Malayalam film history","గోపాలకృష్ణన్ 1941 జూలై 3న నేటి కేరళలోని అదూర్ సమీపంలోని పల్లికల్ (మెడయిల్ బంగ్లా) గ్రామంలో మాధవన్ ఉన్నితన్, మౌత్తతు గౌరీ కుంజమ్మ దంపతులకు జన్మించారు. ఇతను 8 సంవత్సరాల వయస్సులో ఔత్సాహిక నాటకాలలో నటుడిగా తన కళాత్మక జీవితాన్ని ప్రారంభించాడు. తరువాత ఇతను తన పునాదిని రచన, దర్శకత్వం వైపు మళ్లించాడు, కొన్ని నాటకాలు వ్రాసి దర్శకత్వం వహించాడు. గాంధీగ్రామ్ రూరల్ ఇన్స్టిట్యూట్ నుండి 1961లో ఎకనామిక్స్, పొలిటికల్ సైన్స్, పబ్లిక్ అడ్మినిస్ట్రేషన్లో పట్టా పొందిన తరువాత, తమిళనాడులోని దిండిగల్ సమీపంలో ప్రభుత్వ అధికారిగా పనిచేశాడు. 1962లో, పూణేలోని ఫిల్మ్ అండ్ టెలివిజన్ ఇన్స్టిట్యూట్ ఆఫ్ ఇండియా నుండి స్క్రీన్ రైటింగ్, డైరెక్షన్ చదవడానికి తన ఉద్యోగాన్ని విడిచిపెట్టాడు. అక్కడి నుంచి భారత ప్రభుత్వ స్కాలర్షిప్తో కోర్సు పూర్తి చేశాడు. తన క్లాస్మేట్స్, స్నేహితులతో కలిసి, గోపాలకృష్ణన్ చిత్రలేఖ ఫిల్మ్ సొసైటీ, చలచిత్ర సహకార సంఘాన్ని స్థాపించారు; ఈ సంస్థ కేరళలో మొట్టమొదటి ఫిల్మ్ సొసైటీ, ఇది సహకార రంగంలో సినిమాల నిర్మాణం, పంపిణీ, ప్రదర్శనను లక్ష్యంగా చేసుకుంది. గోపాలకృష్ణన్ పదకొండు చలనచిత్రాలకు, దాదాపు ముప్పై లఘు చిత్రాలు, డాక్యుమెంటరీలకు స్క్రిప్ట్, దర్శకత్వం వహించారు. నాన్-ఫీచర్ ఫిల్మ్లలో కేరళ ప్రదర్శన కళలకు సంబంధించినవి ముఖ్యమైనవి. గోపాలకృష్ణన్ తొలి చిత్రం, జాతీయ అవార్డు గెలుచుకున్న స్వయంవరం (1972) మలయాళ చిత్ర చరిత్రలో ఒక మైలురాయి. "
60,Adusumalli Radha Krishna,,
61,Adya Prasad Mishra,,
62,Adya Rangacharya,,
63,Adyar K. Lakshman,,
64,Aekka Yadagiri Rao,,
65,Agram Krishnamachar,,
66,Agus Indra Udayana,,
67,Ahalya Chari,"Ahalya Chari was born in 1921 in Rangoon, the capital of British Burma, to Rajalakshmi Chari and Kasturi Rajagopal Chari as the eldest of their seven children. She did her schooling at a girl's convent school run under the British curriculum and graduated from the University of Rangoon in English Literature in 1941. The Second World War forced her family to leave Burma and the family fled to Benares, stopping over at a refugee camp at Shwebo and Calcutta on the way. Settling in Benares, she did her master's degree at Benaras Hindu University and started her career in 1943 as a lecturer at the Vasanta College for Women, where she worked for 10 years.In 1951, Chari resigned from the Vasanta College and moved to Delhi to join the Department of Education - University of Delhi, formerly known as the Central Institute of Education (CIE), as a student for advanced training in education. At this time, she received a Fulbright Scholarship for further studies in the United States where she spent two years and returned to CIE in 1953  as a member of the faculty. When the government decided to set up an apex institution for education with assistance from USAID by hiring consultants from Columbia University, Chari was delegated to the project and was involved with the establishment of the National Institute of Education (NIE) in 1961. After the establishment of the institution, she trained for one year in Applied Linguistics (1961–62) at the University of Edinburgh. On her return to India in 1962, she was appointed as the head of the textbooks department at NCERT, a job she held till 1969. During her time at NCERT, she launched a 'Reading Project' and prepared read-ready materials for inculcating reading habits in children and was instrumental in redesigning the school syllabi","అహల్యా చారి 1921లో బ్రిటిష్ బర్మా రాజధాని రంగూన్లో రాజలక్ష్మి చారి, కస్తూరి రాజగోపాల్ చారి దంపతులకు ఏడుగురు సంతానంలో పెద్దగా జన్మించారు. ఈమె బ్రిటీష్ పాఠ్యాంశాల క్రింద నడిచే బాలికల కాన్వెంట్ పాఠశాలలో తన పాఠశాల విద్యను అభ్యసించింది, 1941లో రంగూన్ విశ్వవిద్యాలయం నుండి ఆంగ్ల సాహిత్యంలో పట్టభద్రురాలైంది. రెండవ ప్రపంచ యుద్ధం ఈమె కుటుంబాన్ని బర్మాను విడిచిపెట్టవలసి వచ్చింది, కుటుంబం బెనారస్కు పారిపోయింది, దారిలో ఉన్న ష్వెబో, కలకత్తాలోని శరణార్థి శిబిరం వద్ద ఆగిపోయింది. బెనారస్లో స్థిరపడిన ఈమె బెనారస్ హిందూ విశ్వవిద్యాలయంలో మాస్టర్స్ డిగ్రీ చేసి, 1943లో వసంత కాలేజ్ ఫర్ ఉమెన్లో లెక్చరర్గా తన వృత్తిని ప్రారంభించింది, అక్కడ ఈమె 10 సంవత్సరాలు పనిచేసింది. 1951లో, చారి వసంత కళాశాలకు రాజీనామా చేసి, విద్యలో ఉన్నత శిక్షణ కోసం విద్యార్థిగా గతంలో సెంట్రల్ ఇన్స్టిట్యూట్ ఆఫ్ ఎడ్యుకేషన్ (CIE)గా పిలువబడే ఢిల్లీ విశ్వవిద్యాలయం - డిపార్ట్మెంట్ ఆఫ్ ఢిల్లీలో చేరడానికి ఢిల్లీకి వెళ్లారు. ఈ సమయంలో, ఈమె యునైటెడ్ స్టేట్స్లో తదుపరి అధ్యయనాల కోసం ఫుల్బ్రైట్ స్కాలర్షిప్ను అందుకుంది, అక్కడ ఈమె రెండు సంవత్సరాలు గడిపింది, 1953లో ఫ్యాకల్టీ సభ్యురాలిగా CIEకి తిరిగి వచ్చింది. కొలంబియా యూనివర్శిటీ నుండి కన్సల్టెంట్లను నియమించడం ద్వారా USAID సహాయంతో విద్య కోసం ఒక అపెక్స్ ఇన్స్టిట్యూషన్ను ఏర్పాటు చేయాలని ప్రభుత్వం నిర్ణయించినప్పుడు, చారి ఈ ప్రాజెక్ట్కు అప్పగించబడ్డాడు, 1961లో నేషనల్ ఇన్స్టిట్యూట్ ఆఫ్ ఎడ్యుకేషన్ (NIE) స్థాపనలో పాల్గొన్నాడు. సంస్థను స్థాపించిన తర్వాత, ఈమె ఎడిన్బర్గ్ విశ్వవిద్యాలయంలో అప్లైడ్ లింగ్విస్టిక్స్ (1961–62)లో ఒక సంవత్సరం పాటు శిక్షణ పొందింది. ఈమె 1962లో భారతదేశానికి తిరిగి వచ్చిన తర్వాత, NCERTలో పాఠ్యపుస్తకాల విభాగానికి అధిపతిగా నియమితులయ్యారు, ఈమె 1969 వరకు ఉద్యోగంలో కొనసాగింది. ఈమె ఎన్సిఇఆర్టిలో ఉన్న సమయంలో, ఈమె 'రీడింగ్ ప్రాజెక్ట్'ను ప్రారంభించింది, పిల్లలలో పఠన అలవాట్లను పెంపొందించడానికి రీడ్-రెడీ మెటీరియల్లను సిద్ధం చేసింది, పాఠశాల సిలబస్ను పునర్నిర్మించడంలో కీలక పాత్ర పోషించింది. "
