,Recipients,early life and career,early life and career Telugu
523,Bhalchandra Dattatray Mondhe,"Mondhe first encountered photography when he was 17. He subsequently became passionate about photography during his youth. In a 2016 feature on him by the Hindustan Times, Mondhe said that he used the camera to encapsulate his vision, adding, ""I have never considered the camera and the lens as a burden to carry, but as my extension"". Mondhe went on to graduate from the Düsseldorf Academy of Fine Arts in Germany.Mondhe also developed an interest in sculpting, with the Nehru Centre hosting his exhibition in October 1993. The magazine India Today described his work as ""unconventional"", mentioning: ""Indore-based Bhalu Mondhe uses anything that is handy – any material and any colour, sometimes brush and sometimes fingers – for what he calls 'playing with the material like a child'. The outcome is an unrestricted interplay of different kinds of material"".Mondhe's exhibition titled 50 Years of Rare Art Journey was also featured at Rangdarshini Gallery, Bharat Bhavan, in Bhopal. The exhibition featured a montage showcasing 50 years of Mondhe's art creations, including 90 pieces of sculptures, images, drawings and paintings. The Pioneer, covering Mondhe's exhibition, described his work as having a ""high vision of creativity"", mentioning that Mondhe ""is an artist with a difference","మొండే తన 17వ ఏట మొదటిసారి ఫోటోగ్రఫీని ఎదుర్కొన్నాడు. ఇతను తన యవ్వనంలో ఫోటోగ్రఫీపై మక్కువ పెంచుకున్నాడు. హిందుస్థాన్ టైమ్స్ అతనిపై 2016లో అందించిన ఫీచర్లో, మోండే తన దృష్టిని కప్పి ఉంచడానికి కెమెరాను ఉపయోగించాడని చెప్పాడు, ""కెమెరా, లెన్స్ను మోయడానికి నేను ఎప్పుడూ భారంగా భావించలేదు, కానీ నా పొడిగింపుగా"". మొండే జర్మనీలోని డ్యూసెల్డార్ఫ్ అకాడమీ ఆఫ్ ఫైన్ ఆర్ట్స్ నుండి పట్టభద్రుడయ్యాడు. అక్టోబర్ 1993లో నెహ్రూ సెంటర్ తన ప్రదర్శనను నిర్వహించడంతో మోండే శిల్పకళపై ఆసక్తిని పెంచుకున్నాడు. ఇండియా టుడే మ్యాగజైన్ అతని పనిని ""అసంప్రదాయమైనది""గా అభివర్ణించింది: ""ఇండోర్కు చెందిన భాలు మోండే సులభతరమైన ఏదైనా ఉపయోగిస్తాడు - ఏదైనా పదార్థం, ఏదైనా రంగు, కొన్నిసార్లు బ్రష్, కొన్నిసార్లు వేళ్లు - ఇతను పిలిచే దాని కోసం 'పిల్లవాడిలా మెటీరియల్తో ఆడుకోవడం. '. ఫలితం వివిధ రకాల పదార్థాల, అనియంత్రిత పరస్పర చర్య"". భోపాల్లోని రంగదర్శిని గ్యాలరీ, భరత్ భవన్లో 50 ఇయర్స్ ఆఫ్ రేర్ ఆర్ట్ జర్నీ పేరుతో మోండే, ప్రదర్శన కూడా ప్రదర్శించబడింది. ఎగ్జిబిషన్లో 90 శిల్పాలు, చిత్రాలు, డ్రాయింగ్లు, పెయింటింగ్లతో సహా 50 సంవత్సరాల మోండే, కళా సృష్టిని ప్రదర్శించే మాంటేజ్ ప్రదర్శించబడింది. ది పయనీర్, మోండే, ఎగ్జిబిషన్ను కవర్ చేస్తూ, అతని పనిని ""సృజనాత్మకత, ఉన్నత దృక్పథం"" కలిగి ఉన్నట్లు వివరించాడు, మోంధే ""వైవిధ్యం కలిగిన కళాకారుడు"" అని పేర్కొన్నాడు. "
524,Bhalchandra Digambar Garware,,
525,Bhalchandra Nemade,,
526,Bhalchandra Nilkanth Purandare,,
527,Bhalchandra Udgaonkar,,
528,Bhalindra Singh,,
529,Bharat Bhushan,,
530,Bharat Bhushan Tyagi,,
531,Bharat Goenka,,
532,Bharat Mishra,,
533,Bharat Ram,,
534,Bharath Gopi,,
535,Bharathi Vishnuvardhan,,
536,Bharathiraja,,
537,Bharati Shivaji,,
538,Bhargavaram Viththal Varerkar,,
539,Bhaurao Krishnaji Gaikwad,,
540,Bhaurao Patil,,
541,Bhavarlal Jain,,
542,Bhawana Somaaya,,
543,Bhawani Prasad Tiwari,,
544,Bhikham Lal Atreya,,
545,Bhikhu Parekh,,
546,Bhikhubhai Khushalbhai Naik,,
547,Bhikhudan Gadhvi,,
548,Bhimsen Joshi,,
549,Bhisham Sahni,,
550,Bhishan Saroop Bansal,,
551,Bhogilal Pandya,,
552,Bhola Nath,,
553,Bhola Nath Jha,,
554,Bhola Nath Mullik,,
555,Bholabhai Patel,,
556,Bhupathiraju Somaraju,,
557,Bhupati Mohan Sen,,
558,Bhupen Hazarika,,
559,Bhupen Khakhar,,
560,Bhuri Bai,,
561,Bhuvneshwari Kumari,,
562,Bibek Debroy,,
563,Bijoy Chandra Bhagavati,,
564,Bijoy Nandan Shahi,,
565,Bikash Bhattacharjee,,
566,Bikash Sinha,,
567,Bilat Paswan Vihangam,,
568,Bilkees I. Latif,,
569,Bill Gates,,
570,Billy Arjan Singh,,
571,Bimal Krishna Matilal,,
572,Bimal Kumar Bachhawat,,
573,Bimal Kumar Jain,,
574,Bimal Kumar Roy,,
575,Bimal Patel,,
576,Bimal Prashad Jain,,
577,Bimala Prasad Chaliha,,
578,Biman Bihari Das,,
579,Bimla Poddar,,
580,Bina Agarwal,,
581,Bina Das,,
582,Binapani Mohanty,,
583,Binay Ranjan Sen,,
584,Bindeshwar Pathak,,
585,Bindeshwari Prasad Verma,,
586,Bindhyabasini Devi,,
587,Binny Yanga,,
588,Binod Kanungo,,
589,Bipan Chandra,,
590,Bipin Ganatra,,
591,Bir Bhan Bhatia,,
592,Biren De,,
593,Biren Kumar Basak,,
594,Birendra Nath Datta,,
595,Birendra Nath Ganguli,,
596,Birendranath Sircar,,
597,Birju Maharaj,,
598,Birkha Bahadur Limboo Muringla,,
599,Bishamber Khanna,,
600,Bishambhar Nath Pande,,
601,Bishan Lal Raina,,
602,Bishan Man Singh,,
603,Bishan Singh Bedi,,
604,Bishnupada Mukerjee,,
605,Bishnupada Mukhopadhyaya,,
606,Bishop Mulanakuzhiyil Abraham Thomas,,
607,Bismillah Khan,,
608,Biswas Ranjan Chatterjee,,
609,Bisweswar Bhattacharjee,,
610,Bob Blackman,"Blackman studied at the University of Liverpool and left with a Bachelor of Science degree. While at Liverpool, he was president of the students' union. He joined the sales team of Burroughs Machines (later Unisys) on graduation. He worked in various sales and management positions for BT and worked at their training school in Milton Keynes as a tutor and later as a regulatory compliance manager for BT until his election to Parliament.","బ్లాక్మాన్ లివర్పూల్ విశ్వవిద్యాలయంలో చదువుకున్నాడు, బ్యాచిలర్ ఆఫ్ సైన్స్ డిగ్రీతో నిష్క్రమించాడు. లివర్పూల్లో ఉన్నప్పుడు, ఇతను విద్యార్థి సంఘం అధ్యక్షుడిగా ఉన్నాడు. ఇతను గ్రాడ్యుయేషన్లో బరోస్ మెషీన్స్ (తరువాత యునిసిస్), సేల్స్ టీమ్లో చేరాడు. ఇతను BT కోసం వివిధ సేల్స్, మేనేజ్మెంట్ స్థానాల్లో పనిచేశాడు, మిల్టన్ కీన్స్లోని వారి శిక్షణా పాఠశాలలో ట్యూటర్గా, తరువాత పార్లమెంటుకు ఎన్నికయ్యే వరకు BTకి రెగ్యులేటరీ కంప్లైయన్స్ మేనేజర్గా పనిచేశాడు. "
611,Bombay Jayashri,,
612,Bombayla Devi Laishram,,
613,Boshi Sen,,
614,Bounlap Keokangna,,
615,Boyi Bhimanna,,
616,Brahm Dutt,,
617,Brahm Nath Qasir Datta,,
618,Brahm Prakash,,
619,Brahma Singh,,
620,Brahmanandam,,
621,Brahmdeo Ram Pandit,,
622,Brahmdev Sharma,,
623,Braj Kumar Nehru,,
624,Brajbir Saran Das,,
625,Brajendra Kishore Banerjee,,
626,Brajesh Mishra,,
627,Brihaspati Dev Triguna,,
628,Brij Krishna Chandiwala,,
629,Brijendra Kumar Rao,,
630,Brijesh Kumar Shukla,,
631,Brijmohan Lall Munjal,,
632,Buangi Sailo,,
633,Buddhadeb Bose,,
634,Buddhadev Das Gupta,,
635,Budhaditya Mukherjee,,
636,Bula Choudhury,,
637,Bulu Imam,,
638,Bunker Roy,,
639,Burjor Cavas Dastur,,
640,C. D. Deshmukh,,
641,C. D. Narasimhaiah,,
642,C. G. Krishnadas Nair,,
643,C. K. Prahalad,,
644,C. Kamlova,,
645,C. Kottieth Lakshmanan,,
646,C. N. Manjunath,,
647,C. N. R. Rao,,
648,C. Narayana Reddy,"Cingireddi Narayana Reddy was born on 29 July 1931 in the village of Hanumajipet in present-day Telangana to a Telugu family of Malla Reddy and Buchamma. His father was a farmer and his mother was a housewife. After completing his higher secondary education, he went on to study at the Osmania University, Hyderabad in 1949. Reddy studied in Urdu medium till his graduation as education in Telugu was not available under Nizam's rule. He took Telugu as his subject during his graduation. Reddy received his Master of Arts degree in 1954 and became a college lecturer in 1955. He received Ph.D. in 1962 on ""Modern Traditions of Telugu"" and became a Professor in 1976.: 2 He did his primary, secondary and higher secondary in Urdu medium","సింగిరెడ్డి నారాయణ రెడ్డి 1931 జూలై 29న ప్రస్తుత తెలంగాణలోని హనుమాజీపేట గ్రామంలో మల్లారెడ్డి, బుచ్చమ్మ దంపతులకు తెలుగు కుటుంబంలో జన్మించారు. అతని తండ్రి రైతు, అతని తల్లి గృహిణి. తన ఉన్నత మాధ్యమిక విద్యను పూర్తి చేసిన తర్వాత, ఇతను 1949లో హైదరాబాద్లోని ఉస్మానియా విశ్వవిద్యాలయంలో చదివాడు. నిజాం పాలనలో తెలుగు విద్య అందుబాటులో లేకపోవడంతో రెడ్డి గ్రాడ్యుయేషన్ వరకు ఉర్దూ మాధ్యమంలో చదివాడు. గ్రాడ్యుయేషన్లో తెలుగు సబ్జెక్ట్గా తీసుకున్నాడు. రెడ్డి 1954లో మాస్టర్ ఆఫ్ ఆర్ట్స్ డిగ్రీని పొందారు, 1955లో కళాశాల అధ్యాపకుడయ్యారు. ఇతను Ph. డి. 1962లో ""తెలుగు ఆధునిక సంప్రదాయాలు"" అనే అంశంపై, 1976లో ప్రొఫెసర్గా మారారు. : 2 ఇతను తన ప్రైమరీ, సెకండరీ, హయ్యర్ సెకండరీ ఉర్దూ మీడియంలో చదివాడు. "
649,C. P. Krishnan Nair,,
650,C. P. Thakur,,
651,C. R. Krishnaswamy Rao,,
652,C. R. Rao,,
653,C. R. Vyas,,
654,C. Rangarajan,,
655,C. S. Seshadri,,
656,C. Sivaramamurti,,
657,C. U. Velmurugendran,,
658,C. V. Chandrasekhar,,
659,C. Vaidyanatha Bhagavathar,,
660,C. Venkata S. Ram,,
661,C. Venkataraman Sundaram,,
662,Camille Bulcke,,
663,Carmel Berkson,,
664,Chackachanveedu Krishnan Nair,,
665,Chaitanyamoy Ganguly,,
666,Chakravarthi V. Narasimhan,,
667,Challagalla Narasimham,,
668,Chaman Lal,,
669,Chaman Lal Sapru,,
670,Chamu Krishna Shastry,,
671,Chanapatha Krishnappa Venkataramayya,,
672,Chand Chhabra,,
673,Chand Ram,,
674,Chanda Kochhar,,
675,Chander Sekhar Samal,,
676,Chandeshwar Prasad Narayan Singh,,
677,Chandgi Ram,,
678,Chandi Prasad Bhatt,,
679,Chandi Prasad Misra,,
680,Chandidan Detha,,
681,Chandra David Devanasan,,
682,Chandra Kisan Daphtary,,
683,Chandra Mohan,,
684,Chandra Prakash Deval,,
685,Chandra Prakash Vohra,,
686,Chandra Prasad Saikia,,
687,Chandra Sekhar Rath,,
688,Chandra Shekhar Singh,,
689,Chandrakant Mehta,,
690,Chandrakant Pithawa,,
691,Chandraprabha Aitwal,,
692,Chandraprava Saikiani,,
693,Chandrashekhar Dasgupta,,
694,Chandrashekhar Lohumi,,
695,Chandrashekhar Shankar Dharmadhikari,,
696,Chandrashekhara Kambara,,
697,Chandravadan Mehta,,
698,Chandrika Prasad Srivastava,,
699,Chandu Borde,,
700,Chandulal Madhavlal Trivedi,,
701,Charanjit Singh,,
702,Charles Borromeo,,
703,Charles Correa,,
704,Chaturbhuj Meher,,
705,Chavaly Srinivasa Sastry,,
706,Chawngthu Lalhmingliana,,
707,Chemanchery Kunhiraman Nair,,
708,Chenganoor Raman Pillai,,
709,Chennamaneni Hanumantha Rao,,
710,Cheril Krishna Menon,,
711,Chewang Motup Goba,,
712,Chewang Norphel,"Coming from a middle-class family of Leh, Norphel went to Amar Singh College in Srinagar as a student of science. He completed a diploma course in civil engineering from Lucknow in 1960. In June 1960, he joined the rural development department of Jammu and Kashmir in Ladakh as a civil engineer. He retired in 1995.","లేహ్లోని మధ్యతరగతి కుటుంబం నుండి వచ్చిన నార్ఫెల్ సైన్స్ విద్యార్థిగా శ్రీనగర్లోని అమర్ సింగ్ కాలేజీకి వెళ్లాడు. ఇతను 1960లో లక్నోలో సివిల్ ఇంజనీరింగ్లో డిప్లొమా కోర్సు పూర్తి చేశాడు. జూన్ 1960లో, ఇతను లడఖ్లోని జమ్మూ, కాశ్మీర్ గ్రామీణాభివృద్ధి విభాగంలో సివిల్ ఇంజనీర్గా చేరాడు. ఆయన 1995లో పదవీ విరమణ చేశారు. "
713,Chewang Phunsog,,
714,Chhakchhuak Chhuanvawram,,
715,Chhannulal Mishra,,
716,Chhattra Pati Joshi,,
717,Chindodi Leela,,
718,Chingamban Kalachand Shastri,,
719,Chinna Pillai,,
720,Chinnaswamy Rajan Subramanian,,
721,Chintakindi Mallesham,,
722,Chintala Venkat Reddy,,
723,Chintaman Govind Pandit,,
724,Chintamoni Kar,,
725,Chiranjeet Chakraborty,,
726,Chiranjeevi,,
727,Chiranjilal Gograj Joshi,,
728,Chitra Naik,,
729,Chitra Visweswaran,,
730,Chitranjan Singh Ranawat,,
731,Chittani Ramachandra Hegde,,
732,Chittoor Mohammed Habeebullah,,
733,Chittor V. Nagaiah,,
734,Chittu Tudu,,
735,Cho Ramaswamy,,
736,Christopher Pinney,,
737,Chuauhang Rokhuma,,
738,Chubalemla AO,,
739,Chuni Goswami,,
740,Claire Vellut,,
741,Coimbatore Narayana Rao Raghavendran,,
742,Colette Mathur,,
743,Coluthur Gopalan,,
744,Coorg Narasimhaiengar Krishna Murthy,,
745,Cooverbai Jahangir Vakil,,
746,Cottari Kankaiyah Nayudu,,
747,Cudonalore Subramania Chetty Sadasivan,,
748,Cyrus S. Poonawalla,,
749,D. B. Deodhar,,
750,D. C. Kizhakemuri,,
751,D. C. Pavate,,
752,D. D. Bhawalkar,,
753,D. K. Khullar,,
754,D. K. Pattammal,,
755,D. Nageshwar Reddy,,
756,D. P. Chattopadhyaya,,
757,D. P. Kohli,,
758,D. P. Roy Choudhury,,
759,D. R. Bendre,,
760,D. R. Karthikeyan,,
761,D. R. Mehta,,
762,D. Ramanaidu,,
763,D. S. Rana,,
764,D. S. Wagh,,
765,D. V. Gundappa,,
766,D. V. S. Raju,,
767,D. Y. Patil,,
768,Dada Shewak Bhojraj,,
769,Dadi Pudumjee,,
770,Dadudan Gadhvi,,
771,Dagdu Maruti Pawar,,
772,Dahyabhai Jivaji Naik,,
