,Recipients,early life,early life Telugu
99,Akshay Kumar Jain,"Born on 30 December 1915 at Bijaigarh in Aligarh district of the Indian state of Uttar Pradesh to Roop Kishore Jain, who was a Diwan, Jain graduated from Holkar Science College, Indore in 1938 and followed it up with a degree in law (LLB) from Aligarh University in 1940. During this period, he was involved with the Indian freedom movement and participated in the Quit India movement of 1942.","30 డిసెంబర్ 1915న భారతదేశంలోని ఉత్తరప్రదేశ్ రాష్ట్రంలోని అలీఘర్ జిల్లాలోని బీజైగఢ్లో దివాన్గా ఉన్న రూప్ కిషోర్ జైన్కు జన్మించిన జైన్ 1938లో ఇండోర్లోని హోల్కర్ సైన్స్ కాలేజీ నుండి పట్టభద్రుడయ్యాడు, దానిని అనుసరించి న్యాయశాస్త్రంలో పట్టా (LLB) పొందాడు. 1940లో అలీఘర్ విశ్వవిద్యాలయం. ఈ కాలంలో, ఇతను భారత స్వాతంత్ర్య ఉద్యమంలో పాల్గొన్నాడు, 1942 క్విట్ ఇండియా ఉద్యమంలో పాల్గొన్నాడు. "
100,Alagappa Chettiar,"Chettiar was born in Kottaiyur in the Sivaganga District of Tamil Nadu to K.V.AL. Ramanathan Chettiar and Umayal Achi. He attended Presidency College at Chennai, where he became friendly with Sarvepalli Radhakrishnan, a model teacher who later  became President of India. In 1930 at the age of 21 he was the first M.A. (English Language and Literature) from the community of Nattukottai Nagarathars.
After his graduation he went to England to study law. He qualified for the Bar at Middle Temple in England in 1933 and became a 'Bar-at-Law' in Chettinad","చెట్టియార్ తమిళనాడులోని శివగంగ జిల్లాలోని కొట్టయ్యూర్లో కె. వి. అల్. రామనాథన్ చెట్టియార్, ఉమయల్ ఆచి. ఇతను చెన్నైలోని ప్రెసిడెన్సీ కళాశాలలో చదివాడు, అక్కడ ఇతను భారతదేశానికి రాష్ట్రపతి అయిన మోడల్ ఉపాధ్యాయుడు సర్వేపల్లి రాధాకృష్ణన్తో స్నేహం చేశాడు. 1930లో 21 ఏళ్ల వయసులో మొదటి ఎం. ఎ. (ఇంగ్లీష్ లాంగ్వేజ్ అండ్ లిటరేచర్) నట్టుకోట్టై నగరాథర్స్ సంఘం నుండి. గ్రాడ్యుయేషన్ తర్వాత ఇతను న్యాయశాస్త్రం అభ్యసించడానికి ఇంగ్లాండ్ వెళ్ళాడు. ఇతను 1933లో ఇంగ్లండ్లోని మిడిల్ టెంపుల్ వద్ద బార్కు అర్హత సాధించాడు, చెట్టినాడ్లో 'బార్-ఎట్-లా' అయ్యాడు. "
101,Alaka Keshav Deshpande,,
102,Alarmel Valli,"Alarmel Valli was born and brought up in Chennai, where she did her schooling from The Sacred Heart Matriculation School, Church Park, Chennai. She graduated with a BA degree in English literature from the Stella Maris College, Chennai. She trained in the Pandanallur style of Bharatanatyam from the age of six, under renowned Gurus, Pandanallur Chokkalingam Pillai and his son Pandanallur Subbaraya Pillai. She studied music under T. Muktha, of the Veena Dhanammal style of music for many years, with a focus on Padams and Javalis.   She also trained in Odissi under Guru Kelucharan Mohapatra and his disciple Guru Ramani Ranjan Jena.","అలార్మెల్ వల్లి చెన్నైలో పుట్టి పెరిగారు, ఈమె చెన్నైలోని చర్చ్ పార్క్లోని ది సేక్రేడ్ హార్ట్ మెట్రిక్యులేషన్ స్కూల్ నుండి పాఠశాల విద్యను అభ్యసించింది. ఈమె చెన్నైలోని స్టెల్లా మారిస్ కళాశాల నుండి ఆంగ్ల సాహిత్యంలో BA పట్టా పొందారు. She trained in the Pandanallur style of Bharatanatyam from the age of six, under renowned Gurus, Pandanallur Chokkalingam Pillai and his son Pandanallur Subbaraya Pillai. టి దగ్గర సంగీతం అభ్యసించింది. ముక్త, పదాలు, జావళిలపై దృష్టి సారించి, చాలా సంవత్సరాలుగా వీణా ధనమ్మాళ్ సంగీత శైలిని కలిగి ఉంది. ఈమె గురు కేలుచరణ్ మోహపాత్ర, అతని శిష్య గురు రమణి రంజన్ జెనా వద్ద ఒడిస్సీలో శిక్షణ పొందింది. "
103,Ale Ahmad Suroor,"Suroor was born in the Badaun city of Uttar Pradesh on 9 September 1911. He studied Science and graduated from St John's College, Agra. He completed his master's degree in English literature in 1934. From 1958 to 1974 he worked as professor and Head of Urdu at Aligarh Muslim University.","సురూర్ ఉత్తర ప్రదేశ్లోని బదౌన్ నగరంలో 9 సెప్టెంబర్ 1911న జన్మించారు. ఇతను సైన్స్ చదివాడు, ఆగ్రాలోని సెయింట్ జాన్స్ కాలేజీ నుండి పట్టభద్రుడయ్యాడు. 1934లో ఆంగ్ల సాహిత్యంలో మాస్టర్స్ డిగ్రీ పూర్తి చేశారు. 1958 నుండి 1974 వరకు అలీఘర్ ముస్లిం విశ్వవిద్యాలయంలో ప్రొఫెసర్, ఉర్దూ అధిపతిగా పనిచేశాడు. "
104,Alexander Kadakin,,
105,Alfred Georg Wuerfel,,
106,Ali Akbar Khan,,
107,Ali Hasan,,
108,Ali Jawad Zaidi,,
109,Ali Manikfan,,
110,Ali Mohammad,,
111,Ali Sardar Jafri,,
112,Ali Yavar Jung,"He was born in Hyderabad to a distinguished Hyderabadi family of scholars, administrators and educators, and studied at Queen's College, Oxford, earning a degree in History.","ఇతను హైదరాబాద్లో ప్రముఖ హైదరాబాదీ కుటుంబంలో పండితుల, నిర్వాహకులు, విద్యావేత్తల కుటుంబంలో జన్మించాడు, ఆక్స్ఫర్డ్లోని క్వీన్స్ కాలేజీలో చరిత్రలో పట్టా పొందాడు. "
113,Alice Boner,,
114,Alice Wilma Khan,,
115,Alka Kriplani,,
116,Alla Rakha,,
117,Allah Jilai Bai,,
118,Allauddin Khan,"Khan was born in Shibpur village in Brahmanbaria (in present-day Bangladesh). His father, Sabdar Hossain Khan, was a musician. Khan took his first music lessons from his elder brother, Fakir Aftabuddin Khan. At age ten, Khan ran away from home to join a jatra party where he was exposed to a variety of folk genres: jari, sari, baul, bhatiyali, kirtan, and panchali.Khan went to Kolkata, where he met a physician named Kedarnath, who helped him to become a disciple of Gopal Krishna Bhattacharya (also known as Nulo Gopal), a notable musician of Kolkata in 1877. Khan practiced sargam for twelve years under his guidance. After the death of Nulo Gopal, Khan turned to instrumental music. He learned to play many indigenous and foreign musical instruments like sitar, flute, piccolo, mandolin, banjo, etc., from Amritalal Dutt, a cousin of Swami Vivekananda and the music director of the Star Theatre. He learnt to play sanai, naquara, tiquara and jagajhampa from Hazari Ustad and pakhawaj, mridang and tabla from Nandababu","ఖాన్ బ్రాహ్మణబారియాలోని (ప్రస్తుత బంగ్లాదేశ్లోని) శిబ్పూర్ గ్రామంలో జన్మించాడు. అతని తండ్రి సబ్దర్ హొస్సేన్ ఖాన్ సంగీత విద్వాంసుడు. ఖాన్ తన మొదటి సంగీత పాఠాలను తన అన్నయ్య ఫకీర్ అఫ్తాబుద్దీన్ ఖాన్ నుండి నేర్చుకున్నాడు. పదేళ్ల వయసులో, ఖాన్ జాత్రా పార్టీలో చేరడానికి ఇంటి నుండి పారిపోయాడు, అక్కడ ఇతను వివిధ జానపద కళా ప్రక్రియలకు గురయ్యాడు: జారి, చీర, బౌల్, భాటియాలీ, కీర్తన, పాంచాలి. ఖాన్ కోల్కతాకు వెళ్ళాడు, అక్కడ ఇతను కేదార్నాథ్ అనే వైద్యుని కలిశాడు, ఇతను 1877లో కోల్కతాకు చెందిన ప్రముఖ సంగీత విద్వాంసుడు గోపాల్ కృష్ణ భట్టాచార్య (నూలో గోపాల్ అని కూడా పిలుస్తారు) శిష్యుడిగా మారడానికి సహాయం చేశాడు. ఖాన్ అతని మార్గదర్శకత్వంలో పన్నెండేళ్లపాటు సర్గాన్ని అభ్యసించాడు. నులో గోపాల్ మరణానంతరం ఖాన్ వాయిద్య సంగీతం వైపు మళ్లారు. ఇతను సితార్, ఫ్లూట్, పికోలో, మాండొలిన్, బాంజో మొదలైన అనేక స్వదేశీ, విదేశీ సంగీత వాయిద్యాలను వాయించడం నేర్చుకున్నాడు., స్వామి వివేకానంద బంధువు, స్టార్ థియేటర్ సంగీత దర్శకుడు అమృతలాల్ దత్ నుండి. ఇతను హజారీ ఉస్తాద్ వద్ద సనాయి, నక్వారా, తిక్వారా, జగఝంపా వాయించడం, నందబాబు వద్ద పఖావాజ్, మృదంగ్, తబలా వాయించడం నేర్చుకున్నాడు. "
