,Recipients,work,work Telugu
542,Bhawana Somaaya,,
543,Bhawani Prasad Tiwari,,
544,Bhikham Lal Atreya,,
545,Bhikhu Parekh,,
546,Bhikhubhai Khushalbhai Naik,,
547,Bhikhudan Gadhvi,,
548,Bhimsen Joshi,,
549,Bhisham Sahni,,
550,Bhishan Saroop Bansal,,
551,Bhogilal Pandya,,
552,Bhola Nath,,
553,Bhola Nath Jha,,
554,Bhola Nath Mullik,,
555,Bholabhai Patel,,
556,Bhupathiraju Somaraju,,
557,Bhupati Mohan Sen,,
558,Bhupen Hazarika,,
559,Bhupen Khakhar,,
560,Bhuri Bai,,
561,Bhuvneshwari Kumari,,
562,Bibek Debroy,,
563,Bijoy Chandra Bhagavati,,
564,Bijoy Nandan Shahi,,
565,Bikash Bhattacharjee,,
566,Bikash Sinha,,
567,Bilat Paswan Vihangam,,
568,Bilkees I. Latif,,
569,Bill Gates,,
570,Billy Arjan Singh,,
571,Bimal Krishna Matilal,,
572,Bimal Kumar Bachhawat,,
573,Bimal Kumar Jain,,
574,Bimal Kumar Roy,,
575,Bimal Patel,,
576,Bimal Prashad Jain,,
577,Bimala Prasad Chaliha,,
578,Biman Bihari Das,,
579,Bimla Poddar,,
580,Bina Agarwal,,
581,Bina Das,,
582,Binapani Mohanty,,
583,Binay Ranjan Sen,,
584,Bindeshwar Pathak,,
585,Bindeshwari Prasad Verma,,
586,Bindhyabasini Devi,,
587,Binny Yanga,,
588,Binod Kanungo,,
589,Bipan Chandra,,
590,Bipin Ganatra,,
591,Bir Bhan Bhatia,,
592,Biren De,,
593,Biren Kumar Basak,,
594,Birendra Nath Datta,,
595,Birendra Nath Ganguli,,
596,Birendranath Sircar,,
597,Birju Maharaj,,
598,Birkha Bahadur Limboo Muringla,,
599,Bishamber Khanna,,
600,Bishambhar Nath Pande,,
601,Bishan Lal Raina,,
602,Bishan Man Singh,,
603,Bishan Singh Bedi,,
604,Bishnupada Mukerjee,,
605,Bishnupada Mukhopadhyaya,,
606,Bishop Mulanakuzhiyil Abraham Thomas,,
607,Bismillah Khan,,
608,Biswas Ranjan Chatterjee,,
609,Bisweswar Bhattacharjee,,
610,Bob Blackman,,
611,Bombay Jayashri,,
612,Bombayla Devi Laishram,,
613,Boshi Sen,,
614,Bounlap Keokangna,,
615,Boyi Bhimanna,,
616,Brahm Dutt,,
617,Brahm Nath Qasir Datta,,
618,Brahm Prakash,,
619,Brahma Singh,,
620,Brahmanandam,,
621,Brahmdeo Ram Pandit,,
622,Brahmdev Sharma,,
623,Braj Kumar Nehru,,
624,Brajbir Saran Das,,
625,Brajendra Kishore Banerjee,,
626,Brajesh Mishra,,
627,Brihaspati Dev Triguna,,
628,Brij Krishna Chandiwala,,
629,Brijendra Kumar Rao,,
630,Brijesh Kumar Shukla,,
631,Brijmohan Lall Munjal,,
632,Buangi Sailo,,
633,Buddhadeb Bose,,
634,Buddhadev Das Gupta,,
635,Budhaditya Mukherjee,,
636,Bula Choudhury,,
637,Bulu Imam,,
638,Bunker Roy,,
639,Burjor Cavas Dastur,,
640,C. D. Deshmukh,,
641,C. D. Narasimhaiah,,
642,C. G. Krishnadas Nair,,
643,C. K. Prahalad,,
644,C. Kamlova,,
645,C. Kottieth Lakshmanan,,
646,C. N. Manjunath,,
647,C. N. R. Rao,,
648,C. Narayana Reddy,,
649,C. P. Krishnan Nair,,
650,C. P. Thakur,,
651,C. R. Krishnaswamy Rao,,
652,C. R. Rao,,
653,C. R. Vyas,,
654,C. Rangarajan,,
655,C. S. Seshadri,,
656,C. Sivaramamurti,,
657,C. U. Velmurugendran,,
658,C. V. Chandrasekhar,,
659,C. Vaidyanatha Bhagavathar,,
660,C. Venkata S. Ram,,
661,C. Venkataraman Sundaram,,
662,Camille Bulcke,,
663,Carmel Berkson,,
664,Chackachanveedu Krishnan Nair,,
665,Chaitanyamoy Ganguly,,
666,Chakravarthi V. Narasimhan,,
667,Challagalla Narasimham,,
668,Chaman Lal,,
669,Chaman Lal Sapru,,
670,Chamu Krishna Shastry,,
671,Chanapatha Krishnappa Venkataramayya,,
672,Chand Chhabra,,
673,Chand Ram,,
674,Chanda Kochhar,,
675,Chander Sekhar Samal,,
676,Chandeshwar Prasad Narayan Singh,,
677,Chandgi Ram,,
678,Chandi Prasad Bhatt,,
679,Chandi Prasad Misra,,
680,Chandidan Detha,,
681,Chandra David Devanasan,,
682,Chandra Kisan Daphtary,,
683,Chandra Mohan,,
684,Chandra Prakash Deval,,
685,Chandra Prakash Vohra,,
686,Chandra Prasad Saikia,,
687,Chandra Sekhar Rath,,
688,Chandra Shekhar Singh,,
689,Chandrakant Mehta,,
690,Chandrakant Pithawa,,
691,Chandraprabha Aitwal,,
692,Chandraprava Saikiani,,
693,Chandrashekhar Dasgupta,,
694,Chandrashekhar Lohumi,,
695,Chandrashekhar Shankar Dharmadhikari,,
696,Chandrashekhara Kambara,,
697,Chandravadan Mehta,,
698,Chandrika Prasad Srivastava,,
699,Chandu Borde,,
700,Chandulal Madhavlal Trivedi,,
701,Charanjit Singh,,
702,Charles Borromeo,,
703,Charles Correa,"''' Style '''
Charles Correa designed almost 100 buildings in India, from low-income housing to luxury condos. He rejected the glass-and-steel approach of some post-modernist buildings, and focused on designs deeply rooted in local cultures, all the while providing modern structural solutions under his creative designs. His style was also focused on reintroducing outdoor spaces and terraces.
His work is the physical manifestation of the idea of Indian nationhood, modernity and progress. His vision sits at the nexus defining the contemporary Indian sensibility and it articulates a new Indian identity with a language that has a global resonance. He is someone who has that rare capacity to give physical form to something as intangible as ‘culture’ or ‘society’ – and his work is therefore critical: aesthetically; sociologically; and culturally.
In 2013, the Royal Institute of British Architects held a retrospective exhibition, ""Charles Correa – India's Greatest Architect"", about the influences of his work on modern urban Indian architecture.


''' Projects '''","''' స్టైల్ '''చార్లెస్ కొరియా భారతదేశంలో దాదాపు 100 భవనాలను రూపొందించారు, తక్కువ-ఆదాయ గృహాల నుండి లగ్జరీ కాండోస్ వరకు. ఇతను కొన్ని పోస్ట్-మాడర్నిస్ట్ భవనాల గాజు, ఉక్కు విధానాన్ని తిరస్కరించాడు, స్థానిక సంస్కృతులలో లోతుగా పాతుకుపోయిన డిజైన్లపై దృష్టి సారించాడు, అదే సమయంలో అతని సృజనాత్మక డిజైన్ల క్రింద ఆధునిక నిర్మాణ పరిష్కారాలను అందించాడు. అతని శైలి బహిరంగ ప్రదేశాలు, టెర్రస్లను తిరిగి ప్రవేశపెట్టడంపై కూడా దృష్టి పెట్టింది. అతని పని భారతీయ జాతీయత, ఆధునికత, పురోగతి, ఆలోచన, భౌతిక అభివ్యక్తి. అతని దృష్టి సమకాలీన భారతీయ సున్నితత్వాన్ని నిర్వచించే అనుబంధంలో ఉంది, ఇది ప్రపంచ ప్రతిధ్వనిని కలిగి ఉన్న భాషతో కొత్త భారతీయ గుర్తింపును వ్యక్తపరుస్తుంది. ఇతను 'సంస్కృతి' లేదా 'సమాజం' వంటి కనిపించని వాటికి భౌతిక రూపాన్ని ఇవ్వగల అరుదైన సామర్థ్యాన్ని కలిగి ఉన్న వ్యక్తి -, అతని పని కాబట్టి క్లిష్టమైనది: సౌందర్యపరంగా; సామాజికంగా;, సాంస్కృతికంగా. 2013లో, రాయల్ ఇన్స్టిట్యూట్ ఆఫ్ బ్రిటీష్ ఆర్కిటెక్ట్స్, ఆధునిక పట్టణ భారతీయ వాస్తుశిల్పంపై ఆయన చేసిన కృషి ప్రభావాల గురించి ""చార్లెస్ కొరియా - భారతదేశపు గొప్ప ఆర్కిటెక్ట్"" అనే రెట్రోస్పెక్టివ్ ఎగ్జిబిషన్ను నిర్వహించింది. '''ప్రాజెక్ట్లు'''. "
704,Chaturbhuj Meher,,
705,Chavaly Srinivasa Sastry,,
706,Chawngthu Lalhmingliana,,
707,Chemanchery Kunhiraman Nair,,
708,Chenganoor Raman Pillai,,
709,Chennamaneni Hanumantha Rao,,
710,Cheril Krishna Menon,,
711,Chewang Motup Goba,,
712,Chewang Norphel,,
713,Chewang Phunsog,,
714,Chhakchhuak Chhuanvawram,,
715,Chhannulal Mishra,,
716,Chhattra Pati Joshi,,
717,Chindodi Leela,,
718,Chingamban Kalachand Shastri,,
719,Chinna Pillai,,
720,Chinnaswamy Rajan Subramanian,,
721,Chintakindi Mallesham,,
722,Chintala Venkat Reddy,,
723,Chintaman Govind Pandit,,
724,Chintamoni Kar,,
725,Chiranjeet Chakraborty,,
726,Chiranjeevi,,
727,Chiranjilal Gograj Joshi,,
728,Chitra Naik,,
729,Chitra Visweswaran,,
730,Chitranjan Singh Ranawat,,
731,Chittani Ramachandra Hegde,,
732,Chittoor Mohammed Habeebullah,,
733,Chittor V. Nagaiah,,
734,Chittu Tudu,,
735,Cho Ramaswamy,,
736,Christopher Pinney,,
737,Chuauhang Rokhuma,,
738,Chubalemla AO,,
739,Chuni Goswami,,
740,Claire Vellut,,
741,Coimbatore Narayana Rao Raghavendran,,
742,Colette Mathur,,
743,Coluthur Gopalan,,
744,Coorg Narasimhaiengar Krishna Murthy,,
745,Cooverbai Jahangir Vakil,,
746,Cottari Kankaiyah Nayudu,,
747,Cudonalore Subramania Chetty Sadasivan,,
748,Cyrus S. Poonawalla,,
749,D. B. Deodhar,,
750,D. C. Kizhakemuri,,
751,D. C. Pavate,,
752,D. D. Bhawalkar,,
753,D. K. Khullar,,
754,D. K. Pattammal,,
755,D. Nageshwar Reddy,,
756,D. P. Chattopadhyaya,,
757,D. P. Kohli,,
758,D. P. Roy Choudhury,,
759,D. R. Bendre,,
760,D. R. Karthikeyan,,
761,D. R. Mehta,,
762,D. Ramanaidu,,
763,D. S. Rana,,
764,D. S. Wagh,,
765,D. V. Gundappa,,
766,D. V. S. Raju,,
767,D. Y. Patil,,
768,Dada Shewak Bhojraj,,
769,Dadi Pudumjee,,
770,Dadudan Gadhvi,,
771,Dagdu Maruti Pawar,,
772,Dahyabhai Jivaji Naik,,
773,Dahyabhai Shastri,,
774,Daitari Naik,,
775,Daji Bhatawadekar,,
776,Dalavai Chalapathi Rao,,
777,Dalip Kaur Tiwana,,
778,Dalip Kumar Sengupta,,
779,Daljeet Singh Gambhir,,
780,Daljit Singh,,
781,Dalsukh Dahyabhai Malvania,,
782,Dalveer Bhandari,,
783,Damal Kandalai Srinivasan,,
784,Damayanti Beshra,,
785,Damayanti Joshi,,
786,Damodar Bapat,,
787,Damodar Keshav Datar,,
788,Danny Denzongpa,,
789,Dara Kaikhuswrao Karanjavala,,
790,Dara Nusserwanji Khurody,,
791,Darab Jehangir Jussawala,,
792,Darashaw Nosherwan Wadia,,
793,Darchhawna,,
794,Daripalli Ramaiah,,
795,Darshan Lal Jain,,
796,Darshan Singh Vohra,,
797,Darshana Jhaveri,,
798,Dasari Prasada Rao,,
799,Dashrath Patel,,
800,Dasika Durga Prasada Rao,,
801,Dattatraya Mahadeo Dahanukar,,
802,Dattatraya Nagappa Pai,,
803,Dattatraya Shridhar Joshi,,
804,Dattatraya Yeshwant Phadke,,
805,Dattatreyudu Nori,,
806,Datto Vaman Potdar,,
807,Daulat Singh Kothari,,
808,David Abraham Cheulkar,,
809,David Frawley,,
810,Daya Kishore Hazra,,
811,Daya Prakash Sinha,,
812,Dayananda Saraswati,,
813,Debaki Bose,,
814,Debdulal Bandopadhyaya,,
815,Debi Prasad Mukherjee,,
816,Debi Prasanna Pattanayak,,
817,Debiprasad Chattopadhyaya,,
818,Debu Chaudhuri,,
819,Deep Joshi,,
820,Deepa Malik,,
821,Deepak B. Phatak,,
822,Deepak Parekh,,
823,Deepak Puri,,
824,Deepak Sehgal,,
825,Deepika Kumari,,
826,Deori Omem Moyong,,
827,Dev Anand,,
828,Devaki Jain,,
829,Devan Venkata Reddy,,
830,Devanur Mahadeva,,
831,Devappagowda Chinnaiah,,
832,Devarapalli Prakash Rao,,
833,Devayani,,
834,Devchand Chaggan Lal Shah,,
835,Devchand Chhaganlal Shah,,
836,Devendra Dayabhai Patel,,
837,Devendra Jhajharia,,
838,Devendra Lal,,
839,Devendra Nath Samant,,
840,Devendra Patel,,
841,Devendra Satyarthi,,
842,Devendra Sen,,
843,Devendra Swarup,,
844,Devendra Triguna,,
845,Devi Dutt Sharma,,
846,Devi Lal Samar,,
847,Devi Sahai Jindal,,
848,Devi Shetty,,
849,Devika Rani,,
850,Devindra Rahinwal,,
851,Deviprasad Dwivedi,,
852,Devki Nandan Pande,,
853,Devulapalli Krishnasastri,,
854,Dhani Prem,,
855,Dhanpati Rai Nagpaul,,
856,Dhanraj Bhagat,,
857,Dhanraj Pillay,,
858,Dhanvanthi Rama Rau,,
859,Dhanwant Singh,,
860,Dharam Pal Saini,,
861,Dharam Veer Sachdeva,,
862,Dharamchand Patni,,
863,Dharamvir Bharati,,
864,Dharma Narayan Barma,,
865,Dharma Vira,,
866,Dharmendra,,
867,Dhera Ram Shah,,
868,Dhirendra Nath Bezbaruah,,
869,Dhirendra Nath Ganguly,,
870,Dhirubhai Ambani,,
871,Dhirubhai Thaker,,
872,Dhondo Keshav Karve,,
873,Dhyan Chand,,
874,Dhyan Pal Singh,,
875,Diana Edulji,,
876,Digambar Behera,,
877,Digamber Hansda,,
878,Digamber Vasudev Joglekar,,
879,Dilbagh Singh Athwal,,
880,Dilip Chakravarty,,
881,Dilip K. Biswas,,
882,Dilip Kumar,,
883,Dilip Shanghvi,,
884,Dilip Tirkey,,
885,Dilip Vengsarkar,,
886,Dimitris C. Velissaropoulos,,
887,Din Dayal,,
888,Dina Nath Malhotra,,
889,Dinabandhu Banerjee,,
890,Dinamani Sridhar Kamat,,
891,Dinesh K. Bhargava,,
892,Dinesh Mohan,,
893,Dinesh Nandini Dalmia,,
894,Dinesh Singh,,
895,Dingko Singh,,
896,Dinkar Gangadhar Kelkar,,
897,Dinyar Contractor,,
898,Dipa Karmakar,,
899,Dipali Barthakur,,
900,Dipankar Banerjee,,
901,Dipankar Chatterji,,
902,Dipika Pallikal,,
903,Diwaliben Punjabhai Bhil,,
904,Doddarange Gowda,,
905,Dominique Lapierre,,
906,Donty Naranappa Krishnaia Setty,,
907,Dorairajan Balasubramanian,,
908,Doraiswamy Iyengar,,
909,Dorothy Chacko,,
910,Dr. Bhupendra Kumar Singh San'a,,
911,Dr. Chandrakant Sambhaji Pandav,,
912,Dr. Dhananjay Diwakar Sa deo,,
913,Dr. Dilip Kumar Singh,,
914,Dr. J N Pande (Posthumous),,
915,Dr. Krishna Mohan Pathi,,
916,Dr. Rattan Lal Mittal,,
917,Dr. Thiruvengadam Veeraraghavan,,
918,Draupadi Ghimiray,,
919,Dukhan Ram,,
920,Dula Bhaya Kag,,
921,Dulal Manki,,
922,Durga Das Basu,,
923,Durga Deulkar,,
924,Durga Jain,,
925,Durga Khote,,
926,Durgabai Deshmukh,,
927,Dušan Zbavitel,,
928,Dwaram Venkataswamy Naidu,,
929,Dwijen Mukhopadhyay,,
930,Dwijendra Nath Mukerjee,,
931,E. A. S. Prasanna,,
932,E. A. Siddiq,,
933,E. C. George Sudarshan,,
934,E. Sreedharan,,
935,E. Srinivasan Parthasarthy,,
936,E. T. Narayanan Mooss,,
937,Earnest Joachin Joseph Borges,,
938,Eberhard Fischer,,
939,Ebrahim Alkazi,,
940,Edith Helen Paull,,
941,Edmund Hillary,,
942,Edward Kutchat,,
943,Eknath Vasant Chitnis,,
944,Ekta Kapoor,,
945,Ela Bhatt,,
946,Ela Gandhi,,
947,Elam Endira Devi,,
948,Elangbam Nilakanta Singh#,,
949,Eledath Thaikkattu Neelakandan Mooss,,
950,Eli Ahmed,,
951,Eliza Nelson,,
952,Elizabeth Brunner,,
953,Eluvathingal Devassy Jemmis,,
954,Emani Sankara Sastry,,
955,Enamul Haque,,
956,Enuga Sreenivasulu Reddy,,
957,Erasmus Lyngdoh,,
958,Esther Abrham Solomon,,
959,Eswara Iyer Krishna Iyer,,
960,Eugene Chelyshev,,
961,Evelyn Norah Shullai,,
962,Evengeline Lazarus,,
963,Ezra Mir,,
964,Fali Sam Nariman,,
965,Faquir Chand Kohli,,
966,Fareed Zakaria,,
967,Farokh Engineer,,
968,Farokh Udwadia,,
969,Fateh Chand Badhwar,,
970,Fateh Chand Gera,,
971,Father Vallés,,
972,Fatima Ismail,,
973,Fatima Zakaria,,
974,Fayaz Ahmad Jan,,
975,Fazal Ali,,
976,Fazal Mohammad,,
977,Felisa Garbala,,
978,Fenner Brockway,,
979,Flora MacDonald,,
980,Francis Dore,,
981,Frank Pallone,,
982,Frank Sathyarajan Dewars,,
983,Friederike Irina,,
984,G. Aravindan,,
985,G. B. Parulkar,,
986,G. Bakthavathsalam,,
987,G. C. D. Bharti,,
988,G. D. Yadav,,
989,G. Krishna,,
990,G. Madhavan Nair,,
991,G. Muniratnam,,
992,G. N. Devy,,
993,G. N. Malviya,,
994,G. P. Chopra,,
995,G. S. Melkote,,
996,G. S. Sainani,,
997,G. S. Venkataraman,,
998,G. Sankara Kurup,"''' Poetry '''


''' Short Story anthologies '''
G. Sankara Kurup (1948). ""Rajanandini"". Kerala State Central Library Catalogue. Retrieved 28 January 2019.
Sankara Kurup, G. (1949). ""Harischandran"". Kerala State Central Library Catalogue. S Sundar Iyer & Sons","''' కవిత '''''' కథా సంకలనాలు '''జి. శంకర కురుప్ (1948). ""రాజనందిని"". కేరళ స్టేట్ సెంట్రల్ లైబ్రరీ కేటలాగ్. 28 జనవరి 2019న తిరిగి పొందబడింది. శంకర కురుప్, జి. (1949). ""హరిశ్చంద్రన్"". కేరళ స్టేట్ సెంట్రల్ లైబ్రరీ కేటలాగ్. S సుందర్ అయ్యర్ & సన్స్. "
999,G. Shankar,,
1000,G. V. Iyer Ramakrishna,,
1001,G. Venkatasubbiah,,
1002,Gabriel Chiramel,,
1003,Gadde Ramakoteswar Rao,,
1004,Gadul Singh Lama,,
1005,Gafurbhai M. Bilakhia,,
1006,Gagan Narang,,
1007,Gaganvihari Lallubhai Mehta,,
1008,Gainedi A. Narasimha Rao,,
1009,Gajam Anjaiah,,
1010,Gajam Govardhana,,
1011,Gajanan Digambar Madgulkar,,
1012,Gajendra Narayan Singh,,
1013,Gambhir Singh Mura,,
1014,Ganda Singh,,
1015,Ganesh Gobind Karkhanis,,
1016,Ganesh Kumar Mani,,
1017,Ganeshan Venkataraman,,
1018,Ganga Devi,,
1019,Ganga Prasad Birla,,
1020,Gangadhar Pantawane,,
1021,Gangadhar Pradhan,,
1022,Gangubai Hangal,,
1023,Ganpatbhai Patel,,
1024,Ganpatrao Jadhav,,
1025,Gary Ackerman,,
1026,Gaura Pant Shivani,,
1027,Gautam Gambhir,,
1028,Gautam Vaghela,,
1029,Gayatri Chakravorty Spivak,"In ""Can the Subaltern Speak?"", Spivak discusses the lack of an account of the Sati practice, leading her to reflect on whether the subaltern can even speak.  Spivak writes about the process, the focus on the Eurocentric Subject as they disavow the problem of representation; and by invoking the Subject of Europe, these intellectuals constitute the subaltern 'Other of Europe' as anonymous and mute.
Spivak rose to prominence with her translation of Derrida's De la grammatologie, which included a translator's introduction that has been described as ""setting a new standard for self-reflexivity in prefaces"". After this, as a member of the ""Subaltern Studies Collective"", she carried out a series of historical studies and literary critiques of imperialism and international feminism. She has often referred to herself as a ""practical Marxist-feminist-deconstructionist"". Her predominant ethico-political concern has been for the space occupied by the subaltern, especially subaltern women, both in discursive practices and in institutions of Western cultures. Edward Said wrote of Spivak's work, ""She pioneered the study in literary theory of non-Western women and produced one of the earliest and most coherent accounts of that role available to us.""Her A Critique of Postcolonial Reason, published in 1999, explores how major works of European metaphysics (e.g., Kant, Hegel) not only tend to exclude the subaltern from their discussions, but actively prevent non-Europeans from occupying positions as fully human subjects","""సబాల్టర్న్ మాట్లాడగలడా?""లో, స్పివాక్ సతీ అభ్యాసం, ఖాతా లేకపోవడం గురించి చర్చించాడు, సబాల్టర్న్ కూడా మాట్లాడగలడా లేదా అనే దాని గురించి ఈమె ఆలోచించేలా చేస్తుంది. స్పివాక్ ప్రక్రియ గురించి వ్రాశాడు, యూరోసెంట్రిక్ సబ్జెక్ట్పై దృష్టి పెట్టడం వలన వారు ప్రాతినిధ్యం, సమస్యను తిరస్కరించారు;, ఐరోపా, సబ్జెక్ట్ను ప్రారంభించడం ద్వారా, ఈ మేధావులు సబాల్టర్న్ 'అదర్ ఆఫ్ యూరప్'ని అనామకంగా, మూగజీవులుగా ఏర్పరిచారు. స్పివాక్ డెరిడా, డి లా గ్రామటాలజీ, అనువాదంతో ప్రాముఖ్యతను సంతరించుకుంది, ఇందులో అనువాదకుని పరిచయం ఉంది, ఇది ""ముందుమాటలలో స్వీయ-ప్రతిబింబానికి కొత్త ప్రమాణాన్ని ఏర్పాటు చేయడం""గా వర్ణించబడింది. దీని తరువాత, ""సబాల్టర్న్ స్టడీస్ కలెక్టివ్"" సభ్యురాలిగా, ఈమె సామ్రాజ్యవాదం, అంతర్జాతీయ స్త్రీవాదంపై చారిత్రక అధ్యయనాలు, సాహిత్య విమర్శల శ్రేణిని నిర్వహించింది. ఈమె తరచుగా తనను తాను ""ప్రాక్టికల్ మార్క్సిస్ట్-ఫెమినిస్ట్-డికన్స్ట్రక్షనిస్ట్"" అని పేర్కొంది. విచక్షణాపరమైన పద్ధతులు, పాశ్చాత్య సంస్కృతుల సంస్థలలో సబాల్టర్న్, ముఖ్యంగా సబాల్టర్న్ మహిళలు ఆక్రమించిన స్థలం పట్ల ఈమె ప్రధానమైన నైతిక-రాజకీయ ఆందోళన ఉంది. ఎడ్వర్డ్ సేడ్ స్పివాక్, పని గురించి ఇలా వ్రాశాడు, ""ఈమె పాశ్చాత్యేతర మహిళల సాహిత్య సిద్ధాంతంలో అధ్యయనానికి మార్గదర్శకత్వం వహించింది, మాకు అందుబాటులో ఉన్న ఆ పాత్రకు సంబంధించిన తొలి, అత్యంత పొందికైన ఖాతాలలో ఒకదాన్ని రూపొందించింది. ""హర్ ఎ క్రిటిక్ ఆఫ్ పోస్ట్కలోనియల్ రీజన్, 1999లో ప్రచురించబడింది, యూరోపియన్ మెటాఫిజిక్స్, ప్రధాన రచనలను ఎలా అన్వేషిస్తుంది (ఉదా. g., కాంట్, హెగెల్) వారి చర్చల నుండి సబాల్టర్న్ను మినహాయించడమే కాకుండా, యూరోపియన్లు కాని వారిని పూర్తిగా మానవ విషయాల వలె స్థానాలను ఆక్రమించకుండా చురుకుగా నిరోధించారు. "
