,Recipients,political career,political career Telugu
577,Bimala Prasad Chaliha,"During his tenure as the Chief Minister, the Assam Official Language Act, 1960 was enacted, which made Assamese language the sole official language of the state. During his terms the Chinese attacked India at Bomdilla then called NEFA now known as Arunachal Pradesh. He strongly opposed the division of Assam State into smaller states like Nagaland, Mizoram and Meghalaya and was member in various Committees of India's Central Government. Only after his death the State of Assam was broken down into smaller States. The March 1966 Mizo National Front uprising also happened during his tenure. Earlier he was instrumental in promoting the Plantations Labour Act, 1951 and corresponding Assam Plantations Labour Rules, 1956 to safeguard the interest of the Tea Plantation Workers of Assam. During his second term as Chief Minister the issue of illegal migration from then East Bengal came up, he claimed there were 300,000 illegal entrants in Assam, and he took active steps to deport them in his third term.","ఆయన ముఖ్యమంత్రిగా ఉన్న సమయంలో, అస్సాం అధికార భాషా చట్టం, 1960 రూపొందించబడింది, ఇది అస్సామీ భాషను రాష్ట్ర ఏకైక అధికారిక భాషగా చేసింది. అతని పదవీకాలంలో చైనీయులు బొమ్డిల్లా వద్ద భారతదేశంపై దాడి చేశారు, దీనిని NEFA అని ఇప్పుడు అరుణాచల్ ప్రదేశ్ అని పిలుస్తారు. ఇతను అస్సాం రాష్ట్రాన్ని నాగాలాండ్, మిజోరాం, మేఘాలయ వంటి చిన్న రాష్ట్రాలుగా విభజించడాన్ని తీవ్రంగా వ్యతిరేకించాడు, భారత కేంద్ర ప్రభుత్వంలోని వివిధ కమిటీలలో సభ్యుడు. అతని మరణానంతరం అస్సాం రాష్ట్రం చిన్న రాష్ట్రాలుగా విడిపోయింది. మార్చి 1966 మిజో నేషనల్ ఫ్రంట్ తిరుగుబాటు కూడా ఆయన హయాంలోనే జరిగింది. అంతకుముందు ఇతను అస్సాంలోని తేయాకు తోటల కార్మికుల ప్రయోజనాలను కాపాడేందుకు ప్లాంటేషన్ లేబర్ యాక్ట్, 1951, సంబంధిత అస్సాం ప్లాంటేషన్ లేబర్ రూల్స్, 1956ను ప్రోత్సహించడంలో కీలకపాత్ర పోషించాడు. ఆయన రెండవసారి ముఖ్యమంత్రిగా ఉన్న సమయంలో, తూర్పు బెంగాల్ నుండి అక్రమ వలసల సమస్య తలెత్తింది, అస్సాంలో 300, 000 మంది అక్రమ ప్రవేశకులు ఉన్నారని ఆయన పేర్కొన్నారు, తన మూడవ టర్మ్లో వారిని బహిష్కరించడానికి చురుకుగా చర్యలు తీసుకున్నారు. "
578,Biman Bihari Das,,
579,Bimla Poddar,,
580,Bina Agarwal,,
581,Bina Das,,
582,Binapani Mohanty,,
583,Binay Ranjan Sen,,
584,Bindeshwar Pathak,,
585,Bindeshwari Prasad Verma,,
586,Bindhyabasini Devi,,
587,Binny Yanga,,
588,Binod Kanungo,,
589,Bipan Chandra,,
590,Bipin Ganatra,,
591,Bir Bhan Bhatia,,
592,Biren De,,
593,Biren Kumar Basak,,
594,Birendra Nath Datta,,
595,Birendra Nath Ganguli,,
596,Birendranath Sircar,,
597,Birju Maharaj,,
598,Birkha Bahadur Limboo Muringla,,
599,Bishamber Khanna,,
600,Bishambhar Nath Pande,"Member of the Legislative Assembly, Uttar Pradesh
Mayor of Allahabad
Member of Parliament in the Rajya Sabha (upper house), 1976 to 1984 and 1989 to 1998
President of the Pradesh Congress Committee, Uttar Pradesh, 1980 to 1983
Governor of Odisha, 1984 to 1988","శాసన సభ సభ్యుడు, ఉత్తర ప్రదేశ్ అలహాబాద్ మేయర్ రాజ్యసభలో పార్లమెంటు సభ్యుడు (ఎగువ సభ), 1976 నుండి 1984, 1989 నుండి 1998 వరకు ప్రదేశ్ కాంగ్రెస్ కమిటీ అధ్యక్షుడు, ఉత్తర ప్రదేశ్, 1980 నుండి 1983 ఒడిశా గవర్నర్, 19884 నుండి 1984 వరకు. "
601,Bishan Lal Raina,,
602,Bishan Man Singh,,
603,Bishan Singh Bedi,,
604,Bishnupada Mukerjee,,
605,Bishnupada Mukhopadhyaya,,
606,Bishop Mulanakuzhiyil Abraham Thomas,,
607,Bismillah Khan,,
608,Biswas Ranjan Chatterjee,,
609,Bisweswar Bhattacharjee,,
610,Bob Blackman,"Blackman unsuccessfully stood as the Conservative candidate in the Tokyngton ward of Brent London Borough Council in 1986. In 1990, he stood in the Preston ward and was elected; he retained the seat until 2010, when he did not stand. He was the leader of the Conservative group on Brent council from 1990 to 2010, having been council leader between 1991 and 1996, when his party lost control of the council. From June 2006 to May 2010, he was deputy leader of Brent Council, the Conservatives having formed a coalition with the Liberal Democrats.
He unsuccessfully stood as the Conservative parliamentary candidate for Brent South at the 1992 election, for Bedford at the 1997 election, and for Brent North at the 2005 election.
He stood as the Conservative Party candidate for the London Assembly constituency of Brent and Harrow at the 2000 elections, losing to the Labour candidate Toby Harris. He defeated Harris at the 2004 assembly elections and was elected as the Conservative group's whip on the London Assembly. In the 2008 Assembly election, Blackman lost his seat to the Labour candidate Navin Shah by 1,649 votes.","బ్లాక్మ్యాన్ 1986లో బ్రెంట్ లండన్ బరో కౌన్సిల్లోని టోకింగ్టన్ వార్డులో కన్జర్వేటివ్ అభ్యర్థిగా విఫలమయ్యాడు. 1990లో, ఇతను ప్రెస్టన్ వార్డులో నిలబడి ఎన్నికయ్యాడు; ఇతను 2010 వరకు సీటును నిలబెట్టుకున్నాడు, ఇతను నిలబడలేదు. ఇతను 1990 నుండి 2010 వరకు బ్రెంట్ కౌన్సిల్లో కన్జర్వేటివ్ గ్రూపుకు నాయకుడు, 1991, 1996 మధ్య కౌన్సిల్ నాయకుడిగా ఉన్నాడు, అతని పార్టీ కౌన్సిల్పై నియంత్రణ కోల్పోయింది. జూన్ 2006 నుండి మే 2010 వరకు, ఇతను బ్రెంట్ కౌన్సిల్కు డిప్యూటీ లీడర్గా ఉన్నాడు, కన్జర్వేటివ్లు లిబరల్ డెమోక్రాట్లతో సంకీర్ణాన్ని ఏర్పాటు చేశారు. ఇతను 1992 ఎన్నికలలో బ్రెంట్ సౌత్ కొరకు, 1997 ఎన్నికలలో బెడ్ఫోర్డ్ కొరకు, 2005 ఎన్నికలలో బ్రెంట్ నార్త్ కొరకు కన్జర్వేటివ్ పార్లమెంటరీ అభ్యర్థిగా విఫలమయ్యాడు. ఇతను 2000 ఎన్నికలలో లండన్ అసెంబ్లీ నియోజకవర్గం బ్రెంట్ అండ్ హారోకు కన్జర్వేటివ్ పార్టీ అభ్యర్థిగా నిలబడి లేబర్ అభ్యర్థి టోబీ హారిస్ చేతిలో ఓడిపోయాడు. ఇతను 2004 అసెంబ్లీ ఎన్నికలలో హారిస్ను ఓడించి లండన్ అసెంబ్లీలో కన్జర్వేటివ్ గ్రూపు విప్గా ఎన్నికయ్యాడు. 2008 అసెంబ్లీ ఎన్నికలలో, బ్లాక్మన్ తన స్థానాన్ని లేబర్ అభ్యర్థి నవీన్ షా చేతిలో 1, 649 ఓట్ల తేడాతో కోల్పోయాడు. "
611,Bombay Jayashri,,
612,Bombayla Devi Laishram,,
613,Boshi Sen,,
614,Bounlap Keokangna,,
615,Boyi Bhimanna,,
616,Brahm Dutt,,
617,Brahm Nath Qasir Datta,,
618,Brahm Prakash,,
619,Brahma Singh,,
620,Brahmanandam,,
621,Brahmdeo Ram Pandit,,
622,Brahmdev Sharma,,
623,Braj Kumar Nehru,,
624,Brajbir Saran Das,,
625,Brajendra Kishore Banerjee,,
626,Brajesh Mishra,,
627,Brihaspati Dev Triguna,,
628,Brij Krishna Chandiwala,,
629,Brijendra Kumar Rao,,
630,Brijesh Kumar Shukla,,
631,Brijmohan Lall Munjal,,
632,Buangi Sailo,,
633,Buddhadeb Bose,,
634,Buddhadev Das Gupta,,
635,Budhaditya Mukherjee,,
636,Bula Choudhury,,
637,Bulu Imam,,
638,Bunker Roy,,
639,Burjor Cavas Dastur,,
640,C. D. Deshmukh,,
641,C. D. Narasimhaiah,,
642,C. G. Krishnadas Nair,,
643,C. K. Prahalad,,
644,C. Kamlova,,
645,C. Kottieth Lakshmanan,,
646,C. N. Manjunath,,
647,C. N. R. Rao,,
648,C. Narayana Reddy,,
649,C. P. Krishnan Nair,,
650,C. P. Thakur,,
651,C. R. Krishnaswamy Rao,,
652,C. R. Rao,,
653,C. R. Vyas,,
654,C. Rangarajan,,
655,C. S. Seshadri,,
656,C. Sivaramamurti,,
657,C. U. Velmurugendran,,
658,C. V. Chandrasekhar,,
659,C. Vaidyanatha Bhagavathar,,
660,C. Venkata S. Ram,,
661,C. Venkataraman Sundaram,,
662,Camille Bulcke,,
663,Carmel Berkson,,
664,Chackachanveedu Krishnan Nair,,
665,Chaitanyamoy Ganguly,,
666,Chakravarthi V. Narasimhan,,
667,Challagalla Narasimham,,
668,Chaman Lal,,
669,Chaman Lal Sapru,,
670,Chamu Krishna Shastry,,
671,Chanapatha Krishnappa Venkataramayya,,
672,Chand Chhabra,,
673,Chand Ram,,
674,Chanda Kochhar,,
675,Chander Sekhar Samal,,
676,Chandeshwar Prasad Narayan Singh,,
677,Chandgi Ram,,
678,Chandi Prasad Bhatt,,
679,Chandi Prasad Misra,,
680,Chandidan Detha,,
681,Chandra David Devanasan,,
682,Chandra Kisan Daphtary,,
683,Chandra Mohan,,
684,Chandra Prakash Deval,,
685,Chandra Prakash Vohra,,
686,Chandra Prasad Saikia,,
687,Chandra Sekhar Rath,,
688,Chandra Shekhar Singh,,
689,Chandrakant Mehta,,
690,Chandrakant Pithawa,,
691,Chandraprabha Aitwal,,
692,Chandraprava Saikiani,,
693,Chandrashekhar Dasgupta,,
694,Chandrashekhar Lohumi,,
695,Chandrashekhar Shankar Dharmadhikari,,
696,Chandrashekhara Kambara,,
697,Chandravadan Mehta,,
698,Chandrika Prasad Srivastava,,
699,Chandu Borde,,
700,Chandulal Madhavlal Trivedi,,
701,Charanjit Singh,,
702,Charles Borromeo,,
703,Charles Correa,,
704,Chaturbhuj Meher,,
705,Chavaly Srinivasa Sastry,,
706,Chawngthu Lalhmingliana,,
707,Chemanchery Kunhiraman Nair,,
708,Chenganoor Raman Pillai,,
709,Chennamaneni Hanumantha Rao,,
710,Cheril Krishna Menon,,
711,Chewang Motup Goba,,
712,Chewang Norphel,,
713,Chewang Phunsog,,
714,Chhakchhuak Chhuanvawram,,
715,Chhannulal Mishra,,
716,Chhattra Pati Joshi,,
717,Chindodi Leela,,
718,Chingamban Kalachand Shastri,,
719,Chinna Pillai,,
720,Chinnaswamy Rajan Subramanian,,
721,Chintakindi Mallesham,,
722,Chintala Venkat Reddy,,
723,Chintaman Govind Pandit,,
724,Chintamoni Kar,,
725,Chiranjeet Chakraborty,"Chiranjeet contested in the 2011 West Bengal state assembly election in Barasat constituency for All India Trinamool Congress and won the seat. As of June 2020, he is a Member of the Legislative Assembly of Government of West Bengal. In March 2021, Mamata Banerjee announced Chiranjeet would contest from Barasat Vidan Sabha constituency in the West Bengal Legislative Assembly Election 2021. He is the candidate of AITC from Barasat since 2011.[3]He once again regained the Barasat constituency as AITC candidate after defeating BJP candidate Sankar Chatterjee with a margin of 23,783 votes as declared on 2 May 2021.","చిరంజీత్ 2011 పశ్చిమ బెంగాల్ రాష్ట్ర అసెంబ్లీ ఎన్నికల్లో ఆల్ ఇండియా తృణమూల్ కాంగ్రెస్ తరపున బరాసత్ నియోజకవర్గంలో పోటీ చేసి సీటు గెలుచుకున్నారు. జూన్ 2020 నాటికి, ఇతను పశ్చిమ బెంగాల్ ప్రభుత్వ శాసన సభ సభ్యుడు. మార్చి 2021లో, పశ్చిమ బెంగాల్ శాసనసభ ఎన్నికల 2021లో బరాసత్ విదాన్ సభ నియోజకవర్గం నుండి చిరంజీత్ పోటీ చేస్తారని మమతా బెనర్జీ ప్రకటించారు. ఇతను 2011 నుండి బరాసత్ నుండి AITC అభ్యర్థి. [3]ఇతను 2 మే 2021న ప్రకటించిన ప్రకారం 23, 783 ఓట్ల తేడాతో BJP అభ్యర్థి శంకర్ ఛటర్జీని ఓడించి AITC అభ్యర్థిగా మరోసారి బరాసత్ నియోజకవర్గాన్ని తిరిగి పొందాడు. "
726,Chiranjeevi,"In 2008, Chiranjeevi started Praja Rajyam Party, a political party in the state of Andhra Pradesh. At the launch, he stated that social justice was the main agenda of his party. In the 2009 general elections, the party won 18 of the 294 seats in the Andhra Pradesh Legislative Assembly. He contested from both Tirupati and Palakollu constituencies winning in Tirupati but losing out in Palakollu, in West Godavari district.

On 6 February 2011, Chiranjeevi merged the 30-month-old Praja Rajyam Party with the Indian National Congress, after two weeks of talks with Sonia Gandhi, the president of the Congress, which feared the no-confidence motion in the state assembly in the wake of the emergence of Y. S. Jagan Mohan Reddy's YSR Congress Party and the stronghold of Telangana agitation. After more than one year of merging his party into Congress, he was nominated to Rajya Sabha on 29 March 2012. He got elected and took the oath as a Rajya Sabha member on 3 April 2012. On 28 October 2012, he was sworn in as the Union Minister of State (Independent charge), Ministry of Tourism, Government of India","2008లో చిరంజీవి ఆంధ్ర ప్రదేశ్ రాష్ట్రంలో ప్రజారాజ్యం పార్టీ అనే రాజకీయ పార్టీని ప్రారంభించారు. ఈ సందర్భంగా ఆయన మాట్లాడుతూ సామాజిక న్యాయమే తమ పార్టీ ప్రధాన ఎజెండా అని అన్నారు. 2009 సార్వత్రిక ఎన్నికలలో, ఆంధ్రప్రదేశ్ శాసనసభలోని 294 స్థానాలకు గాను 18 స్థానాలను పార్టీ గెలుచుకుంది. తిరుపతి, పాలకొల్లు రెండు నియోజకవర్గాల నుంచి పోటీ చేసి తిరుపతిలో గెలిచినా పశ్చిమగోదావరి జిల్లా పాలకొల్లులో ఓడిపోయారు. 6 ఫిబ్రవరి 2011న, రాష్ట్ర అసెంబ్లీలో అవిశ్వాస తీర్మానానికి భయపడిన కాంగ్రెస్ అధ్యక్షురాలు సోనియా గాంధీతో రెండు వారాల చర్చల తర్వాత, చిరంజీవి 30 నెలల ప్రజారాజ్యం పార్టీని భారత జాతీయ కాంగ్రెస్లో విలీనం చేశారు. Y, ఆవిర్భావం నేపథ్యంలో. ఎస్. జగన్ మోహన్ రెడ్డి వైఎస్ఆర్ కాంగ్రెస్ పార్టీ, తెలంగాణ ఆందోళనల కోట. తన పార్టీని కాంగ్రెస్లో విలీనం చేసిన ఒక సంవత్సరానికి పైగా, ఇతను 29 మార్చి 2012న రాజ్యసభకు నామినేట్ అయ్యాడు. ఇతను 3 ఏప్రిల్ 2012న ఎన్నికై రాజ్యసభ సభ్యునిగా ప్రమాణ స్వీకారం చేశారు. 28 అక్టోబరు 2012న, ఇతను భారత ప్రభుత్వంలోని కేంద్ర పర్యాటక మంత్రిత్వ శాఖ సహాయ మంత్రిగా (స్వతంత్ర బాధ్యత) ప్రమాణ స్వీకారం చేశారు. "
727,Chiranjilal Gograj Joshi,,
728,Chitra Naik,,
729,Chitra Visweswaran,,
730,Chitranjan Singh Ranawat,,
731,Chittani Ramachandra Hegde,,
732,Chittoor Mohammed Habeebullah,,
733,Chittor V. Nagaiah,,
734,Chittu Tudu,,
735,Cho Ramaswamy,,
736,Christopher Pinney,,
737,Chuauhang Rokhuma,,
738,Chubalemla AO,,
739,Chuni Goswami,,
740,Claire Vellut,,
741,Coimbatore Narayana Rao Raghavendran,,
742,Colette Mathur,,
743,Coluthur Gopalan,,
744,Coorg Narasimhaiengar Krishna Murthy,,
