,Recipients,positions held,positions held Telugu
642,C. G. Krishnadas Nair,"C. G. K. Nair has held various positions in his career.
Chancellor of Jain University, Bangalore -India (CURRENT)
Chairman and Chief Executive Officer of Hindustan Aeronautics Limited.
Independent Director at Global Vectra Helicorp Limited since 4 May 2012
Non-Executive Independent Director at Titan Industries Limited since 2 May 2002
Member - Scientific Advisory Committee to the Cabinet of India
Member - Enterprise Reform Committee to the Government of Kerala
Chairman of the Society of Defence Technologists (SODET)
President of the Society of Indian Aerospace Technologies
Member of Governing Council of MVJ College of Engineering
President of Aeronautical Society of India
President of Indian Institute of Metals
Vice-Chancellor of MATS University
Managing Director, Cochin International Airport Limited
Founder of International Institute for Aerospace Engineering & Management (IIAEM), Bangalore
Chairman of National Institute of Technology Calicut","సి. జి. కె. నాయర్ తన కెరీర్లో వివిధ పదవులను నిర్వహించారు. జైన్ యూనివర్శిటీ ఛాన్సలర్, బెంగళూరు -ఇండియా (ప్రస్తుత) హిందుస్థాన్ ఏరోనాటిక్స్ లిమిటెడ్ చైర్మన్, చీఫ్ ఎగ్జిక్యూటివ్ ఆఫీసర్. 4 మే 2012 నుండి గ్లోబల్ వెక్ట్రా హెలికార్ప్ లిమిటెడ్లో ఇండిపెండెంట్ డైరెక్టర్, 2 మే 2002 నుండి టైటాన్ ఇండస్ట్రీస్ లిమిటెడ్లో నాన్-ఎగ్జిక్యూటివ్ ఇండిపెండెంట్ డైరెక్టర్ - సభ్యుడు - భారత క్యాబినెట్కు శాస్త్రీయ సలహా కమిటీ సభ్యుడు - ఎంటర్ప్రైజ్ రిఫార్మ్ కమిటీ ఆఫ్ ది సొసైటీ ఆఫ్ కేరళ ప్రభుత్వానికి డిఇఎఫ్ఎస్ఓ చైర్మన్ సొసైటీ ఆఫ్ ఇండియన్ ఏరోస్పేస్ టెక్నాలజీస్ ప్రెసిడెంట్, MVJ కాలేజ్ ఆఫ్ ఇంజినీరింగ్ గవర్నింగ్ కౌన్సిల్ సభ్యుడు, ఇండియన్ ఇన్స్టిట్యూట్ ఆఫ్ మెటల్స్ అధ్యక్షుడు, ఇండియన్ ఇన్స్టిట్యూట్ ఆఫ్ మెటల్స్ వైస్-ఛాన్సలర్, MATS యూనివర్శిటీ మేనేజింగ్ డైరెక్టర్, కొచ్చిన్ ఇంటర్నేషనల్ ఎయిర్పోర్ట్ లిమిటెడ్ ఫౌండర్ ఆఫ్ ఇంటర్నేషనల్ ఇన్స్టిట్యూట్ ఫర్ ఏరోస్పేస్ ఇంజనీరింగ్ & మేనేజ్మెంట్, బెంగళూరు (IIA ఎయిర్పోర్ట్) నేషనల్ ఇన్స్టిట్యూట్ ఆఫ్ టెక్నాలజీ కాలికట్. "
643,C. K. Prahalad,,
644,C. Kamlova,,
645,C. Kottieth Lakshmanan,,
646,C. N. Manjunath,,
647,C. N. R. Rao,,
648,C. Narayana Reddy,,
649,C. P. Krishnan Nair,,
650,C. P. Thakur,"He has held the following government positions:

1984 Elected to Eighth Lok Sabha
1990-91 Chairman, Kala-azar Spot Assessment Committee Government of India
1990-93 Member, Advisory Committee on kala-azar Government of India
1991 Member, Expert kala-azar committee to formulate prevention programme for kala-azar, Government of India
1998 Member, Twelfth Lok Sabha (2nd term)
1998-99 Member, Committee on Science and Technology, Environment and Forests; and its Sub-Committee on Ganga Action Plan Member, Consultative Committee for the Ministry of External Affairs
1999 Member, Thirteenth Lok Sabha (3rd term)
22 Nov 1999-26 May 2000 Union Cabinet Minister, Water Resources
27 May 2000 – 30 June 2002 Union Cabinet Minister, Health and Family Welfare
29 Jan 2003-May 2004 Union Cabinet Minister, Small Scale Industries, Development of North-Eastern Region
April 2008 Elected to Rajya Sabha from Bihar
Aug. 2008 onwards Member, Committee on the Empowerment of Women
Aug. 2008- May 2009 Member, Committee on Information Technology
May 2009 onwards Member, Court of the Jawaharlal Nehru University
Aug. 2009 onwards Member, Committee on Chemicals and Fertilizers Member, Consultative Committee for the Ministry of Health and Family Welfare
Aug. 2012 onwards Member, Committee on Information Technology
Aug. 2012 onwards Member, Committee on Empowerment of Women
Jan. 2016 onwards Chairman, The Scouts/Guides Organisation
March 2019 He was appointed as Chancellor of Central University of South Bihar","ఇతను క్రింది ప్రభుత్వ పదవులను నిర్వహించాడు: 1984 ఎనిమిదవ లోక్సభకు ఎన్నికయ్యారు. కాలా-అజర్ కోసం కార్యక్రమం, భారత ప్రభుత్వం1998 సభ్యుడు, పన్నెండవ లోక్సభ (2వ టర్మ్)1998-99 సభ్యుడు, సైన్స్ అండ్ టెక్నాలజీ, పర్యావరణం, అడవులపై కమిటీ;, గంగా కార్యాచరణ ప్రణాళికపై దాని సబ్-కమిటీ సభ్యుడు, విదేశాంగ మంత్రిత్వ శాఖ కోసం కన్సల్టేటివ్ కమిటీ1999 సభ్యుడు, పదమూడవ లోక్సభ (3వ టర్మ్) 22 నవంబర్ 1999-26 మే 2000 కేంద్ర కేబినెట్ మంత్రి, జలవనరులు27 మే 2000 - 30 జూన్ 2002 కేంద్ర క్యాబినెట్ మంత్రి, ఆరోగ్యం, కుటుంబ సంక్షేమం29 జనవరి 2003-మే 2004 కేంద్ర క్యాబినెట్ మంత్రి, చిన్న తరహా పరిశ్రమలు, ఈశాన్య ప్రాంత అభివృద్ధి ఏప్రిల్ 2008 బీహార్ నుండి రాజ్యసభకు ఎన్నికయ్యారు. 2008 నుండి సభ్యురాలు, మహిళా సాధికారత కమిటీ ఆగస్టు. 2008- మే 2009 సభ్యుడు, ఇన్ఫర్మేషన్ టెక్నాలజీపై కమిటీ మే 2009 నుండి సభ్యుడు, జవహర్లాల్ నెహ్రూ యూనివర్సిటీ ఆగస్టు. 2009 నుండి సభ్యుడు, కెమికల్స్ అండ్ ఫెర్టిలైజర్స్ కమిటీ సభ్యుడు, ఆరోగ్య, కుటుంబ సంక్షేమ మంత్రిత్వ శాఖ కోసం కన్సల్టేటివ్ కమిటీ ఆగస్టు. 2012 నుండి సభ్యులు, ఇన్ఫర్మేషన్ టెక్నాలజీపై కమిటీ ఆగస్టు. 2012 నుండి సభ్యులు, మహిళా సాధికారత కమిటీ జనవరి. 2016 నుండి ఛైర్మన్, స్కౌట్స్/గైడ్స్ ఆర్గనైజేషన్ మార్చి 2019 ఇతను సౌత్ బీహార్ సెంట్రల్ యూనివర్శిటీకి ఛాన్సలర్గా నియమితులయ్యారు. "
651,C. R. Krishnaswamy Rao,,
652,C. R. Rao,,
653,C. R. Vyas,,
654,C. Rangarajan,,
655,C. S. Seshadri,,
656,C. Sivaramamurti,,
657,C. U. Velmurugendran,,
658,C. V. Chandrasekhar,,
659,C. Vaidyanatha Bhagavathar,,
660,C. Venkata S. Ram,,
661,C. Venkataraman Sundaram,,
662,Camille Bulcke,,
663,Carmel Berkson,,
664,Chackachanveedu Krishnan Nair,,
665,Chaitanyamoy Ganguly,,
666,Chakravarthi V. Narasimhan,,
667,Challagalla Narasimham,,
668,Chaman Lal,,
669,Chaman Lal Sapru,,
670,Chamu Krishna Shastry,,
671,Chanapatha Krishnappa Venkataramayya,,
672,Chand Chhabra,,
673,Chand Ram,,
674,Chanda Kochhar,,
675,Chander Sekhar Samal,,
676,Chandeshwar Prasad Narayan Singh,,
677,Chandgi Ram,,
678,Chandi Prasad Bhatt,,
679,Chandi Prasad Misra,,
680,Chandidan Detha,,
681,Chandra David Devanasan,,
682,Chandra Kisan Daphtary,,
683,Chandra Mohan,,
684,Chandra Prakash Deval,,
685,Chandra Prakash Vohra,,
686,Chandra Prasad Saikia,,
687,Chandra Sekhar Rath,,
688,Chandra Shekhar Singh,,
689,Chandrakant Mehta,,
690,Chandrakant Pithawa,,
691,Chandraprabha Aitwal,,
692,Chandraprava Saikiani,,
693,Chandrashekhar Dasgupta,,
694,Chandrashekhar Lohumi,,
695,Chandrashekhar Shankar Dharmadhikari,,
696,Chandrashekhara Kambara,,
697,Chandravadan Mehta,,
698,Chandrika Prasad Srivastava,,
699,Chandu Borde,,
700,Chandulal Madhavlal Trivedi,,
701,Charanjit Singh,,
702,Charles Borromeo,,
703,Charles Correa,,
704,Chaturbhuj Meher,,
705,Chavaly Srinivasa Sastry,,
706,Chawngthu Lalhmingliana,,
707,Chemanchery Kunhiraman Nair,,
708,Chenganoor Raman Pillai,,
709,Chennamaneni Hanumantha Rao,,
710,Cheril Krishna Menon,,
711,Chewang Motup Goba,,
712,Chewang Norphel,,
713,Chewang Phunsog,,
714,Chhakchhuak Chhuanvawram,,
715,Chhannulal Mishra,,
716,Chhattra Pati Joshi,,
717,Chindodi Leela,,
718,Chingamban Kalachand Shastri,,
719,Chinna Pillai,,
720,Chinnaswamy Rajan Subramanian,,
721,Chintakindi Mallesham,,
722,Chintala Venkat Reddy,,
723,Chintaman Govind Pandit,,
724,Chintamoni Kar,,
725,Chiranjeet Chakraborty,,
726,Chiranjeevi,,
727,Chiranjilal Gograj Joshi,,
728,Chitra Naik,,
729,Chitra Visweswaran,,
730,Chitranjan Singh Ranawat,,
731,Chittani Ramachandra Hegde,,
732,Chittoor Mohammed Habeebullah,,
733,Chittor V. Nagaiah,,
734,Chittu Tudu,,
735,Cho Ramaswamy,,
736,Christopher Pinney,,
737,Chuauhang Rokhuma,,
738,Chubalemla AO,,
739,Chuni Goswami,,
740,Claire Vellut,,
741,Coimbatore Narayana Rao Raghavendran,,
742,Colette Mathur,,
743,Coluthur Gopalan,,
744,Coorg Narasimhaiengar Krishna Murthy,,
745,Cooverbai Jahangir Vakil,,
746,Cottari Kankaiyah Nayudu,,
747,Cudonalore Subramania Chetty Sadasivan,,
748,Cyrus S. Poonawalla,,
749,D. B. Deodhar,,
750,D. C. Kizhakemuri,,
751,D. C. Pavate,,
752,D. D. Bhawalkar,,
753,D. K. Khullar,,
754,D. K. Pattammal,,
755,D. Nageshwar Reddy,,
756,D. P. Chattopadhyaya,,
757,D. P. Kohli,,
758,D. P. Roy Choudhury,,
759,D. R. Bendre,,
760,D. R. Karthikeyan,,
761,D. R. Mehta,,
762,D. Ramanaidu,,
763,D. S. Rana,,
764,D. S. Wagh,,
765,D. V. Gundappa,,
766,D. V. S. Raju,,
767,D. Y. Patil,,
768,Dada Shewak Bhojraj,,
769,Dadi Pudumjee,,
770,Dadudan Gadhvi,,
771,Dagdu Maruti Pawar,,
772,Dahyabhai Jivaji Naik,,
773,Dahyabhai Shastri,,
774,Daitari Naik,,
775,Daji Bhatawadekar,,
776,Dalavai Chalapathi Rao,,
777,Dalip Kaur Tiwana,,
778,Dalip Kumar Sengupta,,
779,Daljeet Singh Gambhir,,
780,Daljit Singh,,
781,Dalsukh Dahyabhai Malvania,,
782,Dalveer Bhandari,,
783,Damal Kandalai Srinivasan,,
784,Damayanti Beshra,,
785,Damayanti Joshi,,
786,Damodar Bapat,,
787,Damodar Keshav Datar,,
788,Danny Denzongpa,,
789,Dara Kaikhuswrao Karanjavala,,
790,Dara Nusserwanji Khurody,,
791,Darab Jehangir Jussawala,,
792,Darashaw Nosherwan Wadia,,
793,Darchhawna,,
794,Daripalli Ramaiah,,
795,Darshan Lal Jain,,
796,Darshan Singh Vohra,,
797,Darshana Jhaveri,,
798,Dasari Prasada Rao,,
799,Dashrath Patel,,
800,Dasika Durga Prasada Rao,,
801,Dattatraya Mahadeo Dahanukar,,
802,Dattatraya Nagappa Pai,,
803,Dattatraya Shridhar Joshi,,
804,Dattatraya Yeshwant Phadke,,
805,Dattatreyudu Nori,,
806,Datto Vaman Potdar,,
807,Daulat Singh Kothari,,
808,David Abraham Cheulkar,,
809,David Frawley,,
810,Daya Kishore Hazra,,
811,Daya Prakash Sinha,,
812,Dayananda Saraswati,,
813,Debaki Bose,,
814,Debdulal Bandopadhyaya,,
815,Debi Prasad Mukherjee,,
816,Debi Prasanna Pattanayak,,
817,Debiprasad Chattopadhyaya,,
818,Debu Chaudhuri,,
819,Deep Joshi,,
820,Deepa Malik,,
821,Deepak B. Phatak,,
822,Deepak Parekh,,
823,Deepak Puri,,
824,Deepak Sehgal,,
825,Deepika Kumari,,
826,Deori Omem Moyong,,
827,Dev Anand,,
828,Devaki Jain,,
829,Devan Venkata Reddy,,
830,Devanur Mahadeva,,
831,Devappagowda Chinnaiah,,
832,Devarapalli Prakash Rao,,
833,Devayani,,
834,Devchand Chaggan Lal Shah,,
835,Devchand Chhaganlal Shah,,
836,Devendra Dayabhai Patel,,
837,Devendra Jhajharia,,
838,Devendra Lal,,
839,Devendra Nath Samant,,
840,Devendra Patel,,
841,Devendra Satyarthi,,
842,Devendra Sen,,
843,Devendra Swarup,,
844,Devendra Triguna,,
845,Devi Dutt Sharma,,
846,Devi Lal Samar,,
847,Devi Sahai Jindal,,
848,Devi Shetty,,
849,Devika Rani,,
850,Devindra Rahinwal,,
851,Deviprasad Dwivedi,,
852,Devki Nandan Pande,,
853,Devulapalli Krishnasastri,,
854,Dhani Prem,,
855,Dhanpati Rai Nagpaul,,
856,Dhanraj Bhagat,,
857,Dhanraj Pillay,,
858,Dhanvanthi Rama Rau,,
859,Dhanwant Singh,,
860,Dharam Pal Saini,,
861,Dharam Veer Sachdeva,,
862,Dharamchand Patni,,
863,Dharamvir Bharati,,
864,Dharma Narayan Barma,,
865,Dharma Vira,,
866,Dharmendra,,
867,Dhera Ram Shah,,
868,Dhirendra Nath Bezbaruah,,
869,Dhirendra Nath Ganguly,,
870,Dhirubhai Ambani,,
871,Dhirubhai Thaker,,
872,Dhondo Keshav Karve,,
873,Dhyan Chand,,
874,Dhyan Pal Singh,,
875,Diana Edulji,,
876,Digambar Behera,,
877,Digamber Hansda,,
878,Digamber Vasudev Joglekar,,
879,Dilbagh Singh Athwal,,
880,Dilip Chakravarty,,
881,Dilip K. Biswas,,
882,Dilip Kumar,,
883,Dilip Shanghvi,,
884,Dilip Tirkey,,
885,Dilip Vengsarkar,,
886,Dimitris C. Velissaropoulos,,
887,Din Dayal,,
888,Dina Nath Malhotra,,
889,Dinabandhu Banerjee,,
890,Dinamani Sridhar Kamat,,
891,Dinesh K. Bhargava,,
892,Dinesh Mohan,,
893,Dinesh Nandini Dalmia,,
894,Dinesh Singh,,
895,Dingko Singh,,
896,Dinkar Gangadhar Kelkar,,
897,Dinyar Contractor,,
898,Dipa Karmakar,,
899,Dipali Barthakur,,
900,Dipankar Banerjee,,
901,Dipankar Chatterji,,
902,Dipika Pallikal,,
903,Diwaliben Punjabhai Bhil,,
904,Doddarange Gowda,,
905,Dominique Lapierre,,
906,Donty Naranappa Krishnaia Setty,,
907,Dorairajan Balasubramanian,,
908,Doraiswamy Iyengar,,
909,Dorothy Chacko,,
910,Dr. Bhupendra Kumar Singh San'a,,
911,Dr. Chandrakant Sambhaji Pandav,,
912,Dr. Dhananjay Diwakar Sa deo,,
913,Dr. Dilip Kumar Singh,,
914,Dr. J N Pande (Posthumous),,
915,Dr. Krishna Mohan Pathi,,
916,Dr. Rattan Lal Mittal,,
917,Dr. Thiruvengadam Veeraraghavan,,
918,Draupadi Ghimiray,,
919,Dukhan Ram,,
920,Dula Bhaya Kag,,
921,Dulal Manki,,
922,Durga Das Basu,,
923,Durga Deulkar,,
924,Durga Jain,,
925,Durga Khote,,
926,Durgabai Deshmukh,,
927,Dušan Zbavitel,,
928,Dwaram Venkataswamy Naidu,,
929,Dwijen Mukhopadhyay,,
930,Dwijendra Nath Mukerjee,,
931,E. A. S. Prasanna,,
932,E. A. Siddiq,,
933,E. C. George Sudarshan,,
934,E. Sreedharan,,
935,E. Srinivasan Parthasarthy,,
936,E. T. Narayanan Mooss,,
937,Earnest Joachin Joseph Borges,,
938,Eberhard Fischer,,
939,Ebrahim Alkazi,,
940,Edith Helen Paull,,
941,Edmund Hillary,,
942,Edward Kutchat,,
943,Eknath Vasant Chitnis,,
944,Ekta Kapoor,,
945,Ela Bhatt,,
946,Ela Gandhi,,
947,Elam Endira Devi,,
948,Elangbam Nilakanta Singh#,,
949,Eledath Thaikkattu Neelakandan Mooss,,
950,Eli Ahmed,,
951,Eliza Nelson,,
952,Elizabeth Brunner,,
953,Eluvathingal Devassy Jemmis,,
954,Emani Sankara Sastry,,
955,Enamul Haque,,
956,Enuga Sreenivasulu Reddy,,
957,Erasmus Lyngdoh,,
958,Esther Abrham Solomon,,
959,Eswara Iyer Krishna Iyer,,
960,Eugene Chelyshev,,
961,Evelyn Norah Shullai,,
962,Evengeline Lazarus,,
963,Ezra Mir,,
964,Fali Sam Nariman,,
965,Faquir Chand Kohli,,
966,Fareed Zakaria,,
967,Farokh Engineer,,
968,Farokh Udwadia,,
969,Fateh Chand Badhwar,,
970,Fateh Chand Gera,,
971,Father Vallés,,
972,Fatima Ismail,,
973,Fatima Zakaria,,
974,Fayaz Ahmad Jan,,
975,Fazal Ali,,
976,Fazal Mohammad,,
977,Felisa Garbala,,
978,Fenner Brockway,,
979,Flora MacDonald,,
980,Francis Dore,,
981,Frank Pallone,,
982,Frank Sathyarajan Dewars,,
983,Friederike Irina,,
984,G. Aravindan,,
985,G. B. Parulkar,,
986,G. Bakthavathsalam,"Bakthavathsalam has held numerous positions in his career in the healthcare sector and has chaired in the following positions: Prof. of Surgery, Govt. Royapettah Hospital, Madras, Registrar of Surgery, Coimbatore Medical College, (1969–73) |. Surgical Registrar - Altoona Hospital, Altoona, Pennsylvania, U.S.A, (1973) | Fellow in GI Endoscopy at Tokyo University, Japan (1984) | Consultant Surgeon - G. Kuppusamy Naidu Memorial Hospital, Coimbatore (1978) |  Recognized Guide for Ph.D. research students of Bharathiar University, Coimbatore, (since 1985) | Hon. Prof","భక్తవత్సలం తన కెరీర్లో హెల్త్కేర్ రంగంలో అనేక పదవులను నిర్వహించారు, ఈ క్రింది స్థానాల్లో అధ్యక్షత వహించారు: ప్రొ. సర్జరీ, ప్రభుత్వం. రాయపేట హాస్పిటల్, మద్రాస్, రిజిస్ట్రార్ ఆఫ్ సర్జరీ, కోయంబత్తూరు మెడికల్ కాలేజ్, (1969–73) |. సర్జికల్ రిజిస్ట్రార్ - ఆల్టూనా హాస్పిటల్, అల్టూనా, పెన్సిల్వేనియా, యు. ఎస్. A, (1973) | టోక్యో యూనివర్సిటీ, జపాన్లో GI ఎండోస్కోపీలో ఫెలో (1984) | కన్సల్టెంట్ సర్జన్ - జి. కుప్పుసామి నాయుడు మెమోరియల్ హాస్పిటల్, కోయంబత్తూర్ (1978) | Ph కోసం గుర్తింపు పొందిన గైడ్. డి. భారతియార్ విశ్వవిద్యాలయం, కోయంబత్తూరు పరిశోధనా విద్యార్థులు (1985 నుండి) | గౌరవనీయులు. ప్రొ. "
987,G. C. D. Bharti,,
988,G. D. Yadav,,
989,G. Krishna,,
990,G. Madhavan Nair,,
991,G. Muniratnam,,
992,G. N. Devy,,
993,G. N. Malviya,,
994,G. P. Chopra,,
995,G. S. Melkote,,
996,G. S. Sainani,,
997,G. S. Venkataraman,,
998,G. Sankara Kurup,,
999,G. Shankar,,
1000,G. V. Iyer Ramakrishna,,
1001,G. Venkatasubbiah,,
1002,Gabriel Chiramel,,
1003,Gadde Ramakoteswar Rao,,
1004,Gadul Singh Lama,,
1005,Gafurbhai M. Bilakhia,,
1006,Gagan Narang,,
1007,Gaganvihari Lallubhai Mehta,,
1008,Gainedi A. Narasimha Rao,,
1009,Gajam Anjaiah,,
1010,Gajam Govardhana,,
1011,Gajanan Digambar Madgulkar,,
1012,Gajendra Narayan Singh,,
1013,Gambhir Singh Mura,,
1014,Ganda Singh,,
1015,Ganesh Gobind Karkhanis,,
1016,Ganesh Kumar Mani,,
1017,Ganeshan Venkataraman,,
1018,Ganga Devi,,
1019,Ganga Prasad Birla,,
1020,Gangadhar Pantawane,,
1021,Gangadhar Pradhan,"National Scholarship from Deptt. Of Culture, Govt. of Inda for higher training and research in Odissi Dance
Member, General Council, Sangeet Natak Akademi
Member- Eastern Zonal Cultural Centre
Founder-Director – Orissa Dance Academy
Founder-Director – Konark Natya Mandap
Founder- President Anchalika Chandrasekhara Kala Sansada
Founder Member – Nimapara Mahotsav
President –  Basanta Utsava, Raghuraj Pur
President – Utkala Atma
President – State Sangeet NatakAkademi – 2006–07
President – Rotary Club, Konark
Advisor – Bibiddhabarna
Senior Fellowship from the Ministry of HRD, Govt of India
Chief Advisor – Dibakara Sangeeta Kala Niketan
Founder-Director – Bhauri Utsav – 2006
Dance Teacher at Odissi Research Centre
Member, Selection Board of the Pension to Artistes, Orissa","డిపార్ట్మెంట్ నుండి నేషనల్ స్కాలర్షిప్. సంస్కృతి, ప్రభుత్వం. ఒడిస్సీ డ్యాన్స్లో ఉన్నత శిక్షణ, పరిశోధన కోసం ఇండా, జనరల్ కౌన్సిల్, సంగీత నాటక అకాడమీ సభ్యుడు- తూర్పు జోనల్ కల్చరల్ సెంటర్ ఫౌండర్-డైరెక్టర్ - ఒరిస్సా డ్యాన్స్ అకాడమీ ఫౌండర్-డైరెక్టర్ - కోణార్క్ నాట్య మండప్ ఫౌండర్- ప్రెసిడెంట్ అంచాలికా చంద్రశేఖర కళా సంసద వ్యవస్థాపక సభ్యుడు - నిమాపరత ​​మహోత్సవం రాష్ట్ర సంగీత నాటక అకాడమీ - 2006–07 ప్రెసిడెంట్ - రోటరీ క్లబ్, కోణార్క్ అడ్వైజర్ - బిబిద్ధబర్నా హెచ్ఆర్డి మంత్రిత్వ శాఖ నుండి సీనియర్ ఫెలోషిప్, భారత ప్రభుత్వ ప్రధాన సలహాదారు - దిబకర సంగీత కళా నికేతన్ ఫౌండర్-డైరెక్టర్ - భౌరీ ఉత్సవ్, పిఎన్సియన్ టు ఆర్టిస్ట్స్ - 200. "
