,Recipients,honours,honours Telugu
492,Ben Kingsley,"In 1984, Kingsley won a Grammy Award for Best Spoken Word or Nonmusical Recording for The Words of Gandhi, received an honorary degree from the University of Salford, and was awarded the Indian civilian honour Padma Shri.
He was made a Knight Bachelor in the 2002 New Year Honours for services to the British film industry. The award was announced on 31 December 2001, which happened to be Kingsley's 58th birthday. After being knighted by Queen Elizabeth II at Buckingham Palace, Kingsley stated:I told the Queen that winning an Oscar pales into insignificance—this is insurmountable. I'm fascinated by the ancient, by mythology, by these islands and their tradition of story telling. I feel that I am a story teller and to receive a knighthood is really recognition of that.
His demand to be called 'Sir' in film and TV show credits was documented by the BBC, to some criticism. Since then, Kingsley appears to have altered his stance; credits for his latest films refer to him as Ben Kingsley. Co-star Penélope Cruz was reportedly unsure what to call him during the filming of Elegy as someone had told her she needed to refer to him as ""Sir Ben"". One day it slipped out as such, and she called him that for the remainder of the shoot","1984లో, కింగ్స్లీ బెస్ట్ స్పోకెన్ వర్డ్ లేదా నాన్ మ్యూజికల్ రికార్డింగ్ కోసం గ్రామీ అవార్డ్ని వర్డ్స్ ఆఫ్ గాంధీకి గెలుచుకున్నాడు, సాల్ఫోర్డ్ విశ్వవిద్యాలయం నుండి గౌరవ పట్టా అందుకున్నాడు, భారతీయ పౌర గౌరవం పద్మశ్రీని అందుకున్నాడు. బ్రిటీష్ చలనచిత్ర పరిశ్రమకు చేసిన సేవలకు గాను 2002 నూతన సంవత్సర గౌరవాలలో ఇతను నైట్ బ్యాచిలర్గా నిలిచాడు. ఈ అవార్డును 31 డిసెంబర్ 2001న ప్రకటించారు, అది కింగ్స్లీ 58వ పుట్టినరోజు. బకింగ్హామ్ ప్యాలెస్లో క్వీన్ ఎలిజబెత్ II చేత నైట్ బిరుదు పొందిన తర్వాత, కింగ్స్లీ ఇలా అన్నాడు: ఆస్కార్ను గెలుచుకోవడం చాలా తక్కువ అని నేను రాణికి చెప్పాను-ఇది అధిగమించలేనిది. నేను పురాతనమైనవి, పురాణాల ద్వారా, ఈ ద్వీపాలు, వారి కథ చెప్పే సంప్రదాయాల పట్ల ఆకర్షితుడయ్యాను. నేను స్టోరీ టెల్లర్ని, నైట్హుడ్ని అందుకోవడం నిజంగా దానికి గుర్తింపుగా భావిస్తున్నాను. సినిమా, టీవీ షో క్రెడిట్లలో 'సర్' అని పిలవాలనే అతని డిమాండ్ను BBC డాక్యుమెంట్ చేసింది, కొన్ని విమర్శలకు దారితీసింది. అప్పటి నుండి, కింగ్స్లీ తన వైఖరిని మార్చుకున్నట్లు కనిపిస్తుంది; అతని తాజా చిత్రాల క్రెడిట్స్ అతన్ని బెన్ కింగ్స్లీ అని సూచిస్తాయి. సహనటుడు పెనెలోప్ క్రజ్ ఎలిజీ చిత్రీకరణ సమయంలో అతనిని ""సర్ బెన్"" అని పిలవాలని ఎవరో చెప్పడంతో అతనిని ఏమని పిలవాలో తెలియలేదు. ఒక రోజు అది అలా జారిపోయింది,, ఈమె అతనిని మిగిలిన షూట్ కోసం పిలిచింది. "
493,Benichandra Jamatia,,
494,Benjamin A. Gilman,,
495,Benjamin Peary Pal,,
496,Benode Behari Mukherjee,,
497,Benoy Bhushan Ghosh,,
498,Benudhar Sharma,,
499,Bernard Peters,,
500,Bertha Gyndykes Dkhar,,
501,Bettina Baumer,,
502,Bhabani Charan Mukharji,,
503,Bhabani Charan Pattanayak,,
504,Bhabatosh Datta,,
505,Bhabendra Nath Saikia,,
506,Bhag Mehta,,
507,Bhagaban Sahu,,
508,Bhagat Puran Singh,,
509,Bhagavatula Dattaguru,,
510,Bhagirathi Devi,,
511,Bhagwan Sahay,,
512,Bhagwant Javhermal Shahaney,,
513,Bhagwantrao Mandloi,,
514,Bhagwat Murmu,,
515,Bhagwat Sinha Mehta,,
516,Bhagwati Charan Verma,,
517,Bhagyashree Thipsay,,
518,Bhajan Sopori,,
519,Bhajju Shyam,,
520,Bhakta B. Rath,,
521,Bhakti Yadav,,
522,Bhalchandra Babaji Dikshit,,
523,Bhalchandra Dattatray Mondhe,,
524,Bhalchandra Digambar Garware,,
525,Bhalchandra Nemade,,
526,Bhalchandra Nilkanth Purandare,,
527,Bhalchandra Udgaonkar,,
528,Bhalindra Singh,,
529,Bharat Bhushan,,
530,Bharat Bhushan Tyagi,,
531,Bharat Goenka,,
532,Bharat Mishra,,
533,Bharat Ram,,
534,Bharath Gopi,,
535,Bharathi Vishnuvardhan,,
536,Bharathiraja,,
537,Bharati Shivaji,,
538,Bhargavaram Viththal Varerkar,,
539,Bhaurao Krishnaji Gaikwad,,
540,Bhaurao Patil,,
541,Bhavarlal Jain,,
542,Bhawana Somaaya,,
543,Bhawani Prasad Tiwari,,
544,Bhikham Lal Atreya,,
545,Bhikhu Parekh,,
546,Bhikhubhai Khushalbhai Naik,,
547,Bhikhudan Gadhvi,,
548,Bhimsen Joshi,,
549,Bhisham Sahni,,
550,Bhishan Saroop Bansal,,
551,Bhogilal Pandya,,
552,Bhola Nath,,
553,Bhola Nath Jha,,
554,Bhola Nath Mullik,,
555,Bholabhai Patel,,
556,Bhupathiraju Somaraju,,
557,Bhupati Mohan Sen,,
558,Bhupen Hazarika,,
559,Bhupen Khakhar,,
560,Bhuri Bai,,
561,Bhuvneshwari Kumari,,
562,Bibek Debroy,,
563,Bijoy Chandra Bhagavati,,
564,Bijoy Nandan Shahi,,
565,Bikash Bhattacharjee,,
566,Bikash Sinha,"Bikash Sinha has been awarded D.A.E. – Dr. Raja Ramanna Prize 2001 and delivered the Pandya Endowment lecture Award, IPA, 2001 and Rais Ahmed Memorial Lecture Award, Aligarh, 2001.
He is a member of the Visva-Bharati University's Academic Council since 2002 and a member of the Senate of Indian Institute of Technology, Kharagpur. He has become the Fellow of the 3rd World Academy of Sciences, Italy, 2002 and Indian Academy of Sciences, Bangalore, 2004. Recently he was elected to the fellowship of the Institute of Physics, UK Bikash Sinha was the Vice-chancellor of West Bengal University of Technology since February 2003 to 18 December 2003 in addition to his regular responsibilities and also a member of the Scientific Advisory Committee to the Cabinet, Govt. of India. Sinha has been awarded R","బికాష్ సిన్హాకు డి అవార్డు లభించింది. ఎ. ఇ. – డా. రాజా రామన్న ప్రైజ్ 2001, పాండ్య ఎండోమెంట్ లెక్చర్ అవార్డు, IPA, 2001, రైస్ అహ్మద్ మెమోరియల్ లెక్చర్ అవార్డు, అలీఘర్, 2001. ఇతను 2002 నుండి విశ్వభారతి విశ్వవిద్యాలయం, అకడమిక్ కౌన్సిల్ సభ్యుడు, ఖరగ్పూర్లోని ఇండియన్ ఇన్స్టిట్యూట్ ఆఫ్ టెక్నాలజీ సెనేట్ సభ్యుడు. ఇతను 3వ వరల్డ్ అకాడమీ ఆఫ్ సైన్సెస్, ఇటలీ, 2002, ఇండియన్ అకాడమీ ఆఫ్ సైన్సెస్, బెంగళూరు, 2004లో ఫెలో అయ్యాడు. ఇటీవలే ఇతను ఇన్స్టిట్యూట్ ఆఫ్ ఫిజిక్స్ ఫెలోషిప్కు ఎన్నికయ్యాడు, UK బికాష్ సిన్హా తన సాధారణ బాధ్యతలతో పాటుగా ఫిబ్రవరి 2003 నుండి 18 డిసెంబర్ 2003 వరకు పశ్చిమ బెంగాల్ యూనివర్శిటీ ఆఫ్ టెక్నాలజీకి వైస్-ఛాన్సలర్గా ఉన్నారు, సైంటిఫిక్ అడ్వైజరీ కమిటీ సభ్యునిగా కూడా ఉన్నారు. క్యాబినెట్, ప్రభుత్వం. భారతదేశం ,. సిన్హాకు ఆర్. "
567,Bilat Paswan Vihangam,,
568,Bilkees I. Latif,,
569,Bill Gates,,
570,Billy Arjan Singh,,
571,Bimal Krishna Matilal,,
572,Bimal Kumar Bachhawat,,
573,Bimal Kumar Jain,,
574,Bimal Kumar Roy,,
575,Bimal Patel,,
576,Bimal Prashad Jain,,
577,Bimala Prasad Chaliha,,
578,Biman Bihari Das,,
579,Bimla Poddar,,
580,Bina Agarwal,,
581,Bina Das,,
582,Binapani Mohanty,,
583,Binay Ranjan Sen,,
584,Bindeshwar Pathak,,
585,Bindeshwari Prasad Verma,,
586,Bindhyabasini Devi,,
587,Binny Yanga,,
588,Binod Kanungo,,
589,Bipan Chandra,,
590,Bipin Ganatra,,
591,Bir Bhan Bhatia,,
592,Biren De,,
593,Biren Kumar Basak,,
594,Birendra Nath Datta,,
595,Birendra Nath Ganguli,,
596,Birendranath Sircar,,
597,Birju Maharaj,,
598,Birkha Bahadur Limboo Muringla,,
599,Bishamber Khanna,,
600,Bishambhar Nath Pande,,
601,Bishan Lal Raina,,
602,Bishan Man Singh,,
603,Bishan Singh Bedi,,
604,Bishnupada Mukerjee,,
605,Bishnupada Mukhopadhyaya,,
606,Bishop Mulanakuzhiyil Abraham Thomas,,
607,Bismillah Khan,,
608,Biswas Ranjan Chatterjee,,
609,Bisweswar Bhattacharjee,,
610,Bob Blackman,,
611,Bombay Jayashri,,
612,Bombayla Devi Laishram,,
613,Boshi Sen,,
614,Bounlap Keokangna,,
615,Boyi Bhimanna,,
616,Brahm Dutt,,
617,Brahm Nath Qasir Datta,,
618,Brahm Prakash,,
619,Brahma Singh,,
620,Brahmanandam,,
621,Brahmdeo Ram Pandit,,
622,Brahmdev Sharma,,
623,Braj Kumar Nehru,,
624,Brajbir Saran Das,,
625,Brajendra Kishore Banerjee,,
626,Brajesh Mishra,,
627,Brihaspati Dev Triguna,,
628,Brij Krishna Chandiwala,,
629,Brijendra Kumar Rao,"The Government of India awarded him the third highest civilian honour of the Padma Bhushan, in 2009, for his contributions to medical science.",వైద్య శాస్త్రానికి ఆయన చేసిన కృషికి భారత ప్రభుత్వం 2009లో పద్మభూషణ్లో మూడవ అత్యున్నత పౌర పురస్కారాన్ని ప్రదానం చేసింది. 
630,Brijesh Kumar Shukla,,
631,Brijmohan Lall Munjal,,
632,Buangi Sailo,,
633,Buddhadeb Bose,,
634,Buddhadev Das Gupta,,
635,Budhaditya Mukherjee,,
636,Bula Choudhury,,
637,Bulu Imam,,
638,Bunker Roy,,
639,Burjor Cavas Dastur,,
640,C. D. Deshmukh,,
641,C. D. Narasimhaiah,,
642,C. G. Krishnadas Nair,,
643,C. K. Prahalad,,
644,C. Kamlova,,
645,C. Kottieth Lakshmanan,,
646,C. N. Manjunath,,
647,C. N. R. Rao,,
648,C. Narayana Reddy,,
649,C. P. Krishnan Nair,,
650,C. P. Thakur,,
651,C. R. Krishnaswamy Rao,,
652,C. R. Rao,,
653,C. R. Vyas,,
654,C. Rangarajan,,
655,C. S. Seshadri,,
656,C. Sivaramamurti,,
657,C. U. Velmurugendran,,
658,C. V. Chandrasekhar,,
659,C. Vaidyanatha Bhagavathar,,
660,C. Venkata S. Ram,,
661,C. Venkataraman Sundaram,,
662,Camille Bulcke,,
663,Carmel Berkson,,
664,Chackachanveedu Krishnan Nair,,
665,Chaitanyamoy Ganguly,,
666,Chakravarthi V. Narasimhan,,
667,Challagalla Narasimham,,
668,Chaman Lal,,
669,Chaman Lal Sapru,,
670,Chamu Krishna Shastry,,
671,Chanapatha Krishnappa Venkataramayya,,
672,Chand Chhabra,,
673,Chand Ram,,
674,Chanda Kochhar,,
675,Chander Sekhar Samal,,
676,Chandeshwar Prasad Narayan Singh,,
677,Chandgi Ram,,
678,Chandi Prasad Bhatt,,
679,Chandi Prasad Misra,,
680,Chandidan Detha,,
681,Chandra David Devanasan,,
682,Chandra Kisan Daphtary,,
683,Chandra Mohan,,
684,Chandra Prakash Deval,,
685,Chandra Prakash Vohra,,
686,Chandra Prasad Saikia,,
687,Chandra Sekhar Rath,,
688,Chandra Shekhar Singh,,
689,Chandrakant Mehta,,
690,Chandrakant Pithawa,,
691,Chandraprabha Aitwal,,
692,Chandraprava Saikiani,,
693,Chandrashekhar Dasgupta,,
694,Chandrashekhar Lohumi,,
695,Chandrashekhar Shankar Dharmadhikari,,
696,Chandrashekhara Kambara,,
697,Chandravadan Mehta,,
698,Chandrika Prasad Srivastava,,
699,Chandu Borde,,
700,Chandulal Madhavlal Trivedi,"He was appointed an Officer of the Order of the British Empire (OBE) in the 1931 New Year Honours list, a Companion of the Order of the Indian Empire (CIE) in the 1935 Birthday Honours list and as a Companion of the Order of the Star of India (CSI) in the 1941 Birthday Honours list. He was knighted in the 1945 Birthday Honours list, and was invested with his knighthood by the Viceroy, Lord Wavell at Viceroy's House (now Rashtrapati Bhavan) in New Delhi on 18 August of that year. Later the same year, on 21 December 1945, he was appointed a Knight Commander of the Order of the Star of India (KCSI). He was awarded the Padma Vibhushan in 1956.","ఇతను 1931 న్యూ ఇయర్ ఆనర్స్ లిస్ట్లో ఆర్డర్ ఆఫ్ ది బ్రిటిష్ ఎంపైర్ (OBE) ఆఫీసర్గా, 1935 బర్త్డే ఆనర్స్ లిస్ట్లో కంపానియన్ ఆఫ్ ది ఇండియన్ ఎంపైర్ (CIE), ఆర్డర్ ఆఫ్ ది ఆర్డర్ ఆఫ్ ది కంపానియన్గా నియమించబడ్డాడు. 1941 పుట్టినరోజు గౌరవాల జాబితాలో స్టార్ ఆఫ్ ఇండియా (CSI). ఇతను 1945 బర్త్డే ఆనర్స్ లిస్ట్లో నైట్ హోదా పొందాడు, అదే సంవత్సరం ఆగస్టు 18న న్యూ ఢిల్లీలోని వైస్రాయ్ హౌస్లో (ప్రస్తుతం రాష్ట్రపతి భవన్) వైస్రాయ్ లార్డ్ వేవెల్ తన నైట్హుడ్తో పెట్టుబడి పెట్టాడు. అదే సంవత్సరం తరువాత, 21 డిసెంబర్ 1945న, ఇతను నైట్ కమాండర్ ఆఫ్ ది ఆర్డర్ ఆఫ్ ది స్టార్ ఆఫ్ ఇండియా (KCSI)గా నియమించబడ్డాడు. 1956లో ఆయనకు పద్మవిభూషణ్ పురస్కారం లభించింది. "
701,Charanjit Singh,,
702,Charles Borromeo,,
703,Charles Correa,,
704,Chaturbhuj Meher,,
705,Chavaly Srinivasa Sastry,,
706,Chawngthu Lalhmingliana,,
707,Chemanchery Kunhiraman Nair,,
708,Chenganoor Raman Pillai,,
709,Chennamaneni Hanumantha Rao,,
710,Cheril Krishna Menon,,
711,Chewang Motup Goba,,
712,Chewang Norphel,,
713,Chewang Phunsog,,
714,Chhakchhuak Chhuanvawram,,
715,Chhannulal Mishra,,
716,Chhattra Pati Joshi,,
717,Chindodi Leela,,
718,Chingamban Kalachand Shastri,,
719,Chinna Pillai,,
720,Chinnaswamy Rajan Subramanian,,
721,Chintakindi Mallesham,,
722,Chintala Venkat Reddy,,
723,Chintaman Govind Pandit,,
724,Chintamoni Kar,,
725,Chiranjeet Chakraborty,,
726,Chiranjeevi,,
727,Chiranjilal Gograj Joshi,,
728,Chitra Naik,,
729,Chitra Visweswaran,,
730,Chitranjan Singh Ranawat,,
731,Chittani Ramachandra Hegde,,
732,Chittoor Mohammed Habeebullah,,
733,Chittor V. Nagaiah,,
734,Chittu Tudu,,
735,Cho Ramaswamy,,
736,Christopher Pinney,,
737,Chuauhang Rokhuma,,
738,Chubalemla AO,,
739,Chuni Goswami,"''' International '''
India

Asian GamesGold medal: 1962AFC Asian CupRunners-up: 1964",''' ఇంటర్నేషనల్ '''ఇండియా ఏషియన్ గేమ్స్ గోల్డ్ మెడల్: 1962AFC ఆసియా కప్ రన్నర్స్-అప్: 1964. 
740,Claire Vellut,,
741,Coimbatore Narayana Rao Raghavendran,,
742,Colette Mathur,,
743,Coluthur Gopalan,,
744,Coorg Narasimhaiengar Krishna Murthy,,
745,Cooverbai Jahangir Vakil,,
746,Cottari Kankaiyah Nayudu,,
747,Cudonalore Subramania Chetty Sadasivan,,
748,Cyrus S. Poonawalla,,
749,D. B. Deodhar,,
750,D. C. Kizhakemuri,,
751,D. C. Pavate,,
752,D. D. Bhawalkar,,
753,D. K. Khullar,,
754,D. K. Pattammal,,
755,D. Nageshwar Reddy,,
756,D. P. Chattopadhyaya,,
757,D. P. Kohli,,
758,D. P. Roy Choudhury,,
759,D. R. Bendre,,
760,D. R. Karthikeyan,,
761,D. R. Mehta,,
762,D. Ramanaidu,,
763,D. S. Rana,,
764,D. S. Wagh,,
765,D. V. Gundappa,,
766,D. V. S. Raju,,
767,D. Y. Patil,,
