,Recipients,positions,positions Telugu
401,Badri Narayan,,
402,Badri Nath Prasad,,
403,Badri Nath Tandon,,
404,Badri Nath Uppal,,
405,Badri Prasad Bajoria,,
406,Bagicha Singh Minhas,,
407,Bahadur Singh Chouhan,,
408,Bahadur Singh Sagoo,,
409,Baibi Harparkash Kaur,,
410,Baichung Bhutia,,
411,Bajrang Lal Takhar,,
412,Bajrang Punia,,
413,Bakul Harshadrai Dholakia,,
414,Bakulaben Mohphai Patel,,
415,Bal Dattatreya Tilak,,
416,Bal Krishna Sharma Naveen,,
417,Bal Raj Nijhawan,,
418,Bal Ram Nanda,,
419,Bal Samant,,
420,Bala V. Balachandran,,
421,Balachandra Menon,,
422,Balagangadharanatha Swamiji,,
423,Balai Chand Mukhopadhyay,,
424,Balakrishna Bhagwant Borkar,,
425,Balan Putheri,,
426,Balasaheb Amgonda Patil,,
427,Balasaheb Bharde,,
428,Balasaheb Gangadhar Kher,,
429,Balasaheb Vikhe Patil,,
430,Balasaraswati,,
431,Balasubramaniam Ramamurthi,,
432,Balasubramanian Muthuraman,,
433,Balasubramanian Ramadorai,,
434,Balbir Dutt,,
435,Balbir Singh Kullar,,
436,Balbir Singh Saigal,,
437,Balbir Singh Seechewal,,
438,Balbir Singh Sr.,,
439,Baldev Raj,,
440,Baldev Singh,,
441,Baldev Singh Dhillon,,
442,Baldev Upadhyaya,,
443,Balendu Prakash,,
444,Balraj Komal,,
445,Balraj Puri,,
446,Balraj Sahni,,
447,Balram Bhargava,,
448,Balswarup Choubey,,
449,Balu Bhagvathar Sastrigal,,
450,Balu Sankaran,,
451,Balwant Gargi,,
452,Balwant Moreshwar Purandare,,
453,Balwant Sing Puri,,
454,Balwant Singh Nag,,
455,Balwant Thakur,,
456,Balwantrai Bhatt,,
457,Banarsidas Chaturvedi,,
458,Bangalore Gangadhar,,
459,Bangalore Puttaiya Radhakrishna,,
460,Bangaru Adigalar,,
461,Bannanje Govindacharya,,
462,Banoo Jehangir Coyaji,,
463,Bansi Kaul,,
464,Bansilal Rathi,,
465,Banwari Lal Chouksey,,
466,Bapu,,
467,Barjinder Singh,,
468,Barjinder Singh Hamdard,,
469,Barkha Dutt,,
470,Barry Gardiner,,
471,Barsane Lal Chaturvedi,,
472,Barun Mazumder,,
473,Basanti Bisht,,
474,Basanti Devi,,
475,Basanti Dulal Nagchaudhuri,,
476,Basantibala Jena,,
477,Basavapatna Narayana Balakrishna Rao,,
478,Basavaraj Rajguru,,
479,Bashir Badr,,
480,Bashir Hussain Zaidi,,
481,Batakrushna Sahoo,,
482,Batchu Lutchmiah Srinivasa Murthy,,
483,Baua Devi,,
484,Begum Aizaz Rasul,,
485,Begum Akhtar,,
486,Begum Akhtar,,
487,Begum Mumtaz Jehan Mirza,,
488,Begum Parveen Sultana,,
489,Begum Zaffar Ali,,
490,Behram Contractor,,
491,Bellary Shamanna Kesavan,,
492,Ben Kingsley,,
493,Benichandra Jamatia,,
494,Benjamin A. Gilman,,
495,Benjamin Peary Pal,,
496,Benode Behari Mukherjee,,
497,Benoy Bhushan Ghosh,,
498,Benudhar Sharma,,
499,Bernard Peters,,
500,Bertha Gyndykes Dkhar,,
501,Bettina Baumer,,
502,Bhabani Charan Mukharji,,
503,Bhabani Charan Pattanayak,,
504,Bhabatosh Datta,,
505,Bhabendra Nath Saikia,,
506,Bhag Mehta,,
507,Bhagaban Sahu,,
508,Bhagat Puran Singh,,
509,Bhagavatula Dattaguru,,
510,Bhagirathi Devi,,
511,Bhagwan Sahay,,
512,Bhagwant Javhermal Shahaney,,
513,Bhagwantrao Mandloi,,
514,Bhagwat Murmu,,
515,Bhagwat Sinha Mehta,,
516,Bhagwati Charan Verma,,
517,Bhagyashree Thipsay,,
518,Bhajan Sopori,,
519,Bhajju Shyam,,
520,Bhakta B. Rath,,
521,Bhakti Yadav,,
522,Bhalchandra Babaji Dikshit,,
523,Bhalchandra Dattatray Mondhe,,
524,Bhalchandra Digambar Garware,,
525,Bhalchandra Nemade,,
526,Bhalchandra Nilkanth Purandare,,
527,Bhalchandra Udgaonkar,,
528,Bhalindra Singh,,
529,Bharat Bhushan,,
530,Bharat Bhushan Tyagi,,
531,Bharat Goenka,,
532,Bharat Mishra,,
533,Bharat Ram,,
534,Bharath Gopi,,
535,Bharathi Vishnuvardhan,,
536,Bharathiraja,,
537,Bharati Shivaji,,
538,Bhargavaram Viththal Varerkar,,
539,Bhaurao Krishnaji Gaikwad,,
540,Bhaurao Patil,,
541,Bhavarlal Jain,,
542,Bhawana Somaaya,,
543,Bhawani Prasad Tiwari,,
544,Bhikham Lal Atreya,,
545,Bhikhu Parekh,,
546,Bhikhubhai Khushalbhai Naik,,
547,Bhikhudan Gadhvi,,
548,Bhimsen Joshi,,
549,Bhisham Sahni,,
550,Bhishan Saroop Bansal,,
551,Bhogilal Pandya,,
552,Bhola Nath,,
553,Bhola Nath Jha,,
554,Bhola Nath Mullik,,
555,Bholabhai Patel,,
556,Bhupathiraju Somaraju,,
557,Bhupati Mohan Sen,,
558,Bhupen Hazarika,,
559,Bhupen Khakhar,,
560,Bhuri Bai,,
561,Bhuvneshwari Kumari,,
562,Bibek Debroy,,
563,Bijoy Chandra Bhagavati,,
564,Bijoy Nandan Shahi,,
565,Bikash Bhattacharjee,,
566,Bikash Sinha,,
567,Bilat Paswan Vihangam,,
568,Bilkees I. Latif,,
569,Bill Gates,,
570,Billy Arjan Singh,,
571,Bimal Krishna Matilal,,
572,Bimal Kumar Bachhawat,,
573,Bimal Kumar Jain,,
574,Bimal Kumar Roy,,
575,Bimal Patel,,
576,Bimal Prashad Jain,,
577,Bimala Prasad Chaliha,,
578,Biman Bihari Das,,
579,Bimla Poddar,,
580,Bina Agarwal,,
581,Bina Das,,
582,Binapani Mohanty,,
583,Binay Ranjan Sen,,
584,Bindeshwar Pathak,,
585,Bindeshwari Prasad Verma,,
586,Bindhyabasini Devi,,
587,Binny Yanga,"Binni Yanga was a former member of the National Planning Commission of India and has held the chairs of the Jan Shikshan Sansthan, and Arunachal Pradesh State Resource Centre, both nodal agencies under the Ministry of Human Resource Development (India). She was a member of the executive committees of the National Literacy Mission Authority and the Khadi and Village Industries Commission. She also served as Arunachal Pradesh State Commission for Women, Tribal Cooperative Marketing Development Federation of India (TRIFED), (a Ministry of Tribal Affairs undertaking), the Indian Institute of Entrepreneurship, Guwahati and the District Rural Health Mission, Yupia, as a member. She was the secretary of Himgiri Multipurpose Cooperative Society Limited, Naharlagun and Arunachal Pradesh Women's Voluntary Association. She was also a member of Muskaan Society, Papum Pare Juvenile Justice Board, Rama Krishna Mission Hospital, Itanagar and Country Women Association of India. She also served in the executive committee of the Rashtriya Madhyamik Shiksha Abhiyan, Itanagar.","బిన్ని యాంగా భారత జాతీయ ప్రణాళికా సంఘం మాజీ సభ్యుడు, మానవ వనరుల అభివృద్ధి మంత్రిత్వ శాఖ (భారతదేశం) కింద నోడల్ ఏజెన్సీలు అయిన జన్ శిక్షన్ సంస్థాన్, అరుణాచల్ ప్రదేశ్ స్టేట్ రిసోర్స్ సెంటర్కు అధ్యక్షత వహించారు. ఈమె నేషనల్ లిటరసీ మిషన్ అథారిటీ, ఖాదీ అండ్ విలేజ్ ఇండస్ట్రీస్ కమీషన్ ఎగ్జిక్యూటివ్ కమిటీలలో సభ్యురాలు. ఈమె అరుణాచల్ ప్రదేశ్ స్టేట్ కమీషన్ ఫర్ ఉమెన్, ట్రైబల్ కోఆపరేటివ్ మార్కెటింగ్ డెవలప్మెంట్ ఫెడరేషన్ ఆఫ్ ఇండియా (TRIFED), (గిరిజన వ్యవహారాల మంత్రిత్వ శాఖ), ఇండియన్ ఇన్స్టిట్యూట్ ఆఫ్ ఎంటర్ప్రెన్యూర్షిప్, గౌహతి, జిల్లా గ్రామీణ ఆరోగ్య మిషన్, యుపియాలో సభ్యురాలిగా కూడా పనిచేశారు. ఈమె హిమగిరి మల్టీపర్పస్ కోఆపరేటివ్ సొసైటీ లిమిటెడ్, నహర్లగన్, అరుణాచల్ ప్రదేశ్ మహిళా స్వచ్ఛంద సంఘం కార్యదర్శి. ఈమె ముస్కాన్ సొసైటీ, పాపమ్ పారే జువెనైల్ జస్టిస్ బోర్డ్, రామ కృష్ణ మిషన్ హాస్పిటల్, ఇటానగర్, కంట్రీ ఉమెన్ అసోసియేషన్ ఆఫ్ ఇండియాలో కూడా సభ్యురాలు. ఈమె రాష్ట్రీయ మాధ్యమిక శిక్షా అభియాన్, ఇటానగర్ ఎగ్జిక్యూటివ్ కమిటీలో కూడా పనిచేశారు. "
588,Binod Kanungo,,
589,Bipan Chandra,,
590,Bipin Ganatra,,
591,Bir Bhan Bhatia,,
592,Biren De,,
593,Biren Kumar Basak,,
594,Birendra Nath Datta,,
595,Birendra Nath Ganguli,,
596,Birendranath Sircar,,
597,Birju Maharaj,,
598,Birkha Bahadur Limboo Muringla,,
599,Bishamber Khanna,,
600,Bishambhar Nath Pande,,
601,Bishan Lal Raina,,
602,Bishan Man Singh,,
603,Bishan Singh Bedi,,
604,Bishnupada Mukerjee,,
605,Bishnupada Mukhopadhyaya,,
606,Bishop Mulanakuzhiyil Abraham Thomas,,
607,Bismillah Khan,,
608,Biswas Ranjan Chatterjee,,
609,Bisweswar Bhattacharjee,,
610,Bob Blackman,,
611,Bombay Jayashri,,
612,Bombayla Devi Laishram,,
613,Boshi Sen,,
614,Bounlap Keokangna,,
615,Boyi Bhimanna,,
616,Brahm Dutt,,
617,Brahm Nath Qasir Datta,,
618,Brahm Prakash,,
619,Brahma Singh,"Brahma Singh, an Emeritus Scientist of DRDO, holds many positions of importance. He is the President of the Indian Society for Protected Cultivation and Society for New Age Herbals, both New Delhi based organizations and World Wellness Forum. He is also an advisor to the World Noni Research Foundation, Chennai, and a member of the Indian Academy of Sciences, Allahabad and Indian Science Congress.","DRDO, ఎమెరిటస్ సైంటిస్ట్ అయిన బ్రహ్మ సింగ్ చాలా ముఖ్యమైన పదవులను కలిగి ఉన్నారు. ఇతను ఇండియన్ సొసైటీ ఫర్ ప్రొటెక్టెడ్ కల్టివేషన్, సొసైటీ ఫర్ న్యూ ఏజ్ హెర్బల్స్, న్యూ ఢిల్లీ ఆధారిత సంస్థలు, వరల్డ్ వెల్నెస్ ఫోరమ్ రెండింటికి అధ్యక్షుడు. ఇతను వరల్డ్ నోని రీసెర్చ్ ఫౌండేషన్, చెన్నైకి సలహాదారు, ఇండియన్ అకాడమీ ఆఫ్ సైన్సెస్, అలహాబాద్, ఇండియన్ సైన్స్ కాంగ్రెస్ సభ్యుడు. "
620,Brahmanandam,,
621,Brahmdeo Ram Pandit,,
622,Brahmdev Sharma,,
623,Braj Kumar Nehru,,
624,Brajbir Saran Das,,
625,Brajendra Kishore Banerjee,,
626,Brajesh Mishra,,
627,Brihaspati Dev Triguna,,
628,Brij Krishna Chandiwala,,
629,Brijendra Kumar Rao,,
630,Brijesh Kumar Shukla,,
631,Brijmohan Lall Munjal,,
632,Buangi Sailo,,
633,Buddhadeb Bose,,
634,Buddhadev Das Gupta,,
635,Budhaditya Mukherjee,,
636,Bula Choudhury,,
637,Bulu Imam,,
638,Bunker Roy,,
639,Burjor Cavas Dastur,,
640,C. D. Deshmukh,,
641,C. D. Narasimhaiah,,
642,C. G. Krishnadas Nair,,
643,C. K. Prahalad,,
644,C. Kamlova,,
645,C. Kottieth Lakshmanan,,
646,C. N. Manjunath,,
647,C. N. R. Rao,,
648,C. Narayana Reddy,,
649,C. P. Krishnan Nair,,
650,C. P. Thakur,,
651,C. R. Krishnaswamy Rao,,
652,C. R. Rao,,
653,C. R. Vyas,,
654,C. Rangarajan,,
655,C. S. Seshadri,,
656,C. Sivaramamurti,,
657,C. U. Velmurugendran,,
658,C. V. Chandrasekhar,,
659,C. Vaidyanatha Bhagavathar,,
660,C. Venkata S. Ram,,
661,C. Venkataraman Sundaram,,
662,Camille Bulcke,,
663,Carmel Berkson,,
664,Chackachanveedu Krishnan Nair,,
665,Chaitanyamoy Ganguly,,
666,Chakravarthi V. Narasimhan,,
667,Challagalla Narasimham,,
668,Chaman Lal,,
669,Chaman Lal Sapru,,
670,Chamu Krishna Shastry,,
671,Chanapatha Krishnappa Venkataramayya,,
672,Chand Chhabra,,
673,Chand Ram,,
674,Chanda Kochhar,,
675,Chander Sekhar Samal,,
676,Chandeshwar Prasad Narayan Singh,,
677,Chandgi Ram,,
678,Chandi Prasad Bhatt,,
679,Chandi Prasad Misra,,
680,Chandidan Detha,,
681,Chandra David Devanasan,,
682,Chandra Kisan Daphtary,,
683,Chandra Mohan,,
684,Chandra Prakash Deval,,
685,Chandra Prakash Vohra,,
686,Chandra Prasad Saikia,,
687,Chandra Sekhar Rath,,
688,Chandra Shekhar Singh,,
689,Chandrakant Mehta,,
690,Chandrakant Pithawa,,
691,Chandraprabha Aitwal,,
692,Chandraprava Saikiani,,
693,Chandrashekhar Dasgupta,,
694,Chandrashekhar Lohumi,,
695,Chandrashekhar Shankar Dharmadhikari,,
696,Chandrashekhara Kambara,,
697,Chandravadan Mehta,,
698,Chandrika Prasad Srivastava,,
699,Chandu Borde,,
700,Chandulal Madhavlal Trivedi,,
701,Charanjit Singh,,
702,Charles Borromeo,,
703,Charles Correa,,
704,Chaturbhuj Meher,,
705,Chavaly Srinivasa Sastry,,
706,Chawngthu Lalhmingliana,,
707,Chemanchery Kunhiraman Nair,,
708,Chenganoor Raman Pillai,,
709,Chennamaneni Hanumantha Rao,,
710,Cheril Krishna Menon,,
711,Chewang Motup Goba,,
712,Chewang Norphel,,
713,Chewang Phunsog,,
714,Chhakchhuak Chhuanvawram,,
715,Chhannulal Mishra,,
716,Chhattra Pati Joshi,,
717,Chindodi Leela,,
718,Chingamban Kalachand Shastri,,
719,Chinna Pillai,,
720,Chinnaswamy Rajan Subramanian,,
721,Chintakindi Mallesham,,
722,Chintala Venkat Reddy,,
723,Chintaman Govind Pandit,,
724,Chintamoni Kar,,
725,Chiranjeet Chakraborty,,
726,Chiranjeevi,,
727,Chiranjilal Gograj Joshi,,
728,Chitra Naik,,
729,Chitra Visweswaran,,
730,Chitranjan Singh Ranawat,,
731,Chittani Ramachandra Hegde,,
732,Chittoor Mohammed Habeebullah,,
733,Chittor V. Nagaiah,,
734,Chittu Tudu,,
735,Cho Ramaswamy,,
736,Christopher Pinney,,
737,Chuauhang Rokhuma,,
738,Chubalemla AO,,
739,Chuni Goswami,,
740,Claire Vellut,,
741,Coimbatore Narayana Rao Raghavendran,,
742,Colette Mathur,,
743,Coluthur Gopalan,,
744,Coorg Narasimhaiengar Krishna Murthy,,
745,Cooverbai Jahangir Vakil,,
746,Cottari Kankaiyah Nayudu,,
747,Cudonalore Subramania Chetty Sadasivan,,
748,Cyrus S. Poonawalla,,
749,D. B. Deodhar,,
750,D. C. Kizhakemuri,,
751,D. C. Pavate,,
752,D. D. Bhawalkar,"Bhawalkar is a Distinguished Scientist of the Centre for Advanced Technology and a Distinguished Honorary Professor of the Indian Institute of Technology, Kanpur. He served as the coordinator of DAE=CERN collaboration and the Integrated Long Term Programme of Cooperation, an Indo-Russian joint venture on lasers and accelerators and as a member of the Steering Committee of the International Linear Collider programme. He is the founder president of the Indian Laser Association. He is a member of the Indian Physics Association, and a former member of the Asian Committee for Future Accelerators and the International Committee for Future Accelerators. He chaired the Asian Committee for Future Accelerators (ACFA) and the Advanced Technology Committee of Board of Research in Nuclear Sciences of the Department of Atomic Energy and is a member of C-13 Committee of International Union of Pure and Applied Physics.","భావల్కర్ సెంటర్ ఫర్ అడ్వాన్స్డ్ టెక్నాలజీకి చెందిన విశిష్ట శాస్త్రవేత్త, కాన్పూర్లోని ఇండియన్ ఇన్స్టిట్యూట్ ఆఫ్ టెక్నాలజీకి విశిష్ట గౌరవ ఆచార్యుడు. ఇతను లేజర్లు, యాక్సిలరేటర్లపై ఇండో-రష్యన్ జాయింట్ వెంచర్ అయిన DAE=CERN సహకారం, ఇంటిగ్రేటెడ్ లాంగ్ టర్మ్ ప్రోగ్రామ్ ఆఫ్ కోఆపరేషన్కి సమన్వయకర్తగా, ఇంటర్నేషనల్ లీనియర్ కొలైడర్ ప్రోగ్రామ్, స్టీరింగ్ కమిటీ సభ్యునిగా పనిచేశాడు. ఇతను ఇండియన్ లేజర్ అసోసియేషన్ వ్యవస్థాపక అధ్యక్షుడు. ఇతను ఇండియన్ ఫిజిక్స్ అసోసియేషన్ సభ్యుడు, ఆసియా కమిటీ ఫర్ ఫ్యూచర్ యాక్సిలరేటర్స్, ఇంటర్నేషనల్ కమిటీ ఫర్ ఫ్యూచర్ యాక్సిలరేటర్స్ మాజీ సభ్యుడు. ఇతను ఆసియన్ కమిటీ ఫర్ ఫ్యూచర్ యాక్సిలరేటర్స్ (ACFA), డిపార్ట్మెంట్ ఆఫ్ అటామిక్ ఎనర్జీ, న్యూక్లియర్ సైన్సెస్ బోర్డ్ ఆఫ్ రీసెర్చ్, అడ్వాన్స్డ్ టెక్నాలజీ కమిటీకి అధ్యక్షత వహించాడు, ఇంటర్నేషనల్ యూనియన్ ఆఫ్ ప్యూర్ అండ్ అప్లైడ్ ఫిజిక్స్, C-13 కమిటీ సభ్యుడు. "
