,Recipients,acting career,acting career Telugu
709,Chennamaneni Hanumantha Rao,,
710,Cheril Krishna Menon,,
711,Chewang Motup Goba,,
712,Chewang Norphel,,
713,Chewang Phunsog,,
714,Chhakchhuak Chhuanvawram,,
715,Chhannulal Mishra,,
716,Chhattra Pati Joshi,,
717,Chindodi Leela,,
718,Chingamban Kalachand Shastri,,
719,Chinna Pillai,,
720,Chinnaswamy Rajan Subramanian,,
721,Chintakindi Mallesham,,
722,Chintala Venkat Reddy,,
723,Chintaman Govind Pandit,,
724,Chintamoni Kar,,
725,Chiranjeet Chakraborty,,
726,Chiranjeevi,"''' 1978–1981: Early career '''
Since his family worshipped Anjaneya, a Hindu deity, his mother advised him to take the screen name ""Chiranjeevi"", meaning ""Immortal"", a reference to the belief of Hanuman living forever.Chiranjeevi started his film career with Punadhirallu. However, his first released film was Pranam Khareedu. Mana Voori Pandavulu, directed by Bapu, gave Chiranjeevi recognition from the Telugu audience. He played a small role in Tayaramma Bangarayya. He played the anti-hero in films I Love You and K. Balachander's Idi Katha Kaadu, starring Kamal Haasan.
In a remake of the Tamil film Avargal, Chiranjeevi portrayed the character played by Rajinikanth in the original. In 1979, Chiranjeevi had eight major film releases and then 14 films in the following year. He played lead antagonist in works such as Mosagadu, Rani Kasula Rangamma, 47 Natkal /47 Rojulu, Nyayam Kavali and Ranuva Veeran","''' 1978–1981: కెరీర్ ఆరంభం '''హిందువుల ఆరాధ్య దైవమైన ఆంజనేయుడిని అతని కుటుంబం ఆరాధించేది కాబట్టి, అతని తల్లి ""చిరంజీవి"" అనే స్క్రీన్ నేమ్ని తీసుకోమని సలహా ఇచ్చింది, అంటే ""అమరుడు"", ఇది హనుమంతుడు శాశ్వతంగా జీవిస్తాడనే నమ్మకానికి సూచన. చిరంజీవి తన సినీ కెరీర్ని పునఃరాళ్లు సినిమాతో ప్రారంభించాడు. అయితే అతని మొదటి విడుదల చిత్రం ప్రాణం ఖరీదు. Mana Voori Pandavulu, directed by Bapu, gave Chiranjeevi recognition from the Telugu audience. తాయారమ్మ బంగారయ్యలో చిన్న పాత్ర పోషించాడు. ఐ లవ్ యు, కె సినిమాల్లో యాంటీ హీరోగా నటించాడు. Balachander's Idi Katha Kaadu, starring Kamal Haasan. తమిళ చిత్రం అవర్గల్ రీమేక్లో, ఒరిజినల్లో రజనీకాంత్ పోషించిన పాత్రను చిరంజీవి పోషించాడు. 1979లో, చిరంజీవి ఎనిమిది పెద్ద సినిమాలను విడుదల చేశారు, ఆ తర్వాత సంవత్సరంలో 14 సినిమాలు వచ్చాయి. He played lead antagonist in works such as Mosagadu, Rani Kasula Rangamma, 47 Natkal /47 Rojulu, Nyayam Kavali and Ranuva Veeran. "
727,Chiranjilal Gograj Joshi,,
728,Chitra Naik,,
729,Chitra Visweswaran,,
730,Chitranjan Singh Ranawat,,
731,Chittani Ramachandra Hegde,,
732,Chittoor Mohammed Habeebullah,,
733,Chittor V. Nagaiah,,
734,Chittu Tudu,,
735,Cho Ramaswamy,,
736,Christopher Pinney,,
737,Chuauhang Rokhuma,,
738,Chubalemla AO,,
739,Chuni Goswami,,
740,Claire Vellut,,
741,Coimbatore Narayana Rao Raghavendran,,
742,Colette Mathur,,
743,Coluthur Gopalan,,
744,Coorg Narasimhaiengar Krishna Murthy,,
745,Cooverbai Jahangir Vakil,,
746,Cottari Kankaiyah Nayudu,,
747,Cudonalore Subramania Chetty Sadasivan,,
748,Cyrus S. Poonawalla,,
749,D. B. Deodhar,,
750,D. C. Kizhakemuri,,
751,D. C. Pavate,,
752,D. D. Bhawalkar,,
753,D. K. Khullar,,
754,D. K. Pattammal,,
755,D. Nageshwar Reddy,,
756,D. P. Chattopadhyaya,,
757,D. P. Kohli,,
758,D. P. Roy Choudhury,,
759,D. R. Bendre,,
760,D. R. Karthikeyan,,
761,D. R. Mehta,,
762,D. Ramanaidu,,
763,D. S. Rana,,
764,D. S. Wagh,,
765,D. V. Gundappa,,
766,D. V. S. Raju,,
767,D. Y. Patil,,
768,Dada Shewak Bhojraj,,
769,Dadi Pudumjee,,
770,Dadudan Gadhvi,,
771,Dagdu Maruti Pawar,,
772,Dahyabhai Jivaji Naik,,
773,Dahyabhai Shastri,,
774,Daitari Naik,,
775,Daji Bhatawadekar,,
776,Dalavai Chalapathi Rao,,
777,Dalip Kaur Tiwana,,
778,Dalip Kumar Sengupta,,
779,Daljeet Singh Gambhir,,
780,Daljit Singh,,
781,Dalsukh Dahyabhai Malvania,,
782,Dalveer Bhandari,,
783,Damal Kandalai Srinivasan,,
784,Damayanti Beshra,,
785,Damayanti Joshi,,
786,Damodar Bapat,,
787,Damodar Keshav Datar,,
788,Danny Denzongpa,"He started out with B.R. Ishara's Zaroorat in 1971 (released in 1972), which was his debut film. He got his major break in Gulzar's Mere Apne (1971), where he had a positive role. He first played an antagonist in B.R.Chopra's Dhundh (1973), where he played the role of a cripple and frustrated husband.
He played the second lead hero and had more positive roles in commercially successful critically acclaimed films in the seventies, such as Chor Machaye Shor, 36 Ghante, Fakira, Sangram (1976), Kalicharan, Kaala Sona and Devata. After his performance in the film Devata, he started getting more significant lengthy roles. He was simultaneously part of big budget films such as Aashiq Hoon Baharon Ka, Paapi, Bandish, The Burning Train and Chunoti in negative roles","ఇతను B తో ప్రారంభించాడు. ఆర్. 1971లో ఇషారా, జరూరత్ (1972లో విడుదలైంది), ఇది అతని తొలి చిత్రం. ఇతను గుల్జార్, మేరే అప్నే (1971)లో అతని ప్రధాన విరామం పొందాడు, అక్కడ ఇతను సానుకూల పాత్రను పోషించాడు. ఇతను మొదట బి చిత్రంలో ప్రతినాయకుడిగా నటించాడు. ఆర్. చోప్రా, ధుంద్ (1973), ఇందులో ఇతను వికలాంగుడు, విసుగు చెందిన భర్త పాత్రను పోషించాడు. ఇతను రెండవ ప్రధాన హీరోగా నటించాడు, డెబ్బైలలో చోర్ మచాయే షోర్, 36 ఘంటే, ఫకీరా, సంగ్రామ్ (1976), కాళీచరణ్, కాలా సోనా, దేవత వంటి వాణిజ్యపరంగా విజయవంతమైన విమర్శకుల ప్రశంసలు పొందిన చిత్రాలలో మరింత సానుకూల పాత్రలు పోషించాడు. దేవత చిత్రంలో అతని నటన తర్వాత, ఇతను మరింత ముఖ్యమైన పొడవైన పాత్రలను పొందడం ప్రారంభించాడు. ఇతను ఏకకాలంలో ఆషిక్ హూన్ బహరోన్ కా, పాపి, బందీష్, ది బర్నింగ్ ట్రైన్, చునోటి వంటి భారీ బడ్జెట్ చిత్రాలలో నెగటివ్ పాత్రలలో భాగమయ్యాడు. "
789,Dara Kaikhuswrao Karanjavala,,
790,Dara Nusserwanji Khurody,,
791,Darab Jehangir Jussawala,,
792,Darashaw Nosherwan Wadia,,
793,Darchhawna,,
794,Daripalli Ramaiah,,
795,Darshan Lal Jain,,
796,Darshan Singh Vohra,,
797,Darshana Jhaveri,,
798,Dasari Prasada Rao,,
799,Dashrath Patel,,
800,Dasika Durga Prasada Rao,,
801,Dattatraya Mahadeo Dahanukar,,
802,Dattatraya Nagappa Pai,,
803,Dattatraya Shridhar Joshi,,
804,Dattatraya Yeshwant Phadke,,
805,Dattatreyudu Nori,,
806,Datto Vaman Potdar,,
807,Daulat Singh Kothari,,
808,David Abraham Cheulkar,,
809,David Frawley,,
810,Daya Kishore Hazra,,
811,Daya Prakash Sinha,,
812,Dayananda Saraswati,,
813,Debaki Bose,,
814,Debdulal Bandopadhyaya,,
815,Debi Prasad Mukherjee,,
816,Debi Prasanna Pattanayak,,
817,Debiprasad Chattopadhyaya,,
818,Debu Chaudhuri,,
819,Deep Joshi,,
820,Deepa Malik,,
821,Deepak B. Phatak,,
822,Deepak Parekh,,
823,Deepak Puri,,
824,Deepak Sehgal,,
825,Deepika Kumari,,
826,Deori Omem Moyong,,
827,Dev Anand,,
828,Devaki Jain,,
829,Devan Venkata Reddy,,
830,Devanur Mahadeva,,
831,Devappagowda Chinnaiah,,
832,Devarapalli Prakash Rao,,
833,Devayani,,
834,Devchand Chaggan Lal Shah,,
835,Devchand Chhaganlal Shah,,
836,Devendra Dayabhai Patel,,
837,Devendra Jhajharia,,
838,Devendra Lal,,
839,Devendra Nath Samant,,
840,Devendra Patel,,
841,Devendra Satyarthi,,
842,Devendra Sen,,
843,Devendra Swarup,,
844,Devendra Triguna,,
845,Devi Dutt Sharma,,
846,Devi Lal Samar,,
847,Devi Sahai Jindal,,
848,Devi Shetty,,
849,Devika Rani,,
850,Devindra Rahinwal,,
851,Deviprasad Dwivedi,,
852,Devki Nandan Pande,,
853,Devulapalli Krishnasastri,,
854,Dhani Prem,,
855,Dhanpati Rai Nagpaul,,
856,Dhanraj Bhagat,,
857,Dhanraj Pillay,,
858,Dhanvanthi Rama Rau,,
859,Dhanwant Singh,,
860,Dharam Pal Saini,,
861,Dharam Veer Sachdeva,,
862,Dharamchand Patni,,
863,Dharamvir Bharati,,
864,Dharma Narayan Barma,,
865,Dharma Vira,,
866,Dharmendra,"Dharmendra was the winner of Filmfare magazine's nationally organised new talent award and went to Mumbai from Punjab, to work in the movie promised, being the award winner, but the movie was never made. He later made his debut with Arjun Hingorani's Dil Bhi Tera Hum Bhi Tere in 1960. He had a supporting role in the film Boy Friend in 1961, and was cast as the romantic interest in several films between 1960 and 1967.
He worked with Nutan in Soorat Aur Seerat (1962), Bandini (1963), Dil Ne Phir Yaad Kiya (1966). and Dulhan Ek Raat Ki (1967); with Mala Sinha in Anpadh (1962), Pooja Ke Phool (1964), Baharen Phir Bhi Aayengi (1966), and Ankhen (1968); with Nanda in Akashdeep (1965); and with Saira Banu in Shaadi (1962) and Ayee Milan Ki Bela (1964). Dharmendra formed a successful pairing with Meena Kumari and shared the screen in 7 films namely Main Bhi Ladki Hoon (1964), Kaajal (1965), Purnima (1965), Phool Aur Patthar (1966), Majhli Didi (1967), Chandan Ka Palna (1967) and Baharon Ki Manzil (1968). He had a solo hero role in Phool Aur Patthar (1966), which was his first action film. It has been speculated for a long time that Meena Kumari and Dharmendra had an intimate relationship in the 1960s. Meena Kumari helped him to establish himself among the A-listers of that time. Phool Aur Paththar became the highest-grossing film of 1966 and Dharmendra was nominated for Filmfare Award for Best Actor for the first time","ధర్మేంద్ర ఫిల్మ్ఫేర్ మ్యాగజైన్ జాతీయ స్థాయిలో నిర్వహించే కొత్త ప్రతిభా పురస్కారాన్ని గెలుచుకున్నాడు, అవార్డు గ్రహీతగా వాగ్దానం చేసిన సినిమాలో పని చేయడానికి పంజాబ్ నుండి ముంబైకి వెళ్ళాడు, కానీ సినిమా ఎప్పుడూ చేయలేదు. ఇతను 1960లో అర్జున్ హింగోరానీ, దిల్ భీ తేరా హమ్ భీ తేరేతో తన అరంగేట్రం చేసాడు. ఇతను 1961లో బాయ్ ఫ్రెండ్ చిత్రంలో సహాయక పాత్రను పోషించాడు, 1960, 1967 మధ్య అనేక చిత్రాలలో శృంగార ఆసక్తిని కలిగి ఉన్నాడు. ఇతను నూతన్తో కలిసి సూరత్ ఔర్ సీరత్ (1962), బాందిని (1963), దిల్ నే ఫిర్ యాద్ కియా (1966) చిత్రాలలో పనిచేశాడు., దుల్హన్ ఏక్ రాత్ కి (1967); మాలా సిన్హాతో అన్పాద్ (1962), పూజా కే ఫూల్ (1964), బహరెన్ ఫిర్ భీ ఆయేంగి (1966),, అంఖేన్ (1968); ఆకాశదీప్ (1965)లో నందాతో;, సైరా బానుతో షాదీ (1962), ఆయీ మిలన్ కి బేలా (1964). ధర్మేంద్ర మీనా కుమారితో విజయవంతమైన జోడీని ఏర్పరుచుకున్నారు, మై భీ లడ్కీ హూన్ (1964), కాజల్ (1965), పూర్ణిమ (1965), ఫూల్ ఔర్ పత్తర్ (1966), మజ్లీ దీదీ (1967), చందన్ కా పల్నా వంటి 7 చిత్రాలలో స్క్రీన్ను పంచుకున్నారు. (1967), బహరోన్ కి మంజిల్ (1968). ఇతను ఫూల్ ఔర్ పత్తర్ (1966)లో సోలో హీరోగా నటించాడు, ఇది అతని మొదటి యాక్షన్ చిత్రం. మీనా కుమారి, ధర్మేంద్ర మధ్య 1960 లలో సన్నిహిత సంబంధం ఉందని చాలా కాలంగా ఊహాగానాలు ఉన్నాయి. మీనా కుమారి ఆ సమయంలోని ఎ-లిస్టర్లలో తనను తాను స్థాపించుకోవడానికి అతనికి సహాయం చేసింది. ఫూల్ ఔర్ పత్తర్ 1966లో అత్యధిక వసూళ్లు సాధించిన చిత్రంగా నిలిచింది, ధర్మేంద్ర తొలిసారిగా ఉత్తమ నటుడిగా ఫిల్మ్ఫేర్ అవార్డుకు నామినేట్ అయ్యాడు. "
867,Dhera Ram Shah,,
868,Dhirendra Nath Bezbaruah,,
869,Dhirendra Nath Ganguly,,
870,Dhirubhai Ambani,,
871,Dhirubhai Thaker,,
872,Dhondo Keshav Karve,,
873,Dhyan Chand,,
874,Dhyan Pal Singh,,
875,Diana Edulji,,
876,Digambar Behera,,
877,Digamber Hansda,,
878,Digamber Vasudev Joglekar,,
879,Dilbagh Singh Athwal,,
880,Dilip Chakravarty,,
881,Dilip K. Biswas,,
882,Dilip Kumar,,
883,Dilip Shanghvi,,
884,Dilip Tirkey,,
885,Dilip Vengsarkar,,
886,Dimitris C. Velissaropoulos,,
887,Din Dayal,,
888,Dina Nath Malhotra,,
889,Dinabandhu Banerjee,,
890,Dinamani Sridhar Kamat,,
891,Dinesh K. Bhargava,,
892,Dinesh Mohan,,
893,Dinesh Nandini Dalmia,,
894,Dinesh Singh,,
895,Dingko Singh,,
896,Dinkar Gangadhar Kelkar,,
897,Dinyar Contractor,,
898,Dipa Karmakar,,
899,Dipali Barthakur,,
900,Dipankar Banerjee,,
901,Dipankar Chatterji,,
902,Dipika Pallikal,,
903,Diwaliben Punjabhai Bhil,,
904,Doddarange Gowda,,
905,Dominique Lapierre,,
906,Donty Naranappa Krishnaia Setty,,
907,Dorairajan Balasubramanian,,
908,Doraiswamy Iyengar,,
909,Dorothy Chacko,,
910,Dr. Bhupendra Kumar Singh San'a,,
911,Dr. Chandrakant Sambhaji Pandav,,
912,Dr. Dhananjay Diwakar Sa deo,,
913,Dr. Dilip Kumar Singh,,
914,Dr. J N Pande (Posthumous),,
915,Dr. Krishna Mohan Pathi,,
916,Dr. Rattan Lal Mittal,,
917,Dr. Thiruvengadam Veeraraghavan,,
918,Draupadi Ghimiray,,
919,Dukhan Ram,,
920,Dula Bhaya Kag,,
921,Dulal Manki,,
922,Durga Das Basu,,
923,Durga Deulkar,,
924,Durga Jain,,
925,Durga Khote,,
926,Durgabai Deshmukh,,
927,Dušan Zbavitel,,
928,Dwaram Venkataswamy Naidu,,
929,Dwijen Mukhopadhyay,,
930,Dwijendra Nath Mukerjee,,
931,E. A. S. Prasanna,,
932,E. A. Siddiq,,
933,E. C. George Sudarshan,,
934,E. Sreedharan,,
935,E. Srinivasan Parthasarthy,,
936,E. T. Narayanan Mooss,,
937,Earnest Joachin Joseph Borges,,
938,Eberhard Fischer,,
939,Ebrahim Alkazi,,
940,Edith Helen Paull,,
941,Edmund Hillary,,
942,Edward Kutchat,,
943,Eknath Vasant Chitnis,,
944,Ekta Kapoor,,
945,Ela Bhatt,,
946,Ela Gandhi,,
947,Elam Endira Devi,,
948,Elangbam Nilakanta Singh#,,
949,Eledath Thaikkattu Neelakandan Mooss,,
950,Eli Ahmed,,
951,Eliza Nelson,,
952,Elizabeth Brunner,,
953,Eluvathingal Devassy Jemmis,,
954,Emani Sankara Sastry,,
955,Enamul Haque,,
956,Enuga Sreenivasulu Reddy,,
957,Erasmus Lyngdoh,,
958,Esther Abrham Solomon,,
959,Eswara Iyer Krishna Iyer,,
960,Eugene Chelyshev,,
961,Evelyn Norah Shullai,,
962,Evengeline Lazarus,,
963,Ezra Mir,,
964,Fali Sam Nariman,,
965,Faquir Chand Kohli,,
966,Fareed Zakaria,,
967,Farokh Engineer,,
968,Farokh Udwadia,,
969,Fateh Chand Badhwar,,
970,Fateh Chand Gera,,
971,Father Vallés,,
972,Fatima Ismail,,
973,Fatima Zakaria,,
974,Fayaz Ahmad Jan,,
975,Fazal Ali,,
976,Fazal Mohammad,,
977,Felisa Garbala,,
978,Fenner Brockway,,
979,Flora MacDonald,,
980,Francis Dore,,
981,Frank Pallone,,
982,Frank Sathyarajan Dewars,,
983,Friederike Irina,,
984,G. Aravindan,,
985,G. B. Parulkar,,
986,G. Bakthavathsalam,,
987,G. C. D. Bharti,,
988,G. D. Yadav,,
989,G. Krishna,,
990,G. Madhavan Nair,,
991,G. Muniratnam,,
992,G. N. Devy,,
993,G. N. Malviya,,
994,G. P. Chopra,,
995,G. S. Melkote,,
996,G. S. Sainani,,
997,G. S. Venkataraman,,
998,G. Sankara Kurup,,
999,G. Shankar,,
1000,G. V. Iyer Ramakrishna,,
1001,G. Venkatasubbiah,,
1002,Gabriel Chiramel,,
1003,Gadde Ramakoteswar Rao,,
1004,Gadul Singh Lama,,
1005,Gafurbhai M. Bilakhia,,
1006,Gagan Narang,,
1007,Gaganvihari Lallubhai Mehta,,
1008,Gainedi A. Narasimha Rao,,
1009,Gajam Anjaiah,,
1010,Gajam Govardhana,,
1011,Gajanan Digambar Madgulkar,,
1012,Gajendra Narayan Singh,,
1013,Gambhir Singh Mura,,
1014,Ganda Singh,,
1015,Ganesh Gobind Karkhanis,,
1016,Ganesh Kumar Mani,,
1017,Ganeshan Venkataraman,,
1018,Ganga Devi,,
1019,Ganga Prasad Birla,,
1020,Gangadhar Pantawane,,
1021,Gangadhar Pradhan,,
1022,Gangubai Hangal,,
1023,Ganpatbhai Patel,,
1024,Ganpatrao Jadhav,,
1025,Gary Ackerman,,
1026,Gaura Pant Shivani,,
1027,Gautam Gambhir,,
1028,Gautam Vaghela,,
1029,Gayatri Chakravorty Spivak,,
1030,Gayatri Sankaran,,
1031,Geet Sethi,,
1032,Geeta Chandran,,
1033,Geeta Dharmarajan,,
1034,Geeta Kapur,,
1035,Geeta Mahalik,,
1036,Geeta Zutshi,,
1037,Gemini Ganesan,,
1038,Genabhai Dargabhai Patel,,
1039,Gennadi Mikhailovich Pechinkov,,
1040,George Fernandes,,
1041,George Joseph,,
1042,George L. Hart,,
1043,George Sudarshan,,
1044,George William Gregory Bird,,
1045,George Yeo,,
1046,Gertrude Emerson Sen,,
1047,Ghanakanta Bora,,
1048,Ghananand Pande,,
1049,Ghanashyam Mishra,,
1050,Ghanshyam Das,,
1051,Ghanshyam Das Birla,,
1052,Ghanshyam Das Goyal,,
1053,Ghantasala,,
1054,Ghaus Mohammad,,
1055,Ghulam Ahmad Bandey,,
1056,Ghulam Mohammad Saznawaz,,
1057,Ghulam Mohammed Mir,,
1058,Ghulam Mohammed Sadiq,,
1059,Ghulam Mustafa Khan (singer),,
1060,Ghulam Rasool Khan,,
1061,Ghulam Rasool Santosh,,
1062,Ghulam Sadiq Khan,,
1063,Ghulam Yazdani,,
1064,Giani Gurmukh Singh Musafir,,
1065,Girija Devi,,
1066,Girilal Jain,,
1067,Giriraj Kishore,,
1068,Girish Bharadwaj,,
1069,Girish Chandra Saxena,,
1070,Girish Karnad,,
1071,Girish Kasaravalli,,
1072,Girish Prabhune,,
1073,Girisha Nagarajegowda,,
1074,Gisela Bonn,,
1075,Gitchandra Tongbra,,
1076,Gjanardhana Puranik Narayana Rao,,
1077,Gladys Staines,,
1078,Gloria Arieira,,
1079,Gnanananda Kavi,,
1080,Gobardhan Panika,,
1081,Gobind Behari Lal,,
1082,Godawari Dutta,,
1083,Goel Kaikobad Sorabji Shavaksha,,
1084,Gokulbhai Bhatt,,
1085,Gokuldas Shivaldas Ahuja,,
1086,Gokulotsavji Maharaj,,
1087,Gopal Chandra Dutt,,
1088,Gopal Chandra Mitra,,
1089,Gopal Chhotray,,
1090,Gopal Gurunath Bewoor,,
1091,Gopal Krishna Saraf,,
1092,Gopal Krishna Vishwakarma,,
1093,Gopal Narayan Thakkar,,
1094,Gopal Prasad Dubey,,
1095,Gopal Prasad Sinha,,
1096,Gopal Prasad Vyas,,
