,Recipients,education and career,education and career Telugu
682,Chandra Kisan Daphtary,,
683,Chandra Mohan,,
684,Chandra Prakash Deval,,
685,Chandra Prakash Vohra,,
686,Chandra Prasad Saikia,,
687,Chandra Sekhar Rath,,
688,Chandra Shekhar Singh,,
689,Chandrakant Mehta,,
690,Chandrakant Pithawa,,
691,Chandraprabha Aitwal,,
692,Chandraprava Saikiani,,
693,Chandrashekhar Dasgupta,,
694,Chandrashekhar Lohumi,,
695,Chandrashekhar Shankar Dharmadhikari,,
696,Chandrashekhara Kambara,,
697,Chandravadan Mehta,,
698,Chandrika Prasad Srivastava,,
699,Chandu Borde,,
700,Chandulal Madhavlal Trivedi,,
701,Charanjit Singh,,
702,Charles Borromeo,,
703,Charles Correa,,
704,Chaturbhuj Meher,,
705,Chavaly Srinivasa Sastry,,
706,Chawngthu Lalhmingliana,,
707,Chemanchery Kunhiraman Nair,,
708,Chenganoor Raman Pillai,,
709,Chennamaneni Hanumantha Rao,,
710,Cheril Krishna Menon,,
711,Chewang Motup Goba,,
712,Chewang Norphel,,
713,Chewang Phunsog,,
714,Chhakchhuak Chhuanvawram,,
715,Chhannulal Mishra,,
716,Chhattra Pati Joshi,,
717,Chindodi Leela,,
718,Chingamban Kalachand Shastri,,
719,Chinna Pillai,,
720,Chinnaswamy Rajan Subramanian,,
721,Chintakindi Mallesham,,
722,Chintala Venkat Reddy,,
723,Chintaman Govind Pandit,,
724,Chintamoni Kar,,
725,Chiranjeet Chakraborty,,
726,Chiranjeevi,,
727,Chiranjilal Gograj Joshi,,
728,Chitra Naik,,
729,Chitra Visweswaran,,
730,Chitranjan Singh Ranawat,,
731,Chittani Ramachandra Hegde,,
732,Chittoor Mohammed Habeebullah,,
733,Chittor V. Nagaiah,,
734,Chittu Tudu,,
735,Cho Ramaswamy,,
736,Christopher Pinney,,
737,Chuauhang Rokhuma,,
738,Chubalemla AO,,
739,Chuni Goswami,,
740,Claire Vellut,,
741,Coimbatore Narayana Rao Raghavendran,,
742,Colette Mathur,,
743,Coluthur Gopalan,,
744,Coorg Narasimhaiengar Krishna Murthy,,
745,Cooverbai Jahangir Vakil,,
746,Cottari Kankaiyah Nayudu,,
747,Cudonalore Subramania Chetty Sadasivan,,
748,Cyrus S. Poonawalla,,
749,D. B. Deodhar,,
750,D. C. Kizhakemuri,,
751,D. C. Pavate,,
752,D. D. Bhawalkar,,
753,D. K. Khullar,,
754,D. K. Pattammal,,
755,D. Nageshwar Reddy,,
756,D. P. Chattopadhyaya,,
757,D. P. Kohli,,
758,D. P. Roy Choudhury,,
759,D. R. Bendre,,
760,D. R. Karthikeyan,,
761,D. R. Mehta,,
762,D. Ramanaidu,,
763,D. S. Rana,,
764,D. S. Wagh,,
765,D. V. Gundappa,,
766,D. V. S. Raju,,
767,D. Y. Patil,,
768,Dada Shewak Bhojraj,,
769,Dadi Pudumjee,,
770,Dadudan Gadhvi,,
771,Dagdu Maruti Pawar,,
772,Dahyabhai Jivaji Naik,,
773,Dahyabhai Shastri,,
774,Daitari Naik,,
775,Daji Bhatawadekar,,
776,Dalavai Chalapathi Rao,,
777,Dalip Kaur Tiwana,,
778,Dalip Kumar Sengupta,,
779,Daljeet Singh Gambhir,,
780,Daljit Singh,,
781,Dalsukh Dahyabhai Malvania,,
782,Dalveer Bhandari,,
783,Damal Kandalai Srinivasan,,
784,Damayanti Beshra,,
785,Damayanti Joshi,,
786,Damodar Bapat,,
787,Damodar Keshav Datar,,
788,Danny Denzongpa,,
789,Dara Kaikhuswrao Karanjavala,,
790,Dara Nusserwanji Khurody,,
791,Darab Jehangir Jussawala,,
792,Darashaw Nosherwan Wadia,,
793,Darchhawna,,
794,Daripalli Ramaiah,,
795,Darshan Lal Jain,,
796,Darshan Singh Vohra,,
797,Darshana Jhaveri,,
798,Dasari Prasada Rao,,
799,Dashrath Patel,,
800,Dasika Durga Prasada Rao,,
801,Dattatraya Mahadeo Dahanukar,,
802,Dattatraya Nagappa Pai,,
803,Dattatraya Shridhar Joshi,,
804,Dattatraya Yeshwant Phadke,,
805,Dattatreyudu Nori,,
806,Datto Vaman Potdar,,
807,Daulat Singh Kothari,,
808,David Abraham Cheulkar,,
809,David Frawley,,
810,Daya Kishore Hazra,,
811,Daya Prakash Sinha,,
812,Dayananda Saraswati,,
813,Debaki Bose,,
814,Debdulal Bandopadhyaya,,
815,Debi Prasad Mukherjee,,
816,Debi Prasanna Pattanayak,,
817,Debiprasad Chattopadhyaya,,
818,Debu Chaudhuri,,
819,Deep Joshi,,
820,Deepa Malik,,
821,Deepak B. Phatak,,
822,Deepak Parekh,,
823,Deepak Puri,,
824,Deepak Sehgal,,
825,Deepika Kumari,,
826,Deori Omem Moyong,,
827,Dev Anand,,
828,Devaki Jain,,
829,Devan Venkata Reddy,,
830,Devanur Mahadeva,,
831,Devappagowda Chinnaiah,,
832,Devarapalli Prakash Rao,,
833,Devayani,,
834,Devchand Chaggan Lal Shah,,
835,Devchand Chhaganlal Shah,,
836,Devendra Dayabhai Patel,,
837,Devendra Jhajharia,,
838,Devendra Lal,,
839,Devendra Nath Samant,,
840,Devendra Patel,,
841,Devendra Satyarthi,,
842,Devendra Sen,,
843,Devendra Swarup,,
844,Devendra Triguna,,
845,Devi Dutt Sharma,,
846,Devi Lal Samar,,
847,Devi Sahai Jindal,,
848,Devi Shetty,,
849,Devika Rani,,
850,Devindra Rahinwal,,
851,Deviprasad Dwivedi,,
852,Devki Nandan Pande,,
853,Devulapalli Krishnasastri,,
854,Dhani Prem,,
855,Dhanpati Rai Nagpaul,,
856,Dhanraj Bhagat,,
857,Dhanraj Pillay,,
858,Dhanvanthi Rama Rau,,
859,Dhanwant Singh,,
860,Dharam Pal Saini,,
861,Dharam Veer Sachdeva,,
862,Dharamchand Patni,,
863,Dharamvir Bharati,,
864,Dharma Narayan Barma,,
865,Dharma Vira,,
866,Dharmendra,,
867,Dhera Ram Shah,,
868,Dhirendra Nath Bezbaruah,,
869,Dhirendra Nath Ganguly,,
870,Dhirubhai Ambani,,
871,Dhirubhai Thaker,,
872,Dhondo Keshav Karve,,
873,Dhyan Chand,,
874,Dhyan Pal Singh,,
875,Diana Edulji,,
876,Digambar Behera,,
877,Digamber Hansda,,
878,Digamber Vasudev Joglekar,,
879,Dilbagh Singh Athwal,,
880,Dilip Chakravarty,,
881,Dilip K. Biswas,,
882,Dilip Kumar,,
883,Dilip Shanghvi,,
884,Dilip Tirkey,,
885,Dilip Vengsarkar,,
886,Dimitris C. Velissaropoulos,,
887,Din Dayal,,
888,Dina Nath Malhotra,,
889,Dinabandhu Banerjee,,
890,Dinamani Sridhar Kamat,,
891,Dinesh K. Bhargava,,
892,Dinesh Mohan,,
893,Dinesh Nandini Dalmia,,
894,Dinesh Singh,,
895,Dingko Singh,,
896,Dinkar Gangadhar Kelkar,,
897,Dinyar Contractor,,
898,Dipa Karmakar,,
899,Dipali Barthakur,,
900,Dipankar Banerjee,,
901,Dipankar Chatterji,,
902,Dipika Pallikal,,
903,Diwaliben Punjabhai Bhil,,
904,Doddarange Gowda,,
905,Dominique Lapierre,,
906,Donty Naranappa Krishnaia Setty,,
907,Dorairajan Balasubramanian,,
908,Doraiswamy Iyengar,,
909,Dorothy Chacko,,
910,Dr. Bhupendra Kumar Singh San'a,,
911,Dr. Chandrakant Sambhaji Pandav,,
912,Dr. Dhananjay Diwakar Sa deo,,
913,Dr. Dilip Kumar Singh,,
914,Dr. J N Pande (Posthumous),,
915,Dr. Krishna Mohan Pathi,,
916,Dr. Rattan Lal Mittal,,
917,Dr. Thiruvengadam Veeraraghavan,,
918,Draupadi Ghimiray,,
919,Dukhan Ram,,
920,Dula Bhaya Kag,,
921,Dulal Manki,,
922,Durga Das Basu,,
923,Durga Deulkar,,
924,Durga Jain,,
925,Durga Khote,,
926,Durgabai Deshmukh,,
927,Dušan Zbavitel,,
928,Dwaram Venkataswamy Naidu,,
929,Dwijen Mukhopadhyay,,
930,Dwijendra Nath Mukerjee,,
931,E. A. S. Prasanna,,
932,E. A. Siddiq,,
933,E. C. George Sudarshan,,
934,E. Sreedharan,,
935,E. Srinivasan Parthasarthy,,
936,E. T. Narayanan Mooss,,
937,Earnest Joachin Joseph Borges,,
938,Eberhard Fischer,,
939,Ebrahim Alkazi,,
940,Edith Helen Paull,,
941,Edmund Hillary,,
942,Edward Kutchat,,
943,Eknath Vasant Chitnis,,
944,Ekta Kapoor,,
945,Ela Bhatt,,
946,Ela Gandhi,,
947,Elam Endira Devi,,
948,Elangbam Nilakanta Singh#,,
949,Eledath Thaikkattu Neelakandan Mooss,,
950,Eli Ahmed,,
951,Eliza Nelson,,
952,Elizabeth Brunner,,
953,Eluvathingal Devassy Jemmis,,
954,Emani Sankara Sastry,,
955,Enamul Haque,"Haque completed his bachelor's in history and master's in archaeological history from the University of Dhaka. He later earned his PhD on South Asian Art from the University of Oxford. He got his post-graduate Diploma-in-Museology from London.Haque joined Dhaka Museum (later Bangladesh National Museum) in 1962. He became the principal in 1965, director in 1969 and director general during 1983–1991.He was also elected as the President of the International Council of Museums Asia-Pacific Organization for the period 1983–86. He served as the professor of national culture and heritage in the Independent University, Bangladesh and the president, chairman and academic director of the International Centre for Study of Bengal Art.","హక్ యూనివర్శిటీ ఆఫ్ ఢాకా నుండి చరిత్రలో బ్యాచిలర్స్, పురావస్తు చరిత్రలో మాస్టర్స్ పూర్తి చేశాడు. తర్వాత ఇతను ఆక్స్ఫర్డ్ విశ్వవిద్యాలయం నుండి సౌత్ ఏషియన్ ఆర్ట్పై పిహెచ్డి పొందాడు. ఇతను తన పోస్ట్-గ్రాడ్యుయేట్ డిప్లొమా-ఇన్-మ్యూజియాలజీని లండన్ నుండి పొందాడు. హక్ 1962లో ఢాకా మ్యూజియంలో (తరువాత బంగ్లాదేశ్ నేషనల్ మ్యూజియం) చేరారు. ఇతను 1965లో ప్రిన్సిపాల్గా, 1969లో డైరెక్టర్గా, 1983-1991లో డైరెక్టర్ జనరల్ అయ్యాడు. ఇతను 1983-86 కాలానికి ఇంటర్నేషనల్ కౌన్సిల్ ఆఫ్ మ్యూజియమ్స్ ఆసియా-పసిఫిక్ ఆర్గనైజేషన్ అధ్యక్షుడిగా కూడా ఎన్నికయ్యాడు. ఇతను బంగ్లాదేశ్లోని ఇండిపెండెంట్ యూనివర్శిటీలో జాతీయ సంస్కృతి, వారసత్వం, ప్రొఫెసర్గా, ఇంటర్నేషనల్ సెంటర్ ఫర్ స్టడీ ఆఫ్ బెంగాల్ ఆర్ట్ అధ్యక్షుడిగా, ఛైర్మన్గా, అకడమిక్ డైరెక్టర్గా పనిచేశాడు. "
956,Enuga Sreenivasulu Reddy,,
957,Erasmus Lyngdoh,,
958,Esther Abrham Solomon,,
959,Eswara Iyer Krishna Iyer,,
960,Eugene Chelyshev,,
961,Evelyn Norah Shullai,,
962,Evengeline Lazarus,,
963,Ezra Mir,,
964,Fali Sam Nariman,,
965,Faquir Chand Kohli,,
966,Fareed Zakaria,,
967,Farokh Engineer,,
968,Farokh Udwadia,,
969,Fateh Chand Badhwar,,
970,Fateh Chand Gera,,
971,Father Vallés,,
972,Fatima Ismail,,
973,Fatima Zakaria,,
974,Fayaz Ahmad Jan,,
975,Fazal Ali,,
976,Fazal Mohammad,,
977,Felisa Garbala,,
978,Fenner Brockway,,
979,Flora MacDonald,,
980,Francis Dore,,
981,Frank Pallone,,
982,Frank Sathyarajan Dewars,,
983,Friederike Irina,,
984,G. Aravindan,,
985,G. B. Parulkar,,
986,G. Bakthavathsalam,,
987,G. C. D. Bharti,,
988,G. D. Yadav,,
989,G. Krishna,,
990,G. Madhavan Nair,,
991,G. Muniratnam,,
992,G. N. Devy,,
993,G. N. Malviya,,
994,G. P. Chopra,,
995,G. S. Melkote,,
996,G. S. Sainani,,
997,G. S. Venkataraman,,
998,G. Sankara Kurup,,
999,G. Shankar,,
1000,G. V. Iyer Ramakrishna,,
1001,G. Venkatasubbiah,,
1002,Gabriel Chiramel,,
1003,Gadde Ramakoteswar Rao,,
1004,Gadul Singh Lama,,
1005,Gafurbhai M. Bilakhia,,
1006,Gagan Narang,,
1007,Gaganvihari Lallubhai Mehta,,
1008,Gainedi A. Narasimha Rao,,
1009,Gajam Anjaiah,,
1010,Gajam Govardhana,,
1011,Gajanan Digambar Madgulkar,,
1012,Gajendra Narayan Singh,,
1013,Gambhir Singh Mura,,
1014,Ganda Singh,,
1015,Ganesh Gobind Karkhanis,,
1016,Ganesh Kumar Mani,,
1017,Ganeshan Venkataraman,,
1018,Ganga Devi,,
1019,Ganga Prasad Birla,,
1020,Gangadhar Pantawane,,
1021,Gangadhar Pradhan,,
1022,Gangubai Hangal,,
1023,Ganpatbhai Patel,,
1024,Ganpatrao Jadhav,,
1025,Gary Ackerman,,
1026,Gaura Pant Shivani,,
1027,Gautam Gambhir,,
1028,Gautam Vaghela,,
1029,Gayatri Chakravorty Spivak,,
1030,Gayatri Sankaran,,
1031,Geet Sethi,,
1032,Geeta Chandran,,
1033,Geeta Dharmarajan,,
1034,Geeta Kapur,,
1035,Geeta Mahalik,,
1036,Geeta Zutshi,,
1037,Gemini Ganesan,,
1038,Genabhai Dargabhai Patel,,
1039,Gennadi Mikhailovich Pechinkov,,
1040,George Fernandes,,
1041,George Joseph,,
1042,George L. Hart,,
1043,George Sudarshan,,
1044,George William Gregory Bird,,
1045,George Yeo,,
1046,Gertrude Emerson Sen,,
1047,Ghanakanta Bora,,
1048,Ghananand Pande,,
1049,Ghanashyam Mishra,,
1050,Ghanshyam Das,,
1051,Ghanshyam Das Birla,,
1052,Ghanshyam Das Goyal,,
1053,Ghantasala,,
1054,Ghaus Mohammad,,
1055,Ghulam Ahmad Bandey,,
1056,Ghulam Mohammad Saznawaz,,
1057,Ghulam Mohammed Mir,,
1058,Ghulam Mohammed Sadiq,"He was a graduate of Islamia College in Lahore and Aligarh Muslim University. He served in Sheikh Abdullah’s first cabinet from 1947 to 1953.  and was the leader of the National Conference party from 1957 to 1961 after which he joined the Indian National Congress. He was elected the Prime Minister of Jammu and Kashmir in 1964. He became the first chief minister of the state in 1965, when the J&K Constitution was amended (Sixth Constitution of J&K Amendment Act, 1965) by the then Congress government, and the position of Prime Minister was replaced with Chief Minister.He died in office following a heart attack on December 12, 1971.","ఇతను లాహోర్లోని ఇస్లామియా కళాశాల, అలీఘర్ ముస్లిం విశ్వవిద్యాలయంలో పట్టభద్రుడయ్యాడు. ఇతను 1947 నుండి 1953 వరకు షేక్ అబ్దుల్లా మొదటి మంత్రివర్గంలో పనిచేశాడు., 1957 నుండి 1961 వరకు నేషనల్ కాన్ఫరెన్స్ పార్టీ నాయకుడిగా ఉన్నారు, ఆ తర్వాత ఇతను ఇండియన్ నేషనల్ కాంగ్రెస్లో చేరాడు. 1964లో జమ్మూ కాశ్మీర్కు ప్రధానమంత్రిగా ఎన్నికయ్యారు. ఇతను 1965లో రాష్ట్రానికి మొదటి ముఖ్యమంత్రి అయ్యాడు, అప్పటి కాంగ్రెస్ ప్రభుత్వం J&K రాజ్యాంగాన్ని (J&K రాజ్యాంగ సవరణ చట్టం, 1965, ఆరవ రాజ్యాంగం) సవరించింది, ప్రధానమంత్రి పదవిని ముఖ్యమంత్రిగా మార్చారు. ఇతను డిసెంబర్ 12, 1971 న గుండెపోటుతో కార్యాలయంలో మరణించాడు. "
1059,Ghulam Mustafa Khan (singer),,
1060,Ghulam Rasool Khan,,
1061,Ghulam Rasool Santosh,,
1062,Ghulam Sadiq Khan,,
1063,Ghulam Yazdani,,
1064,Giani Gurmukh Singh Musafir,,
1065,Girija Devi,,
1066,Girilal Jain,,
1067,Giriraj Kishore,,
1068,Girish Bharadwaj,,
1069,Girish Chandra Saxena,,
1070,Girish Karnad,,
1071,Girish Kasaravalli,,
1072,Girish Prabhune,,
1073,Girisha Nagarajegowda,,
1074,Gisela Bonn,,
1075,Gitchandra Tongbra,,
1076,Gjanardhana Puranik Narayana Rao,,
1077,Gladys Staines,,
1078,Gloria Arieira,,
1079,Gnanananda Kavi,,
1080,Gobardhan Panika,,
1081,Gobind Behari Lal,,
1082,Godawari Dutta,,
1083,Goel Kaikobad Sorabji Shavaksha,,
1084,Gokulbhai Bhatt,,
1085,Gokuldas Shivaldas Ahuja,,
1086,Gokulotsavji Maharaj,,
1087,Gopal Chandra Dutt,,
1088,Gopal Chandra Mitra,,
1089,Gopal Chhotray,,
1090,Gopal Gurunath Bewoor,,
1091,Gopal Krishna Saraf,,
1092,Gopal Krishna Vishwakarma,,
1093,Gopal Narayan Thakkar,,
1094,Gopal Prasad Dubey,,
1095,Gopal Prasad Sinha,,
1096,Gopal Prasad Vyas,,
1097,Gopal Purushottam Phadke,,
1098,Gopala Ramanujam,,
1099,Gopalan Narasimhan,,
1100,Gopalasamy Govindarajan,,
1101,Gopaldas Neeraj,,
1102,Gopaldas Neogi Chowdhury,,
1103,Gopi Chand Mannam,,
1104,Gopi Chand Narang,,
1105,Gopi Krishna,,
1106,Gopinath Aman,,
1107,Gopinath Kaviraj,,
1108,Gopinath Mohanty,,
1109,Gopinath Pillai,,
1110,Gopiram Bargayn Burabhakat,,
1111,Gordhandas Bhagwandas Narottamdas,,
1112,Goriparthi Narasimha Raju Yadav,,
1113,Goro Koyama,,
1114,Gosasp Maneckji Sorabji Captain,,
1115,Gostha Pal,,
1116,Gottipati Brahmaiah,,
1117,Gouri Sen,,
1118,Govardan Kumari,,
1119,Goverdhan Mehta,,
1120,Govind Bhimachary Joshi,,
1121,Govind Chandra Pande,,
1122,Govind Narain,,
1123,Govind Nihalani,,
1124,Govind Pandurang Kane,,
1125,Govind Ram Hada,,
1126,Govind Ram Nirmalkar,,
1127,Govind Sakharam Sardesai,,
1128,Govind Swarup,,
1129,Govinda Pillai Unnikrishna Menon,,
1130,Govindan Sundararajan,,
1131,Govindan Vijayaraghavan,,
1132,Govindappa Venkataswamy,,
1133,Govindarajan Padmanaban,,
1134,Govinddas Mannulal Shroff,,
1135,Gowri Ishwaran,,
1136,Grace Louise McCann Morley,,
1137,Grace Mary Linnel,,
1138,Granville Austin,,
1139,Grigoriy Lvovitch Bondarevsky,,
1140,Grigory Bongard-Levin,,
1141,Gubbi Veeranna,,
1142,Guduru Venkatachalam,,
1143,Gujarmal Modi,,
1144,Gul Bardhan,,
1145,Gulab Bai,,
1146,Gulabdas Broker,,
1147,Gulabo Sapera,,
1148,Gulam Mohammed Sheikh,,
1149,Gulam Qadir Lala,,
1150,Gulam Rabbani Taban,,
1151,Gulam Rusull Khan,,
1152,Gulestan Rustom Billimoria,,
1153,Gulfam Ahmed,,
1154,Gullapalli Nageswara Rao,"After completing his basic medical education in Guntur, Andhra Pradesh, Rao completed his postgraduate residency training in ophthalmology at the All India Institute of Medical Sciences, New Delhi. He has received the degree of Doctor of Science (Honoris Causa) from the University of Melbourne, the Honor Award of the American Academy of Ophthalmology, International Blindness Prevention Award from the American Academy of Ophthalmology and the AEBA Award from the Association of Eye Bank of Asia. Rao has served the International Agency for the Prevention of Blindness as a board member, the secretary general (1998) and the president (2004) on various occasions. Apart from training abroad, he is also serving as visiting professor at several universities in the USA, Europe, Australia and Asia. As of 2020, Rao has published more than 300 papers in peer reviewed national and international journals and has served on the editorial boards of several journals. He has five honorary doctorates from Australia, United Kingdom and India.","ఆంధ్రప్రదేశ్లోని గుంటూరులో ప్రాథమిక వైద్య విద్యను పూర్తి చేసిన తర్వాత, రావు న్యూ ఢిల్లీలోని ఆల్ ఇండియా ఇన్స్టిట్యూట్ ఆఫ్ మెడికల్ సైన్సెస్లో ఆప్తాల్మాలజీలో పోస్ట్ గ్రాడ్యుయేట్ రెసిడెన్సీ శిక్షణను పూర్తి చేశారు. ఇతను మెల్బోర్న్ విశ్వవిద్యాలయం నుండి డాక్టర్ ఆఫ్ సైన్స్ (హానోరిస్ కాసా) డిగ్రీ, అమెరికన్ అకాడమీ ఆఫ్ ఆప్తాల్మాలజీ, గౌరవ పురస్కారం, అమెరికన్ అకాడమీ ఆఫ్ ఆప్తాల్మాలజీ నుండి ఇంటర్నేషనల్ బ్లైండ్నెస్ ప్రివెన్షన్ అవార్డు, అసోసియేషన్ ఆఫ్ ఐ బ్యాంక్ ఆఫ్ నుండి AEBA అవార్డును అందుకున్నాడు. ఆసియా. రావు ఇంటర్నేషనల్ ఏజన్సీ ఫర్ ప్రివెన్షన్ ఆఫ్ బ్లైండ్నెస్కు బోర్డు సభ్యునిగా, సెక్రటరీ జనరల్ (1998), ప్రెసిడెంట్ (2004) వివిధ సందర్భాలలో పనిచేశారు. విదేశాల్లో శిక్షణతో పాటు, USA, యూరప్, ఆస్ట్రేలియా, ఆసియాలోని అనేక విశ్వవిద్యాలయాలలో విజిటింగ్ ప్రొఫెసర్గా కూడా సేవలందిస్తున్నారు. 2020 నాటికి, రావు పీర్ సమీక్షించిన జాతీయ, అంతర్జాతీయ జర్నల్స్లో 300 కంటే ఎక్కువ పేపర్లను ప్రచురించారు, అనేక పత్రికల సంపాదకీయ బోర్డులలో పనిచేశారు. అతనికి ఆస్ట్రేలియా, యునైటెడ్ కింగ్డమ్, భారతదేశం నుండి ఐదు గౌరవ డాక్టరేట్లు ఉన్నాయి. "
