,Recipients,WikiLink,Padma Shri Year,Padma Shri State,Padma Shri Field,Padma Shri Awarded By,Padma Bhushan Year,Padma Bhushan State,Padma Bhushan Field,Padma Bhushan Awarded By,Padma Vibhushan Year,Padma Vibhushan State,Padma Vibhushan Field,Padma Vibhushan Awarded By,Born,Birth Date,Place of Birth,Died,Death Date,Place of Death,Nationality,Spouse,Alma mater,Institutions,Other Awards including Padma,Occupation,Election Year,Posthumus
90,Ayyagiri Rao,https://en.wikipedia.org/wiki/A._S._Rao,1960.0,"Andhra Pradesh, India",Science and Engineering,Rajendra Prasad,,,,,,,,,"20 September 1914
Mogallu,West Godavari district",2014-09-20 00:00:00,"Mogallu,West Godavari district","31 October 2003
Hyderabad",2003-10-31 00:00:00,Hyderabad,Indian,,,,Padma BhushanAward,,No,No
91,Arati Saha,https://en.wikipedia.org/wiki/Arati_Saha,1960.0,"West Bengal, India",Sports,Rajendra Prasad,,,,,,,,,"(1940-09-24)24 September 1940
Kolkata,Bengal, British India",(1940-09-24)24 September 1940,"Kolkata,Bengal, British India","23 August 1994(1994-08-23)(aged 53)
Kolkata,West Bengal,India",23 August 1994(1994-08-23)(aged 53),"Kolkata,West Bengal,India",,Dr. Arun Gupta,,,,,No,No
92,H. Kusum Sayani,,1960.0,"Maharashtra, India",Social Work,Rajendra Prasad,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
93,Har Krishna Lal Sethi,,1960.0,Delhi/India,Civil Service,Rajendra Prasad,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
94,Har Mander Singh,,1960.0,"Punjab, India",Civil Service,Rajendra Prasad,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
95,Vaidyanatha Subrahmanyan,,1960.0,"Karnataka, India",Civil Service,Rajendra Prasad,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
96,Vir Vati,,1960.0,Delhi/India,Arts,Rajendra Prasad,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
97,Sophia Wadia,https://en.wikipedia.org/wiki/Sophia_Wadia,1960.0,"Maharashtra, India",Social Work,Rajendra Prasad,,,,,,,,,"1901
Colombia",1901.0,Colombia,"27 April 1986
India",1986-04-27 00:00:00,India,,B. P. Wadia,,,Padma Shri,"Theosophist, literateur",No,No
98,Kartar Singh Dewana,,1961.0,"Punjab, India",Science and Engineering,Rajendra Prasad,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
99,Vinayaka Krishna Gokak,https://en.wikipedia.org/wiki/Vinayaka_Krishna_Gokak,1961.0,"Karnataka, India",Literature and Education,Rajendra Prasad,,,,,,,,,"(1909-08-09)9 August 1909
Savanur State,Princely state,Deccan States Agency,British India(Savanurin present-dayHaveri districtofKarnataka)",(1909-08-09)9 August 1909,"Savanur State,Princely state,Deccan States Agency,British India(Savanurin present-dayHaveri districtofKarnataka)","28 April 1992(1992-04-28)(aged 82)
Bombay,Maharashtra, India",28 April 1992(1992-04-28)(aged 82),"Bombay,Maharashtra, India",Indian,Sharada Betadur,,,,"Professor, writer",No,No
100,Kamalabai Hospet,https://en.wikipedia.org/wiki/Kamalabai_Hospet,1961.0,"Maharashtra, India",Social Work,Rajendra Prasad,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
101,Marthhand Ramchandra Jamdar,,1961.0,"Gujarat, India",Social Work,Rajendra Prasad,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
102,Vishnukant Jha,,1961.0,"Bihar, India",Literature and Education,Rajendra Prasad,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
103,Jinvijay,https://en.wikipedia.org/wiki/Jinvijay,1961.0,"Rajasthan, India",Literature and Education,Rajendra Prasad,,,,,,,,,"Kishansinh Parmar
(1888-01-27)27 January 1888
Rupaheli,Mewad",(1888-01-27)27 January 1888,nan,3 June 1976(1976-06-03)(aged 88),3 June 1976(1976-06-03)(aged 88),nan,Indian,,,,,"Scholar oforientalism,archeology,indologyandJainism",No,No
104,Baibi Harparkash Kaur,,1961.0,"Punjab, India",Social Work,Rajendra Prasad,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
105,Agram Krishnamachar,,1961.0,"Karnataka, India",Civil Service,Rajendra Prasad,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
106,Evengeline Lazarus,,1961.0,"Karnataka, India",Literature and Education,Rajendra Prasad,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
107,Hilda Mary Lazarus,https://en.wikipedia.org/wiki/Hilda_Mary_Lazarus,1961.0,"Andhra Pradesh, India",Medicine,Rajendra Prasad,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
108,Bhagwat Sinha Mehta,,1961.0,"Rajasthan, India",Civil Service,Rajendra Prasad,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
109,Parshuram Mishra,https://en.wikipedia.org/wiki/Parshuram_Mishra,1961.0,"Odisha, India",Literature and Education,Rajendra Prasad,,,,,,,,,"(1894-01-25)25 January 1894[1]
Tulundi, Barpali,Odisha",(1894-01-25)25 January 1894[1],"Tulundi, Barpali,Odisha",4 August 1981(1981-08-04)(aged 87)[2],4 August 1981(1981-08-04)(aged 87)[2],nan,,,,,Padma Shri,"Botanist, educationist",No,No
110,Premendra Mitra,https://en.wikipedia.org/wiki/Premendra_Mitra,1961.0,"West Bengal, India",Literature and Education,Rajendra Prasad,,,,,,,,,"(1904-09-04)4 September 1904
Varanasi,United Provinces,British India(now inUttar Pradesh,India)",(1904-09-04)4 September 1904,"Varanasi,United Provinces,British India(now inUttar Pradesh,India)","2 May 1988(1988-05-02)(aged 83)
Kolkata,West Bengal,India",2 May 1988(1988-05-02)(aged 83),"Kolkata,West Bengal,India",,Beena Mitra,,,"Rabindra Puraskar
Padma Shri","Poet, writer, director",No,No
111,Sonam Narboo,,1961.0,Jammu & Kashmir/India,Civil Service,Rajendra Prasad,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
112,Veerangowda Patil,,1961.0,"Karnataka, India",Social Work,Rajendra Prasad,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
113,Vithalrao Vikhe Patil,https://en.wikipedia.org/wiki/Vithalrao_Vikhe_Patil,1961.0,"Maharashtra, India",Trade and Industry,Rajendra Prasad,,,,,,,,,"Loni, Ahmednagar, Maharashtra, India",nan,nan,nan,nan,nan,,,,,Padma Shri,Industrialist,No,No
114,Mithuben Petit,https://en.wikipedia.org/wiki/Mithuben_Petit,1961.0,"Gujarat, India",Social Work,Rajendra Prasad,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
115,Raghunath Krishna Phadke,https://en.wikipedia.org/wiki/Raghunath_Krishna_Phadke,1961.0,"Madhya Pradesh, India",Arts,Rajendra Prasad,,,,,,,,,1884.0,1884.0,nan,1972-05-17 00:00:00,1972-05-17 00:00:00,nan,Indian,,,,,,No,No
116,Amal Shah,,1961.0,"Bihar, India",Social Work,Rajendra Prasad,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
117,Gyan Singh,,1961.0,"Uttar Pradesh, India",Sports,Rajendra Prasad,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
118,N. D. Sundaravadivelu,https://en.wikipedia.org/wiki/N._D._Sundaravadivelu,1961.0,"Tamil Nadu, India",Literature and Education,Rajendra Prasad,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
119,Man Mohan Suri,https://en.wikipedia.org/wiki/Man_Mohan_Suri,1961.0,"Punjab, India",Science and Engineering,Rajendra Prasad,,,,,,,,,"(1928-01-13)13 January 1928
Punjab, India",(1928-01-13)13 January 1928,"Punjab, India",25 July 1981(1981-07-25)(aged 53),25 July 1981(1981-07-25)(aged 53),nan,Indian,,,Central Mechanical Engineering Research Institute,1961Padma Shri1962Shanti Swarup Bhatnagar Prize,,No,No
120,Vellore Ponnurangam Appadurai,,1962.0,"Tamil Nadu, India",Civil Service,Rajendra Prasad,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,Yes,No
121,Nari Contractor,https://en.wikipedia.org/wiki/Nari_Contractor,1962.0,"Maharashtra, India",Sports,Rajendra Prasad,,,,,,,,,"(1934-03-07)7 March 1934(age 87)
Godhra,Bombay Presidency,British India",(1934-03-07)7 March 1934(age 87),"Godhra,Bombay Presidency,British India",nan,nan,nan,,,,,,,Yes,No
122,Amlanda Ghosh,,1962.0,"West Bengal, India",Civil Service,Rajendra Prasad,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,Yes,No
123,Dula Bhaya Kag,https://en.wikipedia.org/wiki/Dula_Bhaya_Kag,1962.0,"Gujarat, India",Literature and Education,Rajendra Prasad,,,,,,,,,"(1903-11-25)25 November 1903
majadar Village,Saurashtra, Gujarat, India",(1903-11-25)25 November 1903,"majadar Village,Saurashtra, Gujarat, India",22 February 1977(1977-02-22)(aged 73),22 February 1977(1977-02-22)(aged 73),nan,,,,,Padmashree Award (1962),"Farmer, writer",Yes,No
124,Krishnarao Shripat Mhaskar,,1962.0,"Maharashtra, India",Medicine,Rajendra Prasad,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,Yes,No
125,Bishnupada Mukerjee,https://en.wikipedia.org/wiki/Bishnupada_Mukerjee,1962.0,"West Bengal, India",Civil Service,Rajendra Prasad,,,,,,,,,"(1903-03-01)1 March 1903
Barrackpore,North 24 Parganas, West Bengal, India",(1903-03-01)1 March 1903,"Barrackpore,North 24 Parganas, West Bengal, India",30 July 1979(1979-07-30)(aged 76),30 July 1979(1979-07-30)(aged 76),nan,,,,,"Padma Shri
Griffith Memorial Prize
Nilmony Brahmachari Medal
Asutosh MookerjeeMedal
Indian Science CongressMedal
Asiatic SocietyBarclay Medal
Squibb International Award
HK Sen Memorial Medal
Acharya PC Ray Medal
INSAShree Dhanwantari Medal","Pharmacologist, Orthopedic surgeon",Yes,No
126,Santosh Kumar Mukherjee,,1962.0,"West Bengal, India",Medicine,Rajendra Prasad,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,Yes,No
127,Challagalla Narasimham,https://en.wikipedia.org/wiki/Challagalla_Narasimham,1962.0,"Andhra Pradesh, India",Civil Service,Rajendra Prasad,,,,,,,,,"Andhra Pradesh, India",nan,nan,nan,nan,nan,,,,,Padma Shri,Civil servant,Yes,No
128,Gostha Pal,https://en.wikipedia.org/wiki/Gostha_Pal,1962.0,"West Bengal, India",Sports,Rajendra Prasad,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,Yes,No
129,Joseph Durai Raj,,1962.0,Delhi/India,Civil Service,Rajendra Prasad,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,Yes,No
130,Shanti Kumar Tribhuvandas Raja,,1962.0,"Odisha, India",Civil Service,Rajendra Prasad,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,Yes,No
131,Sachidananda Routray,https://en.wikipedia.org/wiki/Sachidananda_Routray,1962.0,"Odisha, India",Literature and Education,Rajendra Prasad,,,,,,,,,"(1916-05-13)13 May 1916
Gurujang,Bihar and Orissa Province,British India",(1916-05-13)13 May 1916,"Gurujang,Bihar and Orissa Province,British India","21 August 2004(2004-08-21)(aged 88)
Cuttack,Orissa, India",21 August 2004(2004-08-21)(aged 88),"Cuttack,Orissa, India",,,,,Jnanpith Award,,Yes,No
132,Shridhar Sharma,,1962.0,"Rajasthan, India",Medicine,Rajendra Prasad,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,Yes,No
133,Sarda Nand Singh,,1962.0,"Punjab, India",Civil Service,Rajendra Prasad,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,Yes,No
134,Natthi Singh,,1962.0,"Uttar Pradesh, India",Science and Engineering,Rajendra Prasad,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,Yes,No
135,Mother Teresa,https://en.wikipedia.org/wiki/Mother_Teresa,1962.0,"West Bengal, India",Social Work,Rajendra Prasad,,,,,,,,,"Anjezë Gonxhe Bojaxhiu
(1910-08-26)26 August 1910
Üsküp,Kosovo Vilayet,Ottoman Empire
(present-daySkopje,North Macedonia)",(1910-08-26)26 August 1910,nan,"5 September 1997(1997-09-05)(aged 87)
Calcutta,West Bengal,India
(present-dayKolkata)",5 September 1997(1997-09-05)(aged 87),"Calcutta,West Bengal,India
(present-dayKolkata)","Ottoman subject(1910–1912)
Serbian subject(1912–1915)
Bulgarian subject(1915–1918)
Yugoslavian subject(1918–1943)
Yugoslavian citizen(1943–1948)
Indian subject(1948–1950)
Indian citizen[4](1950–1997)
Albanian citizen[5](1991–1997)
honorary American citizenship(awarded 1996)",,,,,,Yes,No
136,Polly Umrigar,https://en.wikipedia.org/wiki/Polly_Umrigar,1962.0,"Maharashtra, India",Sports,Rajendra Prasad,,,,,,,,,"(1926-03-28)28 March 1926
Solapur,Bombay Presidency,British India",(1926-03-28)28 March 1926,"Solapur,Bombay Presidency,British India","7 November 2006(2006-11-07)(aged 80)
Mumbai,Maharashtra,India",7 November 2006(2006-11-07)(aged 80),"Mumbai,Maharashtra,India",,,,,,,Yes,No
137,V. Ramchandra Vajramushti,,1962.0,"Andhra Pradesh, India",Civil Service,Rajendra Prasad,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,Yes,No
138,Chanapatha Krishnappa Venkataramayya,,1962.0,"Karnataka, India",Literature and Education,Rajendra Prasad,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,Yes,No
139,Mushtaq Ali,https://en.wikipedia.org/wiki/Mushtaq_Ali,1963.0,"Madhya Pradesh, India",Sports,Sarvepalli Radhakrishnan,,,,,,,,,"(1914-12-17)17 December 1914
Indore,Indore State,British India",(1914-12-17)17 December 1914,"Indore,Indore State,British India","18 June 2005(2005-06-18)(aged 90)
Indore,Madhya Pradesh, India",18 June 2005(2005-06-18)(aged 90),"Indore,Madhya Pradesh, India",,,,,,,No,No
140,P. K. Banerjee,https://en.wikipedia.org/wiki/P._K._Banerjee_(Indian_diplomat),1963.0,"West Bengal, India",Civil Service,Sarvepalli Radhakrishnan,,,,,,,,,"7 December 1917
Kolkata, India",2017-12-07 00:00:00,"Kolkata, India",2003.0,2003.0,nan,,,,,,,No,No
141,George William Gregory Bird,https://en.wikipedia.org/wiki/George_William_Gregory_Bird,1963.0,Spain,Medicine,Sarvepalli Radhakrishnan,,,,,,,,,"(1916-11-07)7 November 1916
Bombay, British India",(1916-11-07)7 November 1916,"Bombay, British India","29 March 1997(1997-03-29)(aged 80)
Birmingham, England",29 March 1997(1997-03-29)(aged 80),"Birmingham, England",,Ruby,,,"Padma Shri
AFMCHall of Fame
Karl LandsteinerMemorial Prize
Morten Grove Rasmussen Memorial Award
IMCSilver Jubilee Award",Haematologist,No,No
142,Nani Chandra Bordoloi,,1963.0,"Assam, India",Medicine,Sarvepalli Radhakrishnan,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
143,Brij Krishna Chandiwala,https://en.wikipedia.org/wiki/Brij_Krishna_Chandiwala,1963.0,Delhi/India,Social Work,Sarvepalli Radhakrishnan,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
144,Ahindra Choudhury,https://en.wikipedia.org/wiki/Ahindra_Choudhury,1963.0,"West Bengal, India",Literature and Education,Sarvepalli Radhakrishnan,,,,,,,,,"6 August 1896
Chakraberia,Kolkata,West Bengal, India",6 August 1896,"Chakraberia,Kolkata,West Bengal, India",1974-11-05 00:00:00,1974-11-05 00:00:00,nan,,,,,"Padma Shri
Sangeet Natak Akademi Award","Actor, theatre personality",No,No
145,Sumant Kishore Jain,,1963.0,"Uttar Pradesh, India",Civil Service,Sarvepalli Radhakrishnan,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
146,K. C. Johorey,,1963.0,"Haryana, India",Civil Service,Sarvepalli Radhakrishnan,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
147,Mehboob Khan,https://en.wikipedia.org/wiki/Mehboob_Khan,1963.0,"Maharashtra, India",Arts,Sarvepalli Radhakrishnan,,,,,,,,,"Mehboob Khan Ramzan Khan
(1907-09-09)9 September 1907
Bilimora,Baroda State,BritishIndia",(1907-09-09)9 September 1907,nan,"28 May 1964(1964-05-28)(aged 56)
Bombay,Maharashtra,India",28 May 1964(1964-05-28)(aged 56),"Bombay,Maharashtra,India",,"Fatima (separated)
Sardar Akhtar",,,,"Film director, producer",No,No
148,Sisir Kumar Lahiri,https://en.wikipedia.org#cite_note-GBR-3,1963.0,Spain,Civil Service,Sarvepalli Radhakrishnan,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
149,Rev Joel K. Lakra,,1963.0,"Bihar, India",Social Work,Sarvepalli Radhakrishnan,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
150,Pilloo Maneck Maneckiji,,1963.0,"Maharashtra, India",Social Work,Sarvepalli Radhakrishnan,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
151,Melville de Mellow,https://en.wikipedia.org/wiki/Melville_de_Mellow,1963.0,"Rajasthan, India",Arts,Sarvepalli Radhakrishnan,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
152,Leela Sumant Moolgaokar,https://en.wikipedia.org/wiki/Leela_Sumant_Moolgaokar,1963.0,"Maharashtra, India",Social Work,Sarvepalli Radhakrishnan,,,,,,,,,2016-10-10 00:00:00,2016-10-10 00:00:00,nan,20 May 1992(1992-05-20)(aged 75),20 May 1992(1992-05-20)(aged 75),nan,Indian,Sumant Moolgaokar,,,,,No,No
153,Sohrab Pestonji Shroff,,1963.0,Delhi/India,Medicine,Sarvepalli Radhakrishnan,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
154,Rasheed Ahmad Siddiqui,https://en.wikipedia.org/wiki/Rasheed_Ahmad_Siddiqui,1963.0,Delhi/India,Literature and Education,Sarvepalli Radhakrishnan,,,,,,,,,"24 December 1892(1892-12-24)
Mariyahu,North-Western Provinces,British India",24 December 1892(1892-12-24),"Mariyahu,North-Western Provinces,British India",15 January 1977(1977-01-15)(aged 84),15 January 1977(1977-01-15)(aged 84),nan,,,,,,,No,No
155,Bishan Man Singh,,1963.0,"Uttar Pradesh, India",Science and Engineering,Sarvepalli Radhakrishnan,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
156,Rana Krishnadev Narain Singh,,1963.0,"Assam, India",Civil Service,Sarvepalli Radhakrishnan,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
157,Nashir Framroz Suntook,,1963.0,"Maharashtra, India",Civil Service,Sarvepalli Radhakrishnan,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
158,Wing Sultan Singh Yadav,,1963.0,Delhi/India,Civil Service,Sarvepalli Radhakrishnan,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
159,Paramananda Acharya,https://en.wikipedia.org/wiki/Paramananda_Acharya,1964.0,"Odisha, India",Science and Engineering,Sarvepalli Radhakrishnan,,,,,,,,,"1893
Baidyapur,Odisha, India",1893.0,"Baidyapur,Odisha, India","11 April 1971
Baripada,Mayurbhanj,Odisha, India",1971-04-11 00:00:00,"Baripada,Mayurbhanj,Odisha, India",,,,,Padma Shri,Archaeologist,No,No
160,Srinivasa Ambujammal,https://en.wikipedia.org/wiki/Ambujammal,1964.0,"Tamil Nadu, India",Social Work,Sarvepalli Radhakrishnan,,,,,,,,,"S. Ambujammal
(1899-01-08)8 January 1899
chennai(Madras), India",(1899-01-08)8 January 1899,nan,nan,nan,nan,,S Desikachari,,,,"freedom fighter, Treasurer of the Women’s Swadeshi League, Vice-President of the Tamil Nadu Congress Committee, social worker",No,No
161,M. J. Gopalan,https://en.wikipedia.org/wiki/M._J._Gopalan,1964.0,"Tamil Nadu, India",Sports,Sarvepalli Radhakrishnan,,,,,,,,,"(1909-06-06)June 6, 1909
Chennai,Madras presidency,British India","(1909-06-06)June 6, 1909","Chennai,Madras presidency,British India","December 21, 2003(2003-12-21)(aged 94)
Chennai,Tamil Nadu, India","December 21, 2003(2003-12-21)(aged 94)","Chennai,Tamil Nadu, India",,,,,,,No,No
162,Thapfoorya Haralu,,1964.0,"Andhra Pradesh, India",Civil Service,Sarvepalli Radhakrishnan,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
163,Vinayak Pandurang Karmarkar,https://en.wikipedia.org/wiki/Vinayak_Pandurang_Karmarkar,1964.0,"Maharashtra, India",Arts,Sarvepalli Radhakrishnan,,,,,,,,,"2-October-1891
Sasavne,Alibag",2-October-1891,"Sasavne,Alibag",1967-06-13 00:00:00,1967-06-13 00:00:00,nan,Indian,,,,,,No,No
164,Adi Pherozeshah Marzban,https://en.wikipedia.org/wiki/Adi_Pherozeshah_Marzban,1964.0,"Maharashtra, India",Arts,Sarvepalli Radhakrishnan,,,,,,,,,"17 April 1914
Mumbai, Maharashtra, India",2014-04-17 00:00:00,"Mumbai, Maharashtra, India","February 1987 (aged 72)
Mumbai, India",February 1987 (aged 72),"Mumbai, India",,Silla,,,"Padma Shri(1964)
Sangeet Natak Akademi Award(1970)",Theatre personality,No,No
165,Santosh Kumar Mazumdar,,1964.0,Delhi/India,Medicine,Sarvepalli Radhakrishnan,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
166,Gadde Ramakoteswar Rao,,1964.0,"Andhra Pradesh, India",Science and Engineering,Sarvepalli Radhakrishnan,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
167,Krishna Chandra Shukla,,1964.0,"Rajasthan, India",Literature and Education,Sarvepalli Radhakrishnan,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
168,Charanjit Singh,https://en.wikipedia.org/wiki/Charanjit_Singh,1964.0,"Haryana, India",Sports,Sarvepalli Radhakrishnan,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
169,P. C. Sorcar,https://en.wikipedia.org/wiki/P._C._Sorcar,1964.0,"West Bengal, India",Arts,Sarvepalli Radhakrishnan,,,,,,,,,"(1913-02-23)23 February 1913
Tangail,Bengal Presidency,British India(now inBangladesh)",(1913-02-23)23 February 1913,"Tangail,Bengal Presidency,British India(now inBangladesh)","6 January 1971(1971-01-06)(aged 57)
Asahikawa,Hokkaidō,Japan",6 January 1971(1971-01-06)(aged 57),"Asahikawa,Hokkaidō,Japan",Indian,Basanti Devi,,,,Magician,No,No
170,Ramesh Chandra Bhaskar Sule,,1964.0,"Maharashtra, India",Civil Service,Sarvepalli Radhakrishnan,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
171,Kruthartha Acharya,,1965.0,"Odisha, India",Trade and Industry,Sarvepalli Radhakrishnan,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
172,Vishnu Namdeo Adarkar,,1965.0,"Maharashtra, India",Literature and Education,Sarvepalli Radhakrishnan,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
173,Panavelil Thomas Chandi,,1965.0,"Uttar Pradesh, India",Literature and Education,Sarvepalli Radhakrishnan,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
174,Avtar Singh Cheema,https://en.wikipedia.org/wiki/Avtar_Singh_Cheema,1965.0,"Punjab, India",Sports,Sarvepalli Radhakrishnan,,,,,,,,,"Punjab,India",nan,nan,nan,nan,nan,,,,,Padma ShriArjuna Award,,No,No
175,Phu Dorjee Sherpa,https://en.wikipedia.org/wiki/Phu_Dorjee_Sherpa,1965.0,"West Bengal, India",Sports,Sarvepalli Radhakrishnan,,,,,,,,,Nepal,nan,nan,1969.0,1969.0,nan,,,,,Padma Shri,,No,No
176,Vishnu Madav Ghatage,https://en.wikipedia.org/wiki/Vishnu_Madav_Ghatage,1965.0,"Karnataka, India",Science and Engineering,Sarvepalli Radhakrishnan,,,,,,,,,"24 October 1908
Hasur,Kolhapur State,British Raj
(now inMaharashtra, India)",2008-10-24 00:00:00,"Hasur,Kolhapur State,British Raj
(now inMaharashtra, India)","6 December 1991
Bengaluru,Karnataka, India",1991-12-06 00:00:00,"Bengaluru,Karnataka, India",,,,,"Padma Shri
National Design Award
Sir Walter Pucky Prize",Aeronautical engineer,No,No
177,Jack Gibson,https://en.wikipedia.org/wiki/Jack_Gibson_(schoolmaster),1965.0,"Rajasthan, India",Literature and Education,Sarvepalli Radhakrishnan,,,,,,,,,"3 March 1908
East Preston, West Sussex, England[citation needed]",2008-03-03 00:00:00,"East Preston, West Sussex, England[citation needed]","23 October 1994
India",1994-10-23 00:00:00,India,,,,,,"Scholar, academic,Schoolmaster,Mountaineer",No,No
178,Mona Chandravati Gupta,https://en.wikipedia.org/wiki/Mona_Chandravati_Gupta,1965.0,"Uttar Pradesh, India",Social Work,Sarvepalli Radhakrishnan,,,,,,,,,"20 October 1896
Yangon, Myanmar",20 October 1896,"Yangon, Myanmar","30 December 1984
India",1984-12-30 00:00:00,India,,,,,"Padma Shri
Kaisar-i-Hind Medal","Social worker, educationist",No,No
179,Wilson Jones,https://en.wikipedia.org/wiki/Wilson_Jones_(billiards_player),1965.0,"Maharashtra, India",Sports,Sarvepalli Radhakrishnan,,,,,,,,,"(1922-05-02)2 May 1922
Pune,Bombay Presidency,British India",(1922-05-02)2 May 1922,"Pune,Bombay Presidency,British India","4 October 2003(2003-10-04)(aged 81)
Mumbai",4 October 2003(2003-10-04)(aged 81),Mumbai,,,,,,,No,No
180,Ang Kami,,1965.0,"Assam, India",Sports,Sarvepalli Radhakrishnan,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
181,Anant Kanekar,https://en.wikipedia.org/wiki/Anant_Kanekar,1965.0,"Maharashtra, India",Literature and Education,Sarvepalli Radhakrishnan,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
